,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
23,2021-04-20 15:47:01,ever wonder how the S&P 500 can be only -1% off the all-time high at the same time your stocks are getting crushed?,1,1,1,142,181,3019,0.030413313,0.7650793,0.2045073,Neg,-0.734666,stockcats
26,2021-04-04 00:52:02,"Information leaked includes Facebook ID numbers, profile names, email addresses, location information, gender details, job data, and anything else users might have entered in their profiles $FB",1,1,1,10,12,70,0.016093003,0.10156237,0.8823446,Neu,-0.08546937,stockcats
28,2021-03-28 18:02:01,   I figured we'd all be trading from our smart watches by now  ,1,1,1,2,1,18,0.0739669,0.015816467,0.91021657,Neu,0.058150433,stockcats
33,2021-03-19 14:11:04,S&P 500 is -2.3% below the all-time high in the history of the world and you can sense the fear,0,1,1,40,64,865,0.029076003,0.9122841,0.058639895,Neg,-0.8832081,stockcats
34,2021-03-18 14:32:00,I'm sure everything will be fine once all those $SPX 4000 calls expire,0,1,1,16,24,440,0.3511831,0.037628073,0.6111888,Neu,0.313555,stockcats
37,2021-03-16 15:50:01," no worries, I'm sure Powell has his sights set on $SPX 4000, he can talk it up tomorrow",1,1,1,1,0,4,0.2624798,0.012853672,0.72466654,Neu,0.24962614,stockcats
46,2021-03-02 21:09:04,ever wonder how the S&P 500 can be only -2% off the all-time high in the history of the world while at the same time your stocks are getting crushed?,1,1,1,95,103,1601,0.026380382,0.80734247,0.16627707,Neg,-0.7809621,stockcats
51,2021-01-04 19:07:04, the greatest trick the Devil pulled was convincing investors $SPX would never test 3666 again,1,1,1,0,0,8,0.07470708,0.051869627,0.8734233,Neu,0.022837456,stockcats
58,2020-12-01 16:39:01, let me get this straight - the same company that owns the Dow Jones index runs a stock contest website that can't properly account for stock splits?,0,1,1,1,0,9,0.021304345,0.37639394,0.6023017,Neu,-0.3550896,stockcats
60,2020-11-24 15:42:03, yeah if they had just added $AMZN to it we'd already be there,1,0,1,1,0,1,0.10933165,0.024457451,0.8662109,Neu,0.0848742,stockcats
64,2020-11-09 21:05:03,after watching The Queens Gambit I'm convinced if I could get my hands on some of those pills she was taking I could easily outperform the S&P 500,1,1,1,35,39,624,0.9209502,0.018568937,0.060480848,Pos,0.90238124,stockcats
68,2020-11-02 21:13:03,"based on my non-partisan chart of $SPX , it could still go either way  ",1,0,1,23,11,178,0.07432734,0.17204298,0.7536297,Neu,-0.09771564,stockcats
69,2020-11-02 20:54:03," today doesn't seem all that impressive, that would take a move over $SPX 3344",0,1,1,1,0,2,0.07336951,0.12859109,0.79803944,Neu,-0.05522158,stockcats
70,2020-11-02 16:06:03,"""so can you explain how this morning's price action in the Dow fits into your long-term outlook for the global economy?"" - CNBC",0,1,1,17,8,133,0.08469507,0.021823917,0.893481,Neu,0.06287116,stockcats
74,2020-10-27 01:57:01," there's no tracking , this will be delivered by an Amazon truck - the point is they shouldn't have shown it out for delivery all day if it never shipped",1,1,1,0,0,1,0.040171016,0.04017416,0.91965485,Neu,-3.144145e-06,stockcats
77,2020-10-22 00:27:04," that's awesome, I found the video on Twitter because I never joined FB and can't see it there",1,1,1,1,0,1,0.043204747,0.042679567,0.91411567,Neu,0.00052518025,stockcats
96,2020-09-11 15:10:02, good thing they split the stock or the Dow might be down instead of up,1,0,1,1,0,4,0.030537415,0.61729914,0.35216346,Neg,-0.5867617,stockcats
100,2020-09-09 16:19:01,imagine how bullish the financial media would be if the Dow rallied back to where it was 6-months ago  ,1,0,1,11,10,157,0.14080386,0.042659156,0.816537,Neu,0.0981447,stockcats
108,2020-08-25 14:14:05,while they were re-shuffling the Dow they probably should have replaced Walgreen's with Amazon,1,1,1,6,8,111,0.03415721,0.072226904,0.89361584,Neu,-0.038069695,stockcats
109,2020-08-07 14:48:02," they should have replaced $INTC with $AMD in the Dow, I don't know why they aren't more pro-active",1,1,1,1,0,8,0.092988156,0.0762473,0.8307645,Neu,0.016740859,stockcats
111,2020-08-04 15:32:00,Microsoft or Apple could probably  create their own version of TikToc in about a week so I guess they are after the installed user base of teenage girls,0,1,1,31,40,494,0.040088348,0.030401515,0.9295102,Neu,0.009686833,stockcats
140,2020-05-15 05:15:01, I can prove technical analysis works - just draw a horizontal line at $SPX 2960 and proclaim the market can't hit a new high without breaking above that line,0,1,1,0,0,12,0.15083873,0.08151512,0.76764613,Neu,0.069323614,stockcats
142,2020-05-13 17:09:05,I don't understand why this Tepper guy can't just look past a -30% earnings decline in the S&P and focus on next year's valuations,0,1,1,23,37,461,0.027581707,0.7720018,0.2004165,Neg,-0.7444201,stockcats
159,2020-03-25 05:32:05," I see S&P futures -1% but gyrating all over the place, we'll see what things look like in the morning",0,1,1,2,0,10,0.14408666,0.02314473,0.8327686,Neu,0.12094193,stockcats
179,2020-03-10 17:08:03,"the guy just said ""you'll still be using Microsoft Office in a couple years"" - sure, and I'll still be putting Heinz Ketchup on my burgers $KHC",1,1,1,8,4,92,0.10322635,0.01938877,0.87738484,Neu,0.083837576,stockcats
188,2020-02-28 05:24:04,S&P Futures down -1.5% right now like it's no big deal - a couple weeks ago there'd be pandemonium in here,1,1,1,28,29,372,0.007646478,0.96532214,0.027031288,Neg,-0.95767564,stockcats
201,2020-02-04 16:00:02," yes, and the way the daily ranges have increased it won't surprise me to see big moves in either direction on a daily basis, $SPX ATR(14) is up to 35",1,1,1,1,0,1,0.92097604,0.014360268,0.06466367,Pos,0.9066158,stockcats
217,2019-12-27 17:22:02,if you bet $50 Million on $AMZN in 2014 you'd have a lot of money now,0,1,1,18,13,121,0.11373074,0.010286906,0.8759824,Neu,0.10344384,stockcats
229,2019-11-13 20:14:04,"""Google plans to offer checking accounts"" - so they can know where every penny you spend goes",0,1,1,36,36,249,0.08093079,0.011309577,0.90775967,Neu,0.06962121,stockcats
233,2019-10-25 14:26:01," that's a good point, because at Dow 650k everything will be relative",0,1,1,0,0,0,0.12613635,0.013053839,0.8608098,Neu,0.113082506,stockcats
234,2019-10-25 14:24:01,it will be interesting to see which stocks are in the Dow at 650k  ,0,1,1,18,3,59,0.059942983,0.01497762,0.9250794,Neu,0.044965364,stockcats
235,2019-10-25 14:22:00,"the funny thing about these ""Dow is going to the moon"" books and ""how you can profit from it"" can be summed up in a Tweet - buy the Dow",1,1,1,3,5,52,0.04054269,0.02130037,0.9381569,Neu,0.019242318,stockcats
251,2019-09-18 20:56:00," if they had just cut rates to 0 the Dow would be 10,000 points higher",1,0,1,3,0,29,0.07130715,0.26562557,0.6630673,Neu,-0.19431841,stockcats
254,2019-09-16 13:56:00, if it wasn't for Google translate I'd be lost,1,0,1,3,0,4,0.050927274,0.09825285,0.85081995,Neu,-0.047325574,stockcats
268,2019-08-15 15:17:01," probably Microsoft, Amazon, Google, Apple would be considered Blue Chip stocks if people still used the phrase",1,0,1,0,1,7,0.03221868,0.033183247,0.934598,Neu,-0.00096456707,stockcats
271,2019-08-12 15:58:03,"$SPX if you use your imagination, you can almost see some symmetry here  ",0,1,1,9,42,164,0.042090416,0.024829159,0.9330805,Neu,0.017261257,stockcats
272,2019-08-08 21:35:02," I can't quite get my head around negative rates yet, just tell me the fair value of $SPX when rates hit 0",0,1,1,1,0,1,0.04358191,0.048094343,0.90832376,Neu,-0.004512433,stockcats
284,2019-07-28 20:50:03," I've had deliveries with Amazon trucks, UPS, FedEx, USPS and regular folks in a car - you never know who you'll get",1,1,1,0,0,3,0.05935398,0.026634682,0.91401136,Neu,0.0327193,stockcats
289,2019-07-16 17:03:04,if my cat has a Facebook page can she also get a digital wallet and transact in Libra?  ,0,1,1,15,9,125,0.03870833,0.02101107,0.9402806,Neu,0.01769726,stockcats
290,2019-07-16 16:59:04," if that's true it's an imposter, he'll be doxxed when he submits his government issued ID to FB",1,1,1,1,0,5,0.029695168,0.2420448,0.72826004,Neu,-0.21234964,stockcats
291,2019-07-16 16:55:04, this is why I will never have any Libra - I have never and will never join FB,0,1,1,3,0,8,0.031145906,0.050838888,0.9180152,Neu,-0.019692982,stockcats
297,2019-07-08 14:35:00, someone might end up getting stuck with a lot of SPX 3000 hats,1,1,1,0,1,13,0.012405636,0.84961677,0.13797751,Neg,-0.83721113,stockcats
302,2019-07-01 20:34:03," $SPX hits 3000 on Wednesday for 4th of July, it will be so patriotic, believe me",0,1,1,1,5,40,0.29205844,0.013802013,0.69413954,Neu,0.27825642,stockcats
313,2019-06-14 02:23:01, my parents prefer Chewy over Amazon because they can call someone and get great customer service,0,1,1,0,0,2,0.14440799,0.01330862,0.8422834,Neu,0.13109937,stockcats
314,2019-06-14 02:20:04, maybe Amazon should just accumulate shares in $CHWY with pocket change and pretend there's real competition,0,0,1,1,0,8,0.059659705,0.015787153,0.9245532,Neu,0.04387255,stockcats
321,2019-06-11 15:04:00,"if the current 7-day trend continues, $SPX would hit Goldman's 3000 year-end $SPX target on Monday  ",0,1,1,11,27,115,0.9000235,0.058117986,0.041858412,Pos,0.84190553,stockcats
324,2019-06-06 15:55:01," Amazon has their own trucks here too, but they still use $UPS and $FDX too - I'd say the Amazon truck delivers about 25% of their parcels",0,1,1,0,0,1,0.043438938,0.01733637,0.93922466,Neu,0.026102567,stockcats
327,2019-05-30 16:25:00,"sir, the S&P looks like it could break below the 200-day moving average, should we sell?   ""No - stay focused on the fundamentals""   But the fundamentals don't look very good  ""Things should pick up in the second-half""",1,1,1,11,29,201,0.82583404,0.08069633,0.09346968,Pos,0.7451377,stockcats
329,2019-05-29 18:27:05, could be getting close - every previous Turmoil Special has happened with the S&P below the 200-day moving average,1,1,1,1,0,8,0.12721312,0.36999422,0.50279266,Neu,-0.2427811,stockcats
339,2019-05-07 15:03:03,"lotta drama considering an actual ""dip"" would be around $SPX 2860  ",0,1,1,10,11,75,0.053362966,0.022667106,0.92396986,Neu,0.03069586,stockcats
340,2019-05-01 19:14:01," yes, we'd just do it on Facebook, Pinterest or SnapChat",0,0,1,6,0,31,0.028604504,0.026302086,0.94509333,Neu,0.0023024175,stockcats
