,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
14,2021-07-23 15:56:01,"Our next  will be on Wednesday, 7/28 at 8:00 PM ET.   It's going to be about all things $AMZN.   If you want to join or if you know someone who's a good fit, reply to this tweet. 👇📈👀  ",0,1,1,13,4,25,0.04263786,0.017182017,0.9401802,Neu,0.025455842,stocktwits
21,2021-07-21 16:28:02,Who’s joining our $AAPL Spaces tonight? Who should we have on?,0,1,1,10,3,38,0.026729524,0.053055685,0.9202148,Neu,-0.02632616,stocktwits
30,2021-07-15 15:09:00,"Our next  will be on Wednesday, 7/21 at 8:00 PM ET.  It's going to be about all things $AAPL.   If you want to join or if you know someone who's a good fit, reply to this tweet. 👇👀📈📱  ",0,1,1,21,7,46,0.043358188,0.017161122,0.93948066,Neu,0.026197067,stocktwits
45,2021-07-07 13:12:02,How do you think $AMZN will be affected by  stepping down?,1,1,1,2,3,12,0.028097935,0.12349416,0.8484079,Neu,-0.09539623,stocktwits
89,2021-05-24 22:48:04,🌌 Tonight on After Hours:  - The Market Marched Higher On Monday - Ray Dalio Joined The Bitcoin Bandwagon!?  - Amazon Looks To Solidify Its Streaming Service  - Are You Ready For The $SPCE Race? - Can Texas Fix Its Grid?  🎙  |    ,1,1,1,0,1,15,0.5570455,0.013788895,0.42916563,Pos,0.54325664,stocktwits
231,2021-02-13 20:05:00,"Will any stock in the S&P 500 have equal to or over a 15% gain for the week at market close (4PM EST)? a) Yes b) No  Answer 5 more questions to enter to win $10,000 w/       ",1,1,1,30,9,34,0.3490763,0.01881494,0.63210875,Neu,0.33026135,stocktwits
247,2021-02-04 13:51:00,"The S&P 500 has rallied for three straight days.     Yesterday on Stocktwits, the bulls outnumbered the bears 15:1.     Can the streak continue?",1,1,1,12,9,108,0.3139292,0.08510567,0.60096514,Neu,0.22882353,stocktwits
252,2021-02-02 23:20:00,"“Bezos has just done everything he has set out to do at $AMZN and wants to go work on his own endeavors - the Day One Fund, Blue Origin, The Washington Post, and all of his other business dealings.”  With Bezos gone, will Amazon remain the king?  ",1,1,1,11,11,61,0.03359894,0.027858626,0.9385425,Neu,0.0057403147,stocktwits
387,2020-11-17 13:33:05,"Amazon Pharmacy: Prescription Medications Delivered    ""Customers can now purchase prescription medications through the Amazon online store – convenient and reliable access, without leaving home.""    $AMZN △ 1.8% |    ",1,1,1,1,12,31,0.30288672,0.011994762,0.6851185,Neu,0.29089198,stocktwits
393,2020-11-13 21:10:04,The S&P 500 closed at a new all time high on Friday the 13th.     Should we be worried?,1,0,1,28,27,239,0.12246037,0.19137378,0.68616587,Neu,-0.06891341,stocktwits
420,2020-10-29 21:47:00,“It seems like nothing can stop $AMZN right now. Revenue growth of 37% year-over-year for a company of this magnitude is truly unprecedented.”  Get the rest of today's big market news in 5 minutes:  ,0,1,1,6,6,50,0.09732283,0.01800711,0.8846701,Neu,0.07931572,stocktwits
426,2020-10-28 23:00:02,"Facebook, Apple, Amazon, and Google report earnings tomorrow after the close.   Which stock will move the most?  $FB $AAPL $AMZN $GOOGL",0,1,1,17,17,46,0.045554668,0.029111976,0.9253334,Neu,0.016442692,stocktwits
457,2020-10-13 14:58:03,   It would be cool though.,0,0,1,0,0,0,0.07440543,0.02364469,0.9019498,Neu,0.050760742,stocktwits
465,2020-10-13 14:29:05,Name 2 public companies that should collaborate.   We'll go first...    x ,0,0,1,72,19,180,0.11614718,0.011157492,0.87269527,Neu,0.10498969,stocktwits
469,2020-10-12 17:34:02,What should Apple release tomorrow?     Wrong answers only... $AAPL  ,0,0,1,113,15,95,0.023488993,0.17180073,0.80471027,Neu,-0.14831173,stocktwits
585,2020-08-18 23:10:03,Today on After-Hours:  SPY All-Time High. Can We Keep Going Higher?  ,0,1,1,1,4,17,0.34098706,0.025902277,0.63311064,Neu,0.3150848,stocktwits
733,2020-06-11 20:00:00,Heads up the S&P 500 is down 5.5%.   The first circuit breaker would trigger if the S&P drops 7%.   The level to watch is 2967.  ,0,1,1,4,23,89,0.0071422704,0.96502763,0.027830126,Neg,-0.9578854,stocktwits
789,2020-05-15 19:30:04,"On this date 23 years ago, Amazon IPO'd.    Had you invested $10,000 then, today you'd be rich AF. $AMZN  ",1,0,1,26,81,297,0.104803,0.0134684555,0.8817285,Neu,0.09133455,stocktwits
916,2020-03-29 16:51:02,Quick Reminder: S&P Futures begin trading at 6 PM ET this evening.  Should be a sitcom...  ,0,1,1,10,13,79,0.082267225,0.0222855,0.89544725,Neu,0.059981726,stocktwits
945,2020-03-16 12:02:00,Futures are limit down.      ✦ S&P 500 ▼ 4.79%              ✦ Nasdaq ▼ 4.55%              ✦ Russell 2k ▼ 5.07%              ✦ Dow Jones ▼ 4.56%    $SPY -9.5% pre-market suggesting the Level 1 circuit breaker will trigger off the open.  ,1,1,1,4,39,91,0.011879216,0.92410016,0.064020604,Neg,-0.91222095,stocktwits
952,2020-03-12 13:07:01,$SPY suggesting we will get a halt off the open for the second time this week.  ,0,1,1,1,12,29,0.020659449,0.87815046,0.10119007,Neg,-0.857491,stocktwits
971,2020-03-04 13:46:01,Stocktwits Trending Tickers BMO 3/04/2020  ✧ $CPB Campbell Soup +5%  Raised guidance after earnings beat.   ✧ $UNH UnitedHealth Group +9% Biden bump?   ✧ $ANF Abercrombie & Fitch +4.8% Profit beat w/ in line sales outlook.   ✧ $SPY +1.9% Stocks “will fluctuate.”  ,1,1,1,1,7,15,0.77960485,0.09491769,0.12547745,Pos,0.68468714,stocktwits
1067,2020-01-23 22:42:04,This deal could generate $15B in revenue for Broadcom.  $AVGO $AAPL   ,0,0,1,0,10,17,0.27083325,0.008980687,0.7201861,Neu,0.26185256,stocktwits
1076,2020-01-17 21:03:01,"""We will not be pursuing further integrations with Google Cloud.""   ",0,1,1,0,1,3,0.14537847,0.0110189635,0.84360254,Neu,0.13435951,stocktwits
1077,2020-01-17 14:28:05,"""Should Apple break that uptrend line it will be problematic, but this chart has been Steady Eddie, not parabolic.""   h/t    ",1,1,1,1,2,15,0.11509564,0.13885121,0.74605316,Neu,-0.023755573,stocktwits
1121,2019-12-13 13:49:03,Stocktwits Trending Tickers BMO 12/13/19    $SPY Trade War drama.  $AMD All time highs.  $FB FTC may block merger plans.  $SNAP Upgraded to “outperform” by JPM Securities.  $ORCL -2.5% Pre-market after last night's earnings.    et al.     ,0,1,1,0,2,10,0.41817766,0.4163547,0.1654676,Pos,0.0018229783,stocktwits
1136,2019-11-04 20:16:02,"Nothing says, ""You can trust me, I swear!"" like a new logo in millennial pink $FB  ",0,1,1,3,3,18,0.07500639,0.015720084,0.9092735,Neu,0.059286304,stocktwits
1154,2019-09-18 19:10:02,Live stream of the Fed begins at 2:30 PM EST    You can find the stream here:      $SPY,0,1,1,0,2,1,0.026753033,0.03500396,0.938243,Neu,-0.008250928,stocktwits
1157,2019-09-10 19:41:01,Apple $AAPL is going all in on the camera. Here's what the next generation of iPhones will have:  ,0,1,1,6,3,15,0.061837435,0.014551832,0.92361075,Neu,0.0472856,stocktwits
1188,2019-07-31 18:02:00,"Here we go! At 2:00 PM ET, the Federal Reserve will announce its decision for interest rates. 🚨    Will they actually cut rates? On Stocktwits, the S&P 500 $SPY stream is 63% bullish vs. 37% bearish on message volume that's nearing 20,000 messages.    ",0,1,1,3,5,9,0.051525477,0.8102529,0.13822164,Neg,-0.75872743,stocktwits
1194,2019-07-30 17:06:01,What social media stock would you pick for the next year?  • $SNAP • $TWTR • $PINS • $FB  • Other (reply with the name)   ,0,0,1,17,5,8,0.0378261,0.0209588,0.9412151,Neu,0.016867299,stocktwits
1195,2019-07-30 14:44:00,"Ladies and gentlemen, get ready for today’s earnings. There’s one company everyone will be watching:  $AAPL 👀 $AMD $GILD $EA $GRPN (yes, Groupon is still alive) $FEYE $AMGN   ",0,1,1,2,9,19,0.06543175,0.012748677,0.92181957,Neu,0.052683074,stocktwits
1198,2019-07-28 19:05:02,"Investors are saying this upcoming week is the most important week of 2019. Maybe of the last 10 years. Why?     Because on Wednesday, the Fed will let everyone know if they're really cutting rates or not. $SPX $DJIA $VIX     ",0,1,1,1,18,21,0.047286645,0.16521306,0.7875003,Neu,-0.11792642,stocktwits
1199,2019-07-26 12:38:05,Alphabet $GOOGL / $GOOG is up 8% after monster earnings. It’s also nearing fresh new 52-week highs.  So will this options trader get bailed out? 🤯 🤦‍♂️    ,1,1,1,2,1,11,0.8820462,0.033916913,0.084036924,Pos,0.84812933,stocktwits
1205,2019-07-24 21:43:01,"Facebook $FB now has 1.59 billion daily active users.    They have 2.4 billion monthly active users. If Facebook was a country, it would be the world's biggest.  ",1,1,1,1,6,12,0.06328418,0.015279974,0.92143583,Neu,0.048004206,stocktwits
1214,2019-07-22 14:42:02,"Here's a full economic calendar for the entire week. On Friday, US GDP numbers will be released.  $SPX $DJIA    ",1,1,1,0,3,7,0.020406974,0.08298674,0.89660627,Neu,-0.062579766,stocktwits
1217,2019-07-18 18:18:01,$SPY The Raise the Wage Act passed in the House but will likely face heavy resistance for it to get any further.     Would 15$/hr minimum wage even effect the biggest names in the market?    ,1,0,1,1,4,2,0.08108594,0.37426996,0.54464406,Neu,-0.293184,stocktwits
1222,2019-07-13 22:35:00,This is the single most important thread you will ever read about buybacks. It will change how you think about the process forever.    Seriously. $SPY $QQQ $DIA  ,0,1,1,2,9,16,0.037394907,0.024015551,0.9385895,Neu,0.013379356,stocktwits
1231,2019-07-05 14:24:01,Why would the latest beat in non-farm payrolls actually be bearish for the market? $SPY $SPX     It gives the Fed a reason to *NOT* cut rates and potentially hike them again. Read this:  ,0,1,1,2,6,8,0.047441896,0.43904662,0.5135114,Neu,-0.39160472,stocktwits
1232,2019-07-05 14:15:05,"Before today, the average monthly gains in non-farm payrolls for 2019 was 172,000.  Today’s 224,000 could be a turning point for 2019. $SPY $SPX $DJIA     If you missed it:  ",1,1,1,1,8,8,0.055532776,0.11529123,0.829176,Neu,-0.059758455,stocktwits
1235,2019-07-02 15:04:02,"StockTwits is down for some users and our team is working on it. We will let you know when everything returns to normal. 🚨  In the meantime, here's a brief market update:  S&P 500 $SPY -0.07% Dow Jones $DIA -0.16% Nasdaq-100 $QQQ -0.04% Russell 2000 $IWM -0.30%",0,1,1,0,4,9,0.020483863,0.5632933,0.41622287,Neg,-0.5428094,stocktwits
1236,2019-07-01 13:36:00,The S&P 500 could open at new all-time highs today. It's also approaching 3000 for the FIRST time ever.  $SPY $SPX    ,0,1,1,0,16,25,0.5983368,0.047225296,0.35443786,Pos,0.5511115,stocktwits
