,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
36,2019-10-12 08:05:01,"Removing shares of the biggest greenhouse gas emitting companies from the S&P 500 would've left historical returns virtually untouched, according to this interactive  article   via ",1,1,1,1,0,0,0.030817848,0.35346225,0.61571985,Neu,-0.3226444,thesquaremile
44,2019-09-06 10:42:00,"DOW: Very likely to flirt with that high till after Payrolls, only testing above in the event of a strong print. Note upward surprises on hourly earnings often treated as negative by investors as can dent case for continued easing $DJ ^KO  ",1,1,1,0,0,0,0.13865146,0.8433721,0.017976483,Neg,-0.7047206,thesquaremile
50,2019-07-30 22:10:01,"APPLE shares could have faced a beating after 'all-important’ services sales - apps, music, health, more - missed. But stock added to gains a short while ago, rising 4%. Well worth noting this signal of regained confidence in overall $AAPL momentum ^KO",1,1,1,0,0,0,0.9460392,0.028782524,0.025178328,Pos,0.91725665,thesquaremile
57,2019-07-25 22:58:05,"FANG+ earnings still mixed. Sentiment also shaken by Washington probes. The pressure this may keep on their shares is important as they're underpinning $SPX, $NDX gains for a tenth straight year $NFLX $MSFT $FB $GOOG ^KO  ",1,1,1,0,0,0,0.056851983,0.91647494,0.026673116,Neg,-0.85962296,thesquaremile
63,2019-07-24 21:18:01,"FACEBOOK beats user and revenue forecasts: Q2 DAU: 1.59 billion vs 1.57 billion est. Revenue: $16.89B vs $16.49B est. Shares +4% a bit earlier. That may not last, as there's a negative surprise: says FTC opened separate antitrust probe; on top of DOJ one announced earlier Wed",1,1,1,0,0,0,0.062173504,0.85614485,0.08168176,Neg,-0.79397136,thesquaremile
65,2019-07-23 16:02:01,"$BABA +1%, $AMZN flat. For now, no one's reading this as a game changer, exactly, though it seems like it could be one eventually ^KO",0,1,1,0,0,3,0.11653411,0.08202613,0.8014398,Neu,0.034507975,thesquaremile
69,2019-07-18 21:36:02,Microsoft posts more spectacular growth of Azure enterprise cloud solution: +64%. This may still disappoint some investors who've grown used to even more. Azure surged 73% in Q3 ^KO,1,1,1,0,0,0,0.8542028,0.10157447,0.044222806,Pos,0.7526283,thesquaremile
72,2019-07-12 10:42:00,Mediocre Fri in Europe though better than Thu. *Tech/semi consolidation switches some interest back to industrials *Stronger than expected output data helps Barry inflates crude prices/stks Nasdaq fell despite Dow record *Sentiment is picky; a weaker close wouldn't surprise ^KO  ,1,1,1,0,0,0,0.43132582,0.54348385,0.025190335,Neg,-0.11215803,thesquaremile
75,2019-07-10 15:39:01,"Powell: so far, lots of interest in $FB's Libra digital currency with some implied criticism from Fed chair. Also said he won't resign. ^KO",1,0,1,0,0,0,0.06931015,0.28224856,0.64844126,Neu,-0.2129384,thesquaremile
79,2019-06-20 14:41:00,"Record U.S. stock market opens after Fed drops ""patient"" stance on rate cuts. S&P500 +1% above 2945.83 April all-time high. The fly in the ointment is that stocks are rallying with gold, Treasurys, *and* the yen = safety+risk. That can't last for long ^KO",0,1,1,0,0,0,0.4748565,0.4230472,0.10209629,Pos,0.05180928,thesquaremile
80,2019-06-13 09:59:00,"TESCO shares swung a bit higher after slumping 3%. UK-only sales +0.4% against +0.8% expected, ""held back"" by Brexit. Some of extended slide may be linked to $AMZN's expanded deal with Morrisions. Tesco online +7% in Q1 ^KO",1,1,1,0,0,0,0.069222294,0.9135684,0.01720932,Neg,-0.8443461,thesquaremile
82,2019-06-03 17:44:00,"Facebook leads US tech shares lower. As well as trade worries, reports that  will oversee competition probe together with US DoJ's antitrust div. sends $FB down as much as 8.5%. Any talk of monopolistic behaviour will raise break-up talk ^KO",0,1,1,0,0,0,0.009085855,0.9723737,0.018540425,Neg,-0.9632879,thesquaremile
83,2019-06-03 17:08:00,"Weak Wall St bounce could be over. Dow, Russell give up gains, as oil fades. No doubt🐻s in control, but don't underestimate power of M&A. Blackstone's $18bn warehouse bet helps underpin US cons cyclicals. $BX +1.7%. Strong ISM manufg jobs also takes some of the edge off ^KO  ",0,1,1,0,0,0,0.5731836,0.3472576,0.07955878,Pos,0.22592598,thesquaremile
