,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
24,2021-07-08 15:39:02," yeah, to be fair, I don't think this is a constant rule. And as  points out, in 1994 it would be the opposite. I guess I think ""conundrum"" implies that rate hikes should automatically lead to long end rates, when clearly there's no reason to assume that all the time",0,1,1,2,0,3,0.053171758,0.1649532,0.781875,Neu,-0.11178145,thestalwart
29,2021-07-05 14:26:04,And of course you can find it on   Apple:    Spotify:    And elsewhere,0,0,1,0,1,10,0.046525083,0.014332756,0.9391422,Neu,0.032192327,thestalwart
33,2021-06-28 17:35:04," And as always, you can find the episode on   Apple:    Spotify:    Et. al.",0,0,1,4,1,15,0.0308141,0.021323368,0.9478625,Neu,0.009490732,thestalwart
37,2021-06-22 11:10:01,A new antitrust bill put forward in the House would force Amazon to sell off its logistics business.  ,1,0,1,7,7,45,0.019838871,0.78883183,0.19132932,Neg,-0.76899296,thestalwart
38,2021-06-21 13:04:00,  And of course you can find the episodes on  Apple:    Spotify:    And anywhere else,0,0,1,1,0,18,0.032145996,0.01978263,0.9480714,Neu,0.012363365,thestalwart
41,2021-06-18 14:25:02,"As always, you can listen to the podcast   on Apple:    Spotify:    Or wherever else you want",0,1,1,1,1,7,0.031508427,0.024014296,0.94447726,Neu,0.007494131,thestalwart
43,2021-06-16 22:41:05,  Yeah. Apple still chooses to feature certain bands. So could be likened to that,1,1,1,2,0,2,0.0633677,0.019601807,0.9170305,Neu,0.043765895,thestalwart
48,2021-06-14 19:20:05,Google search activity shows that US consumers may be starting to moderate a little bit.  Some great charts from   ,0,1,1,3,10,36,0.3647766,0.11385021,0.52137315,Neu,0.2509264,thestalwart
49,2021-06-14 12:56:04,"And of course, you can listen to the episode  on Apple:    on Spotify:    Etc.",0,0,1,2,4,15,0.036080994,0.016640155,0.94727886,Neu,0.019440839,thestalwart
51,2021-06-12 19:45:03, So it’s not obvious that buybacks are good per se. In some instances buybacks are probably a plus. A company like Apple that has more cash than it can possibly deploy can return some to shareholders and make the equity safely more leveraged. But that’s not generalizable imo.,1,1,1,2,0,4,0.14825875,0.015227203,0.83651406,Neu,0.13303155,thestalwart
55,2021-06-08 14:21:01,"Exactly this. And it's something that  has been talking about in housing for years. People attribute some magical power to interest rates or stuff like that when just ""desire to not get fired"" or ""get rich quick"" can often explain a lot more.",1,1,1,5,6,96,0.05074349,0.06227837,0.88697815,Neu,-0.011534881,thestalwart
56,2021-06-07 14:27:02,And of course you can listen to it on the apps  Apple:    Spotify:  ,0,0,1,4,0,16,0.04315355,0.016418012,0.9404284,Neu,0.026735539,thestalwart
62,2021-05-31 13:01:03,And of course you can find it on   Apple:    Spotify:    Etc,0,0,1,1,0,17,0.039822124,0.016226754,0.9439512,Neu,0.02359537,thestalwart
67,2021-05-27 12:24:01,"Anyway, you can find our episode with Brian here on   Apple:    Spotify:  ",0,0,1,1,1,12,0.035946626,0.037670486,0.92638284,Neu,-0.0017238595,thestalwart
73,2021-05-13 16:42:04,"I forget who I saw state it on here, but there's a good argument to be made that this is exactly what she should be doing. People aren't investing in $ARKK because she can buy Apple like thousands of other fund managers. It's a vehicle for exposure for new, disruptive tech.",1,1,1,18,3,155,0.06433078,0.017877419,0.91779184,Neu,0.04645336,thestalwart
74,2021-05-13 13:02:00,  And you can find it at all the usual places...  Apple:    Spotify:    Sticher:    etc.,0,0,1,2,1,9,0.042513803,0.018478565,0.93900764,Neu,0.024035238,thestalwart
82,2021-05-03 12:51:05,  You can find it on Spotify here:    Or Apple here:     Or anywhere else you listen to podcasts.,0,1,1,1,1,16,0.028374737,0.023399623,0.9482256,Neu,0.004975114,thestalwart
84,2021-04-29 21:05:04,"It always blows my mind how many bullet points of random info Amazon starts its earnings with. You'd think they'd have something to hide (they don't, which is the weird part)",0,1,1,5,0,51,0.02937936,0.16904166,0.80157894,Neu,-0.1396623,thestalwart
86,2021-04-29 16:26:00,For some reason our podcast -- as well as a bunch of others -- don't seem to have gotten updated on Spotify yet. But you can find it on Apple podcasts here in the meantime  ,1,1,1,4,0,10,0.03139006,0.028980436,0.9396295,Neu,0.002409624,thestalwart
89,2021-04-27 11:41:05,"  The problem is, I can't buy a share of $AMZN with DeFi. I can't buy $GME either. And until I can, it doesn't matter how incredible the interface is. Or the ease of onboarding. Or the lack of KYC/AML. Or anything. Doesn't matter if I can't do what I want to do there.",0,1,1,9,0,12,0.054802123,0.06273117,0.88246673,Neu,-0.007929046,thestalwart
90,2021-04-21 22:57:00,What I want is a total cross product recommendation engine.  “People who liked this book liked this coffee maker and these socks”. Should be trivially easy for Amazon (or Instagram or something) to do,1,1,1,10,3,68,0.060812216,0.016223146,0.9229647,Neu,0.044589072,thestalwart
99,2021-03-29 11:07:02, What would be visa's rationale for using it at scale?,1,1,1,11,1,18,0.02733725,0.02857424,0.9440885,Neu,-0.0012369901,thestalwart
108,2021-03-19 14:25:00,"   I think if we're going to talk about the dollar we should talk about the dollar. The fact that Bitcoin is going up a lot, on its face, doesn't say anything more about macro than, say, Amazon or FB going up.",0,1,1,4,0,3,0.23486868,0.052622244,0.71250916,Neu,0.18224643,thestalwart
134,2021-02-16 09:29:01,You can argue that the fortunes of S&P earnings are not reflective of overall economic conditions. But the argument that stock prices are totally disconnected from business fundamentals is looking more and more ridiculous.,1,1,1,10,13,127,0.014623626,0.8421133,0.1432631,Neg,-0.8274897,thestalwart
137,2021-02-10 18:37:03,  The FB copycat won't do anything to it though,0,0,1,0,0,3,0.028441764,0.059814878,0.9117434,Neu,-0.031373113,thestalwart
141,2021-02-05 14:40:04,  That's the true comparison. You can't compare $FB from when it went public or even when it took its first venture rounds. Have to start zero at the day of true conception.,1,1,1,2,0,7,0.054387063,0.05065313,0.8949598,Neu,0.003733933,thestalwart
142,2021-02-05 14:40:02,"  yes. I've always wanted to see a chart of Facebook's Equity from the day it was conceived in the dorm room all the way to now. I suspect it would look very similar to Bitcoin, both in terms of speed and scale.",1,1,1,1,0,11,0.08801347,0.012339675,0.8996469,Neu,0.075673796,thestalwart
162,2021-01-07 10:40:04,"I know it's wrong, but somehow in my head, even if someone has the nuclear codes, the military, all of the levers of the US government at their disposal, if they can't tweet or post to Facebook, they just seem totally powerless.",0,1,1,13,13,259,0.022051394,0.5516391,0.42630953,Neg,-0.5295877,thestalwart
167,2021-01-04 17:00:00," Right, I'm not so so concerned about the latter point, but I would just like to see the evolution of Bitcoin GINI vs. FB Gini",0,1,1,1,0,2,0.24259798,0.015372984,0.7420291,Neu,0.227225,thestalwart
175,2020-12-18 19:19:04,Thinking about how men would rather frontrun the $TSLA S&P 500 inclusion on quadruple witching day than go to therapy.,0,1,1,4,6,101,0.029770873,0.19373015,0.776499,Neu,-0.16395926,thestalwart
177,2020-12-16 12:21:02, Were there other companies that were affected? There must have been. I wonder how they did (probably not as good as Apple),1,1,1,1,0,0,0.041881446,0.34053564,0.6175829,Neu,-0.2986542,thestalwart
183,2020-12-10 15:26:04,"If you say something like ""Bitcoin is bad because it can't handle as many transactions as Visa"" then Bitcoiners will rightly call you out for opining without thinking deeply.  But then Bitcoiners like  feel no compunction about opining on MMT, despite similar ignorance.",0,1,1,21,2,95,0.039980255,0.33155677,0.628463,Neu,-0.2915765,thestalwart
191,2020-12-03 20:44:03,A question I'd like to ask  Would it be illegal for a pharma executive to short $SPY before releasing disappointing vaccine data?,0,1,1,27,5,131,0.024332065,0.17155257,0.80411536,Neu,-0.1472205,thestalwart
205,2020-11-24 20:41:04,"When I said the above a couple weeks, that Trump was a Dow man, I had no idea how right I was, that he would literally come out and announce the 30,000 level. Still can't get over it.",1,0,1,18,0,90,0.05970762,0.12185978,0.81843257,Neu,-0.062152162,thestalwart
206,2020-11-24 20:34:01,"Disappointed that not a single reporter inthe briefing room shouted out a question to Trump like ""Mr President, shouldn't you be focused on a market cap weighted index like the S&P rather than the price weighted Dow?!""",1,0,1,21,47,897,0.050889038,0.55047,0.398641,Neg,-0.49958095,thestalwart
