,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2021-07-26 19:51:04,"Amazon has rolled out some new ways to interact with its digital voice assistant, Alexa.  First off, it will now be able to answer to a new name: Ziggy.   ",1,1,1,2,12,31,0.39206585,0.011867241,0.5960669,Neu,0.3801986,usatoday
7,2021-07-20 11:57:03,"Wally Funk, a famous aviator who pushed for female inclusion in NASA's astronaut training programs for decades, will join Amazon founder and billionaire Jeff Bezos on on a brief flight to the edge of space. 🚀 ",1,0,1,7,21,68,0.06573088,0.01956769,0.91470146,Neu,0.046163186,usatoday
16,2021-07-07 17:01:03,Donald Trump says he will sue CEOs Jack Dorsey of Twitter and Mark Zuckerberg of Facebook  ,0,1,1,82,23,79,0.0152413845,0.8439474,0.14081115,Neg,-0.828706,usatoday
19,2021-07-01 04:04:05,"A federal judge blocked a Trump-inspired Florida law that would penalize Facebook, Twitter and  YouTube for barring the speech of politicians.",1,1,1,19,37,177,0.05173791,0.8099506,0.1383115,Neg,-0.7582127,usatoday
22,2021-06-21 18:13:00,Amazon Prime Day here! Check out five tips from  that will help you take advantage of the sales.,0,0,1,11,3,16,0.1534342,0.0107600875,0.83580565,Neu,0.14267412,usatoday
23,2021-06-21 12:02:00,"From  The best shopping deals for Amazon's Prime Day, every single one you can think of.   ",0,0,1,3,3,16,0.060705543,0.016940014,0.92235446,Neu,0.04376553,usatoday
29,2021-06-07 20:58:04,What's new with Apple's iOS 15? From   - FaceTime is getting a facelift (think Zoom!) - iPhone notifications will get less annoying with Focus - And Apple wants you to add your driver's license to its Wallet app  ,0,1,1,1,10,16,0.12002883,0.015207465,0.86476374,Neu,0.10482137,usatoday
30,2021-06-07 16:04:00,"Mark Bezos will join the Amazon founder in a trip to space with older brother Jeff Bezos' Blue Origin, a rocket company with ambitions to reach the stars.  ",0,0,1,8,9,30,0.06908402,0.014108149,0.9168078,Neu,0.054975867,usatoday
31,2021-06-07 12:31:00,Jeff Bezos announces he will fly in a rocket launched by his company Blue Origin in July after he steps down as Amazon CEO  ,1,1,1,20,17,29,0.046849716,0.015344758,0.9378055,Neu,0.03150496,usatoday
35,2021-06-02 12:51:04,"This year's PrimeDay will be the earliest ever - the sale is set for June 21 and 22, Amazon confirmed.  ",1,1,1,5,9,27,0.039956816,0.0159456,0.9440976,Neu,0.024011215,usatoday
38,2021-05-27 03:11:03,Facebook will no longer take down posts claiming that COVID-19 was man-made or manufactured.  ,1,1,1,21,18,31,0.02364364,0.46934533,0.5070111,Neu,-0.4457017,usatoday
40,2021-05-26 19:32:01,Bezos will officially step down as CEO of Amazon on July 5.  ,0,0,1,6,14,31,0.017478218,0.46019912,0.52232265,Neu,-0.4427209,usatoday
46,2021-05-11 06:35:04,"Most of the state attorneys general in the U.S. have asked Facebook CEO Mark Zuckerberg to end the company's plan to create an Instagram for kids. saying it would be ""harmful for myriad reasons.""  ",1,1,1,26,31,136,0.014834805,0.8563836,0.12878157,Neg,-0.8415488,usatoday
48,2021-05-09 01:34:03,"Some 226,000 smoke detectors and combo smoke-carbon monoxide alarms are being recalled because they may not warn of fires. The recall covers Kidde TruSense products sold at Walmart, Home Depot, Menards, Amazon and other stores from May 2019-September 2020.  ",1,1,1,9,21,36,0.011726264,0.89858073,0.08969298,Neg,-0.88685447,usatoday
50,2021-05-06 06:07:00,"A look at Thursday's paper:   Trump kept off Facebook, for now –The social media platform's power over speech continues to be debated.  –Without a megaphone, fundraising may be tough for Trump.  ",1,1,1,23,22,78,0.049642462,0.27587503,0.6744825,Neu,-0.22623257,usatoday
52,2021-05-05 18:15:03,"Facebook can decide to impose a limited suspension, permanently ban him or appeal again to the board, members of the Oversight Board said. It also recommended that Facebook institute clear and proportionate policies ""that promote public safety and respect freedom of expression.""",1,1,1,8,10,21,0.04727258,0.13940522,0.81332225,Neu,-0.09213264,usatoday
55,2021-05-05 17:37:05,Trump's Facebook ban could limit fundraising and other elements that would be central in future political campaigns.   ,0,0,1,10,3,57,0.016626736,0.6660529,0.31732032,Neg,-0.64942616,usatoday
