,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-29 02:30:00,"Apple will require shoppers to wear masks again at half of its U.S. stores, the company confirmed to USA TODAY.   ",1,0,1,0,1,2,0.030265408,0.4620748,0.5076598,Neu,-0.43180937,usatodaymoney
1,2021-07-20 00:18:05,"The Dow Jones Industrial Average shed 725.81 points, or 2.1%, to 33,962.04, its biggest decline since October. Here's what happened and what you can do.   ",1,1,1,0,4,5,0.013402165,0.912903,0.07369483,Neg,-0.89950085,usatodaymoney
2,2021-07-15 14:00:00,"""As a person of color coming in the door, how can you feel there is an upward trajectory for you when the executive layer of the company doesn’t have anyone who looks like you?"" said Charlotte Newman, senior manager at Amazon.  ",1,1,1,0,1,0,0.1270928,0.25629258,0.61661464,Neu,-0.12919979,usatodaymoney
5,2021-07-10 16:00:00,Which new  flavor would you try -- apple cider donut or salted caramel brownie?     ,1,0,1,2,0,0,0.035573255,0.039261732,0.925165,Neu,-0.003688477,usatodaymoney
8,2021-06-30 12:00:00,"With Google's new limit on free data storage, don't forget your Gmail inbox. It could be stuffed    ",1,1,1,0,0,4,0.05509166,0.021639122,0.9232692,Neu,0.03345254,usatodaymoney
18,2021-06-23 14:00:00,Members of the Teamsters will vote on whether to make the organization of Amazon employees a top priority.    ,0,0,1,0,0,0,0.07606206,0.017279683,0.90665823,Neu,0.058782376,usatodaymoney
27,2021-05-27 20:00:00,"Andy Jassy will assume the CEO position on July 5, Amazon confirmed to USA TODAY.    ",1,0,1,0,0,1,0.023250319,0.025591698,0.95115805,Neu,-0.0023413785,usatodaymoney
29,2021-05-26 19:30:00,We now know when Amazon's Jeff Bezos will officially step down as CEO of the company he founded.   ,1,1,1,1,0,0,0.01759936,0.3760915,0.6063091,Neu,-0.35849214,usatodaymoney
30,2021-05-26 14:05:04,"Amazon said it will preserve MGM's heritage of films, which includes 4,000 titles, including the James Bond franchise.   ",1,1,1,2,2,3,0.11470897,0.010719379,0.8745717,Neu,0.103989586,usatodaymoney
36,2021-05-18 18:00:00,"Many retailers, including Apple and Walgreens, say they are still evaluating the CDC guidance but say they could update policies.    ",0,1,1,0,0,0,0.7015489,0.048446517,0.25000456,Pos,0.65310234,usatodaymoney
41,2021-05-03 22:30:03,Microsoft co-founder Bill Gates and wife Melinda are divorcing after 27 years. They will continue to co-chair the Gates Foundation.   ,0,1,1,0,3,1,0.01868912,0.067645386,0.91366553,Neu,-0.048956268,usatodaymoney
42,2021-04-30 12:00:00,"Amazon will also hold its annual Prime Day sale in June, the company said, but did not announce a specific date.   ",1,0,1,0,0,0,0.026754465,0.028560163,0.9446854,Neu,-0.0018056985,usatodaymoney
43,2021-04-28 22:00:00,"Would a free doughnut change your mind? If that’s too sugary for you, how about an Amazon gift card? Or maybe a tax break?  ",0,1,1,3,1,3,0.050160535,0.038175568,0.9116639,Neu,0.011984967,usatodaymoney
