,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2021-08-03 14:57:01,"Losing Google's Pixel slot won't really hurt Qualcomm. But it also doesn't help a chipmaker already priced for design-out risk,  says -  ",1,1,1,3,0,5,0.16405416,0.57207966,0.2638662,Neg,-0.4080255,wsjmarkets
3,2021-07-31 17:49:00,Heard on the Street: Amazon’s new CEO appears to be continuing the Jeff Bezos tradition of staying off earnings calls. Andy Jassy might not get quite as much slack.  ,1,1,1,1,1,9,0.14396141,0.043460034,0.8125786,Neu,0.10050138,wsjmarkets
7,2021-07-29 02:32:00,"Heard on the Street: Investors buying Facebook on a post-earnings dip can’t expect an immediate fortune, but may score a longer-term deal  ",0,1,1,6,1,6,0.37139222,0.063651256,0.5649565,Neu,0.30774096,wsjmarkets
11,2021-07-27 18:50:03,"Investors are eager for signs Apple’s success will continue into 2022, as customers switch to new 5G phones   ",0,1,1,3,1,8,0.8870245,0.012501984,0.10047341,Pos,0.87452257,wsjmarkets
23,2021-07-16 19:42:00,"Binance, the world’s largest cryptocurrency exchange operator, said it would stop offering digital tokens tied to stocks like Apple and Tesla after regulators in multiple countries raised concerns  ",1,0,1,2,2,14,0.01427443,0.8495784,0.13614713,Neg,-0.83530396,wsjmarkets
29,2021-07-07 17:28:00,"Heard on the Street: Online ad titans will benefit from easy comparisons in the second quarter, but the ongoing rollout of Apple’s iOS could still hit results  ",0,1,1,0,0,0,0.94099665,0.028845767,0.030157564,Pos,0.91215086,wsjmarkets
31,2021-07-02 19:22:00,"Jeff Bezos may be blasting off into space, but his earthbound successor as Amazon’s CEO has a universe of problems to address—despite inheriting a business firing on all cylinders.  ",0,1,1,2,1,6,0.05168319,0.15019003,0.7981268,Neu,-0.09850684,wsjmarkets
37,2021-06-28 11:55:03,"U.S. stock futures wavered, suggesting major indexes will hover close to record highs after the S&P 500 posted its biggest weekly gain since February.  ",1,1,1,4,5,8,0.054877404,0.84789604,0.09722659,Neg,-0.79301864,wsjmarkets
40,2021-06-24 20:13:00,Microsoft's cloud focus has propelled it to a $2 trillion market value. But  says staying there will require all of the software giant's businesses to keep humming -- including its ubiquitous Windows operating system:  ,1,1,1,0,0,4,0.6139001,0.09962664,0.28647327,Pos,0.51427346,wsjmarkets
51,2021-06-16 12:03:00,S&P 500 futures wavered between gains and losses as investors await cues on when the Federal Reserve may begin tapering bond purchases   ,1,1,1,5,1,4,0.02940193,0.89261883,0.07797919,Neg,-0.8632169,wsjmarkets
66,2021-06-04 13:21:01,"Apple will play to the (virtual) crowds next week, but the fate of its App Store business is now in the hands of one.  explains for  why investors are nervous:  ",0,1,1,0,1,5,0.032544665,0.11998161,0.84747374,Neu,-0.087436944,wsjmarkets
71,2021-05-28 13:30:01,"Who can solve healthcare’s $4 trillion riddle? Amazon, Walmart and JPMorgan say they have a new Rx.  ",1,1,1,0,3,5,0.10082508,0.010996694,0.8881782,Neu,0.08982839,wsjmarkets
74,2021-05-26 16:47:05,"Buying MGM won't make Amazon dominant in streaming. That probably won't matter to lawmakers who think Big Tech is already big enough,  writes for  -  ",0,1,1,0,6,15,0.1442489,0.016304998,0.83944607,Neu,0.1279439,wsjmarkets
82,2021-05-18 21:55:00,"Heard on the Street: Between competition from Amazon, big-box retailer peers and traditional grocery stores, Walmart has a lot to worry about. Last quarter’s results should help ward off at least one fear.  ",1,1,1,0,2,5,0.9032295,0.038729604,0.05804094,Pos,0.86449987,wsjmarkets
89,2021-05-13 02:35:02,A Facebook Inc.-backed digital currency project is being revamped to address concerns among U.S. officials that it could be used for money laundering  ,1,1,1,4,2,9,0.13767508,0.058069915,0.804255,Neu,0.07960516,wsjmarkets
92,2021-05-12 19:51:00,Heard on the Street: The annulment of the EU’s decision ordering Amazon to pay €250 million in back taxes will likely add fuel to the crackdown on tax avoidance  ,0,1,1,0,0,8,0.04924863,0.9043907,0.04636066,Neg,-0.85514206,wsjmarkets
104,2021-05-04 12:00:03,The S&P 500 is on course for tepid losses ahead of a string of earnings and data that may show the trade deficit widened to a record in March  ,1,1,1,2,1,1,0.020349437,0.95765305,0.021997439,Neg,-0.9373036,wsjmarkets
119,2021-04-28 16:37:04,"Microsoft will hit a $2 trillion market value sooner than later, but  says that comes with a price -  ",0,1,1,0,1,4,0.08981931,0.03332282,0.8768579,Neu,0.056496494,wsjmarkets
120,2021-04-28 14:00:01,Heard on the Street: Google springs forward. Strong margins and new buyback should click following early pandemic slump  ,0,1,1,3,0,6,0.91939664,0.024278944,0.056324407,Pos,0.8951177,wsjmarkets
123,2021-04-26 12:19:03,"S&P 500 is poised for a tepid decline as investors look to economic data, corporate earnings and Covid-19 uptick to see if stocks rally will continue    ",1,1,1,3,0,2,0.017459996,0.9574974,0.025042532,Neg,-0.9400374,wsjmarkets
126,2021-04-22 14:00:01,Look out Clubhouse—Facebook is getting into audio and can’t wait to hear what you’re into  ,0,1,1,0,2,8,0.058135163,0.021001656,0.9208632,Neu,0.037133507,wsjmarkets
128,2021-04-21 12:30:00,Heard on the Street: Apple’s tablet and PC sales got a strong boost from the Covid-19 pandemic. Changed work habits should keep demand elevated.  ,1,0,1,1,0,7,0.9475543,0.019972935,0.032472853,Pos,0.92758137,wsjmarkets
140,2021-04-07 17:09:00,"Facebook’s big mouth may be old news, but it is still worth paying attention to  ",1,1,1,0,1,5,0.04916136,0.022701105,0.92813754,Neu,0.026460255,wsjmarkets
141,2021-04-07 15:24:01,"Norway’s sovereign-wealth fund, the world’s largest, and a giant investor in blue-chip stocks such Apple and Alibaba, will increase its focus on individual companies over macroeconomic factors  ",1,0,1,1,3,5,0.79886156,0.008717159,0.19242129,Pos,0.7901444,wsjmarkets
145,2021-04-04 16:22:00,"Heard on the Street: Unionization would be a challenge given Amazon’s distribution scale, but the impact could be felt on margin expansion  ",1,0,1,0,0,4,0.22938548,0.684336,0.086278506,Neg,-0.4549505,wsjmarkets
148,2021-03-31 13:30:01,"Heard on the Street: Visa and PayPal introduce stealthy ways to make digital coins part of everyday transactions, which might be crypto’s most promising path into the mainstream.  ",0,1,1,1,4,13,0.33603978,0.01265288,0.65130734,Neu,0.3233869,wsjmarkets
152,2021-03-30 20:18:00,"Heard on the Street: Facebook is saying a potential Instagram-like app for children isn’t about its bottom line, but it could pay off handsomely  ",0,1,1,1,1,7,0.6521537,0.028050859,0.3197955,Pos,0.62410283,wsjmarkets
157,2021-03-23 18:31:00,"Heard on the Street: Buying Discord makes a lot of sense, but Microsoft’s shopping spree could bring fresh scrutiny  ",1,1,1,2,2,14,0.4370724,0.08665099,0.47627664,Neu,0.3504214,wsjmarkets
159,2021-03-19 11:16:00,Dow futures point to a third week of gains for blue-chips index as investors buy stocks that have been beaten down or will benefit from reopening   ,1,1,1,1,3,7,0.67567813,0.26446837,0.059853543,Pos,0.41120976,wsjmarkets
160,2021-03-18 11:19:00,"Stock futures point to a sharp drop in technology stocks, which would weigh on the S&P 500 and Nasdaq indexes   ",0,0,1,0,4,12,0.009469718,0.97129244,0.019237835,Neg,-0.96182275,wsjmarkets
162,2021-03-16 20:07:03,"Google's app fee cut probably won't buy it much peace,  writes for  -  ",0,1,1,0,0,5,0.03134514,0.79044443,0.17821047,Neg,-0.7590993,wsjmarkets
163,2021-03-16 14:57:05,Visa and Mastercard said they will hold off on increasing interchange fees for merchants until next April  ,1,1,1,1,0,6,0.22367792,0.3222475,0.45407462,Neu,-0.09856959,wsjmarkets
165,2021-03-15 11:03:05,"U.S. stock futures edged higher, suggesting that major indexes will extend their rally after both the Dow and the S&P 500 closed at a record   ",1,1,1,1,14,41,0.7637383,0.14716317,0.08909848,Pos,0.6165751,wsjmarkets
172,2021-03-03 22:28:00,"Heard on the Street: Changes to user tracking may hurt advertising business, but Google’s position still conveys an advantage  ",0,1,1,2,4,13,0.85060734,0.1111195,0.038273167,Pos,0.7394878,wsjmarkets
176,2021-02-26 19:21:00,Berkshire Hathaway investors Saturday will be looking for insights from Warren Buffett on the economy and markets amid the pandemic  ,0,1,1,0,1,18,0.06112704,0.02168028,0.91719276,Neu,0.03944676,wsjmarkets
181,2021-02-11 12:04:04,"S&P 500 futures ticked up, suggesting the broad market gauge may make tepid gains after two days of muted declines  ",1,1,1,1,1,7,0.58066946,0.36802942,0.051301084,Pos,0.21264005,wsjmarkets
183,2021-02-09 12:08:03,"S&P 500 futures edged lower, suggesting that the broad market may take a breather after climbing on Monday to an all-time high  ",1,1,1,1,1,11,0.03981924,0.9241433,0.036037415,Neg,-0.8843241,wsjmarkets
185,2021-02-08 12:03:04,"U.S. stock futures rose Monday, suggesting that the S&P 500 will extend its rally after ending last week at a record high.  ",1,1,1,0,0,6,0.9097053,0.0538769,0.03641779,Pos,0.8558284,wsjmarkets
195,2021-02-01 13:43:03,Google will start reporting earnings for its cloud division when its parent company reports results tomorrow.  for  says not to expect Amazon-like numbers -  ,0,1,1,0,2,7,0.034655586,0.02892312,0.9364213,Neu,0.0057324655,wsjmarkets
197,2021-01-28 18:37:00,Facebook may be overplaying its hand in its complaints about Apple  ,0,1,1,2,2,9,0.02138391,0.860762,0.11785404,Neg,-0.8393781,wsjmarkets
206,2021-01-25 16:00:01,"Heard on the Street: Microsoft’s results will reflect a big gaming quarter, though console production constraints and low margins complicate the story  ",0,1,1,0,2,8,0.1966446,0.74334043,0.060014974,Neg,-0.5466958,wsjmarkets
207,2021-01-25 13:38:04,"Microsoft may be all about the cloud, but its report Tuesday will also showcase a big gaming quarter.  for  on how the latest xbox consoles will help - and maybe hurt - the numbers.  ",0,0,1,0,1,3,0.09042611,0.7321959,0.17737803,Neg,-0.6417698,wsjmarkets
209,2021-01-15 12:41:02,"S&P 500 futures declined, suggesting the benchmark index will fall for a second day   ",1,1,1,0,2,12,0.0105501395,0.96561193,0.023837835,Neg,-0.9550618,wsjmarkets
222,2020-12-24 12:15:00,"U.S. stock futures edged higher, suggesting that the Dow may end the holiday-shortened week on a flat note.  ",1,1,1,0,3,3,0.051655643,0.9228558,0.025488593,Neg,-0.87120014,wsjmarkets
231,2020-12-18 15:18:04,The Dow and S&P slipped in morning trading as investors monitored whether Covid-19 infections and worsening economic data would push lawmakers to cement a coronavirus aid package  ,1,1,1,0,2,4,0.0086602485,0.9677205,0.023619147,Neg,-0.95906025,wsjmarkets
235,2020-12-16 12:45:00,"MSCI’s move, which affects stocks in seven Chinese companies, will take effect by the close of business on Jan. 5  ",0,1,1,0,0,4,0.016255032,0.08891458,0.8948304,Neu,-0.07265955,wsjmarkets
239,2020-12-10 21:56:00,Heard on the Street: Investors shrugging off the government’s lawsuits against Facebook might be missing the bigger picture  ,1,1,1,1,3,6,0.022186233,0.8712009,0.10661284,Neg,-0.8490147,wsjmarkets
244,2020-12-07 21:47:00,Dow retreats from recent record as investors worry that elevated Covid-19 infection levels could weigh on economic growth   via   ,1,1,1,0,0,4,0.014146348,0.9625321,0.02332164,Neg,-0.9483858,wsjmarkets
245,2020-12-06 18:57:00,An index of economic uncertainty going back to 1900 suggests that the S&P 500 currently is 20% above where it should be  ,0,1,1,2,3,10,0.12323794,0.80694866,0.06981342,Neg,-0.6837107,wsjmarkets
253,2020-12-01 00:56:05,S&P Dow Jones Indices said it will add Tesla’s full weight to the S&P 500 all at once in December  ,1,0,1,0,1,13,0.12009506,0.010076378,0.8698285,Neu,0.110018685,wsjmarkets
256,2020-11-30 12:19:00,"S&P Global has agreed to acquire IHS Markit for about $44 billion, a landmark deal that would combine two of the largest providers of data to Wall Street  ",1,1,1,0,2,6,0.8746533,0.009678085,0.1156687,Pos,0.8649752,wsjmarkets
257,2020-11-30 03:35:04,"S&P Global is in advanced talks to acquire IHS Markit for about $44 billion, a landmark deal that would combine two of the largest providers of data to Wall Street  ",0,1,1,1,3,15,0.7739502,0.009939798,0.21610998,Pos,0.7640104,wsjmarkets
258,2020-11-30 01:02:03,"S&P Global is in advanced talks to acquire IHS Markit for about $44 billion, a landmark deal that would combine two of the largest providers of data to Wall Street  ",0,1,1,0,6,14,0.7739502,0.009939798,0.21610998,Pos,0.7640104,wsjmarkets
259,2020-11-29 15:22:02,Tesla’s S&P 500 debut in December will put $100 billion in trades in motion as asset managers are compelled to account for the stock  ,1,1,1,1,9,23,0.08683,0.4549967,0.4581733,Neu,-0.36816671,wsjmarkets
263,2020-11-25 12:30:00,The Dow’s rally to 30000 signals that more sectors are leading the market higher and could bode well for the U.S. economy  ,0,1,1,0,2,1,0.9441879,0.019208902,0.03660315,Pos,0.924979,wsjmarkets
269,2020-11-23 20:51:00,Facebook has driven monster revenue growth quarter after quarter by driving up ad impressions and tinkering with prices to compensate. But that strategy may only work for so long before users become overserved.  ,1,1,1,0,1,4,0.21593936,0.08701046,0.6970502,Neu,0.1289289,wsjmarkets
275,2020-11-18 16:48:00,"Shares of CVS Health and Walgreens Boots Alliance plunged Tuesday after Amazon launched an online prescription delivery service, and more trouble could be ahead  ",1,0,1,0,1,7,0.009399121,0.9646427,0.025958216,Neg,-0.9552436,wsjmarkets
285,2020-11-11 15:48:04,Apple has bet big that it can boost margins AND challenge a decades-old PC ecosystem.  for  explains:  ,1,1,1,0,4,14,0.71175563,0.016782118,0.2714622,Pos,0.6949735,wsjmarkets
293,2020-11-05 18:55:00,The DOJ says the acquisition would allow Visa to unlawfully maintain a monopoly in the online debit market.  ,0,1,1,0,1,3,0.015576311,0.8878086,0.096615106,Neg,-0.8722323,wsjmarkets
313,2020-10-27 17:53:02,"The DOJ, making preparations for potential litigation, could soon decide whether it will sue to block Visa’s purchase of the fintech firm.  ",1,1,1,0,1,0,0.024786621,0.6930596,0.28215373,Neg,-0.668273,wsjmarkets
