,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-02 22:20:03,"    In 20 years $OSTK has gone from 100 million in Sales to 3 Billion, so who cares about Amazon or Wayfair? I dont",1,1,0,1,0,4,0.062990025,0.06936179,0.8676481,Neu,-0.0063717663,alderlaneeggs
2,2021-05-21 02:51:02,$Ostk has gone from 100 million in sales in 2000 to 3 billion on 2021 that is not bad since Amazon was going to kill them. Credit goes to  big time,1,1,0,7,3,127,0.14532983,0.14760262,0.7070675,Neu,-0.0022727847,alderlaneeggs
3,2021-04-19 23:36:01," Adbe made 100% of their money selling Fonts for Postscript Printers and Microsoft decided to come in and give away True Type Fonts for Free and I dug hard and figured out HP was going with ""Free"" and it was a big big score for me at the time..  wrote about it",1,1,0,0,1,2,0.15958859,0.022559669,0.8178517,Neu,0.13702892,alderlaneeggs
6,2021-02-25 04:11:00,Other than $OSTK beating numbers and( I am sure the Analysts raise 's  tomorrow) ask yourself why would a Senior Executive at Amazon leave to be the CMO of  ? Why leave a great growing outfit to go to O? She must see something the skeptics are missing and that 1/2,0,1,1,9,13,137,0.030539453,0.100892134,0.8685684,Neu,-0.07035268,alderlaneeggs
7,2021-02-06 15:01:02, Well you get zero argument from me  $ostk has only grown from 70 million in   Revs in 2000 to close to 3 billion in 2020 but what do I know.. Amazon put alot out of business but  keeps rolling along thanks to ,1,1,0,3,1,28,0.10069014,0.0978173,0.8014926,Neu,0.0028728396,alderlaneeggs
9,2020-12-27 14:48:04, Arnette is a very very Low Football IQ player who also doesnt know how to tackle,0,1,0,0,0,0,0.03177436,0.13700278,0.83122283,Neu,-0.105228424,alderlaneeggs
10,2020-12-11 16:06:02, I dont trust Facebook,0,1,0,0,0,0,0.059788045,0.13499348,0.80521846,Neu,-0.07520543,alderlaneeggs
11,2020-12-03 03:30:05,Where that  clown Newton Glassman's hired thugs to Spy on us during  ⁦ 50th birthday dinner. Hacked emails the whole 9 yards but in Arctic Mexico anything goes. ⁦ ⁦ . Funny thing is I was sadly never short a share  ,1,1,0,1,2,8,0.057575252,0.16771983,0.77470493,Neu,-0.11014457,alderlaneeggs
12,2020-11-25 18:49:04,$GFL is another failed  aka Ben Axler short.. If you simply bought Axler's shorts the day of his reports your returns are 2-4x the S&P. Running trap for clowns is a bad way to run a railroad,1,1,0,5,1,20,0.019063018,0.6560642,0.3248728,Neg,-0.6370012,alderlaneeggs
13,2020-11-16 22:31:05,So $Tsla going into the S&P was the third leg of My Trifecta. There you have it,1,1,0,7,1,77,0.0675504,0.022134665,0.910315,Neu,0.045415733,alderlaneeggs
14,2020-11-04 20:25:04, I was picking apples and making apple sauce this am,1,1,0,1,0,5,0.03781626,0.052433062,0.90975064,Neu,-0.014616802,alderlaneeggs
15,2020-11-04 18:35:01, 100% and I am busy making Voo Doo Dolls,0,1,0,0,0,10,0.033829216,0.04776123,0.9184096,Neu,-0.013932016,alderlaneeggs
16,2020-10-18 03:46:00," When I type where can I buy a sofa online,  is in the front page, ahead of Amazon",0,1,1,0,0,0,0.031479567,0.027686972,0.9408334,Neu,0.0037925951,alderlaneeggs
17,2020-10-15 22:08:02,2 simple solutions on Twitter and the NY Post .. 1) If you dont like what they are doing simply dont use it... 2) Take the company over and run it yourself.. I dont like Facebook and I dont use it.. Simple as that,0,1,0,6,1,85,0.026512805,0.088039935,0.88544726,Neu,-0.06152713,alderlaneeggs
18,2020-10-13 16:42:01,$amzn has an issue with home furnishings which is a huge plus for $Ostk and $W ... Cant own $W would make me sick but own the $OSTK $OSTKO and $TZROP in Spades. It aint Because of Covid Boys and Girls  ,0,1,1,5,6,80,0.027721243,0.5693126,0.40296617,Neg,-0.54159135,alderlaneeggs
19,2020-09-24 03:54:02,  You are going to make me get on Facebook.. I told Max and he was going to tune in,1,1,0,0,0,1,0.04038677,0.17268032,0.7869329,Neu,-0.13229355,alderlaneeggs
20,2020-09-16 01:59:05,100% True...Not a coincidence when you connect dots.. This all behan with $TSLA not being included in the S&P for now at least,1,1,0,2,0,14,0.023604473,0.12351946,0.852876,Neu,-0.09991498,alderlaneeggs
21,2020-09-08 00:59:04, I heard those go well after a few belts of The Crown Royal Apple,0,1,0,0,0,0,0.42852312,0.019020628,0.5524563,Neu,0.4095025,alderlaneeggs
22,2020-09-07 20:44:05,  No! Its still going into the S&P maybe not  this week,0,1,0,4,0,5,0.03873915,0.028298507,0.93296236,Neu,0.010440642,alderlaneeggs
24,2020-08-30 03:25:01,"Anything goes and no matter what happens to him, he still will own some 3rd rate ball team in the Rotten Apple",0,1,1,2,0,8,0.10046176,0.012128612,0.8874096,Neu,0.088333145,alderlaneeggs
26,2020-08-26 02:27:04," I have numbers, names, and dont forget... They are about to get a Hockey Stick in the Adams Apple",0,1,0,3,0,2,0.04173246,0.06796822,0.89029926,Neu,-0.02623576,alderlaneeggs
29,2020-07-22 23:59:00,Wirecard was a member of the Dax...If that could happen its not hard that $TSLA goes into the S&P...,1,1,1,1,0,9,0.03282359,0.027299881,0.93987644,Neu,0.0055237077,alderlaneeggs
30,2020-07-11 00:28:02, Google works well,0,1,0,2,0,3,0.022109441,0.034709632,0.943181,Neu,-0.012600191,alderlaneeggs
31,2020-06-22 13:24:05,How does 2 billion disappear from $WDI and people are not arrested? Hey put down the Apple Struedel and get to work... Seriously  and Jan Marselak need to be arrested as in now ..    might as well bring in Baron Von Eichelmann,1,1,1,5,2,26,0.050513394,0.14320198,0.80628467,Neu,-0.09268858,alderlaneeggs
32,2020-06-18 13:08:04,Question is how long will Mastercard and Visa hang around Wirecard and what exactly did they know and when? $WDI   ,1,1,1,0,1,16,0.024653373,0.027145267,0.9482014,Neu,-0.0024918932,alderlaneeggs
33,2020-06-14 18:12:00,You phone is now The Governments Spy device and Your Safety device all in one,0,1,0,4,1,14,0.048514307,0.014908097,0.9365776,Neu,0.03360621,alderlaneeggs
34,2020-06-04 01:14:02, He wants to tune in he is still on Facebook,0,1,0,0,0,1,0.0552017,0.05875447,0.8860438,Neu,-0.0035527684,alderlaneeggs
37,2020-05-02 16:50:02,  spotted in my office trying to spy on me   ,1,1,0,0,0,1,0.033292737,0.5891497,0.37755758,Neg,-0.555857,alderlaneeggs
38,2020-04-13 04:28:03,     All I know for sure is a friend is a DEA agent and he says your cell phone is the best Spy Device the Government has.. If its on people can find you including the Government,1,1,1,1,1,1,0.036202013,0.033456985,0.93034106,Neu,0.0027450286,alderlaneeggs
39,2020-04-13 03:33:03,     You phone is a spy device.Simple as that.,0,1,0,1,0,2,0.0284158,0.051549517,0.9200347,Neu,-0.023133717,alderlaneeggs
40,2020-03-31 20:10:02, Plenty of stuff with Canada and I on Google.. The Internet keeps track,0,1,0,0,0,1,0.06751016,0.013625397,0.9188645,Neu,0.05388476,alderlaneeggs
