,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-31 18:14:01,• Since 2003 the Fine Wine 50 and Fine Wine 1000 have performed in line with the S&P 500. • Equities tend to outperform fine wine in the short term… • …but one can’t drink the performance of the S&P 500.     ,1,1,1,2,3,17,0.7674445,0.07157477,0.16098079,Pos,0.69586974,allstarcharts
1,2021-07-31 14:28:04,"“Since 1988, there have been 3 other times when the S&P 500 was up by double digits through late July while emerging markets were in negative territory for the year. Each time, emerging markets fell further in the month(s) ahead” h/t     ",1,1,0,1,15,45,0.039820068,0.94615734,0.014022579,Neg,-0.90633726,allstarcharts
2,2021-07-30 20:47:02,Looks like the lowest monthly close for the S&P500 relative to the CRB Commodities Index since January 2020  ,0,1,0,1,16,39,0.0076742903,0.96568185,0.026643941,Neg,-0.9580076,allstarcharts
3,2021-07-30 20:40:02,The next Fibonacci extension target for the S&P500 based on the 2000 highs down to the 2009 lows is 4420. Thursday the S&P500 went out at 4419. Close enough.  ,1,1,0,9,24,121,0.036077406,0.5130332,0.45088938,Neg,-0.4769558,allstarcharts
5,2021-07-29 22:04:04,Is Robinhood going to be a Palantir? or a Coinbase? or maybe a Facebook? Sure doesn’t look like a Google to me.    $HOOD  ,0,1,0,10,10,72,0.030920388,0.025934612,0.943145,Neu,0.004985776,allstarcharts
7,2021-07-28 15:31:03,"It's interesting people are wondering if weakening breadth will lead to a correction. Meanwhile the breadth IS evidence of the correction we've been in since February. The Average drawdown in S&P500 is 8.2%, for Mid-caps it's 13%, 18% for small-caps, and 17% for NYSE Composite",1,1,1,12,11,137,0.020419883,0.94119453,0.038385548,Neg,-0.92077464,allstarcharts
9,2021-07-27 14:21:00,"“Dow, S&P 500 Set Records” via  - the thing is not much else is setting any records   thanks for the shoutout",0,1,0,2,0,6,0.18093361,0.014322649,0.80474377,Neu,0.16661096,allstarcharts
10,2021-07-24 14:59:00,Regional Banks going out at new 6-month lows relative to the S&P500 $KRE $SPY  ,0,1,0,6,13,57,0.01740247,0.96408504,0.018512513,Neg,-0.9466826,allstarcharts
11,2021-07-23 14:14:04,Crypto &gt; Stocks if this one is above 7 bitcoin $spx  ,0,1,0,7,31,96,0.08315593,0.019907637,0.8969365,Neu,0.06324829,allstarcharts
12,2021-07-19 18:11:01,a thousands dow points is nothing these days. don't turn it into something it's not.,0,1,0,7,6,75,0.037133787,0.12794057,0.83492565,Neu,-0.09080678,allstarcharts
14,2021-07-18 21:49:04,how many times have we seen both the S&P500 and Nasdaq make a new all-time high in the same week that both the NYSE Advance-Decline and Nasdaq Advance-Decline line hit new 2-month lows?,1,1,0,22,14,130,0.023203773,0.91252255,0.06427364,Neg,-0.88931876,allstarcharts
