,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-29 12:41:00,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
1,2021-07-26 22:07:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,1,2,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
5,2021-07-01 13:45:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,1,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
14,2021-06-07 22:09:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
16,2021-06-03 01:56:01,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,1,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
17,2021-06-02 13:24:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
23,2021-05-15 08:12:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
25,2021-05-07 08:16:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
29,2021-04-23 22:10:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
30,2021-04-20 22:10:04,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,1,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
31,2021-04-20 02:39:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
32,2021-04-19 20:01:01,Big volume breakouts   $MANU $AAPL,0,1,0,0,1,1,0.14563005,0.019850101,0.83451986,Neu,0.12577994,breakoutstocks
33,2021-04-14 13:04:00,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
35,2021-04-05 22:07:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
41,2021-03-17 11:30:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
42,2021-03-12 22:11:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
45,2021-03-04 13:02:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
47,2021-02-25 22:05:02,"$VZ, $CLF, $EEM, $MSFT, $AUY breaking down to new lows  ",0,1,0,0,0,0,0.026246572,0.92609066,0.04766274,Neg,-0.8998441,breakoutstocks
48,2021-02-24 14:25:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,2,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
49,2021-02-22 22:03:04,"$VALE, $QQQ, $NNDM, $AAPL, $PBR breaking down to new lows  ",0,1,0,1,0,2,0.07413947,0.84642786,0.07943267,Neg,-0.7722884,breakoutstocks
50,2021-02-19 04:51:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,2,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
51,2021-02-18 07:47:03,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
52,2021-02-17 12:35:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,2,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
54,2021-02-09 12:56:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
56,2021-01-23 02:11:03,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
57,2021-01-21 22:04:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
58,2021-01-16 07:24:04,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
59,2021-01-15 06:10:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,3,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
64,2021-01-05 02:09:04,"$AAPL, $IWM, $FUBO, $F, $GNW breaking down to new lows  ",0,1,0,0,0,3,0.024827994,0.92953694,0.045635093,Neg,-0.9047089,breakoutstocks
65,2021-01-01 07:25:02,"$MSFT, $CRM, $DKNG, $PFE, $SPXS, $CMCM breaking down to new lows  ",0,1,0,0,0,4,0.02490368,0.93175364,0.043342628,Neg,-0.90685,breakoutstocks
67,2020-12-23 22:05:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
70,2020-12-12 07:33:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
71,2020-12-04 22:06:03,What usually happens after Facebook $FB breaks out?  ,0,1,0,1,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
72,2020-12-02 02:28:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,1,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
74,2020-11-28 04:41:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
76,2020-11-18 22:05:03,"$MSFT, $YY breaking down to new lows  ",0,1,0,0,0,1,0.072191425,0.8741246,0.05368406,Neg,-0.80193317,breakoutstocks
78,2020-11-10 12:49:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
82,2020-11-04 08:44:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
87,2020-10-02 22:05:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
94,2020-09-14 22:03:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
95,2020-09-11 13:03:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
98,2020-09-08 22:05:03,"$XLF, $CRBP, $QQQ, $MSFT, $NOK breaking down to new lows  ",0,1,0,0,0,2,0.030392522,0.9238551,0.04575241,Neg,-0.8934626,breakoutstocks
99,2020-09-05 12:55:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
100,2020-08-21 04:54:01,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,3,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
101,2020-08-19 13:01:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
105,2020-08-06 07:53:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
106,2020-07-31 02:08:00,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,1,2,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
109,2020-07-22 07:07:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
111,2020-06-27 05:45:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,1,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
114,2020-06-17 02:16:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,1,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
119,2020-06-05 12:57:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
124,2020-05-16 02:12:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,1,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
129,2020-05-05 12:20:00,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,1,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
133,2020-04-23 22:03:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
147,2020-03-25 12:28:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
153,2020-03-05 13:18:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
156,2020-02-24 22:02:00,"$SIRI, $BAC, $AAPL, $EEM breaking down to new lows  ",0,1,0,0,0,1,0.05233229,0.87513334,0.072534405,Neg,-0.82280105,breakoutstocks
158,2020-02-19 07:45:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
163,2020-02-05 02:34:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
164,2020-01-31 04:59:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
169,2020-01-11 13:03:00,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,2,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
172,2020-01-02 22:00:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
173,2019-12-31 22:01:01,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,1,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
176,2019-12-24 12:57:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
178,2019-12-18 02:08:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
184,2019-11-14 12:53:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
187,2019-11-02 11:27:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
189,2019-10-26 02:23:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
190,2019-10-23 07:24:00,"$FB, $MDR, $GNW, $MRK, $HAS breaking down to new lows  ",0,1,0,0,0,0,0.0153837865,0.94646657,0.03814963,Neg,-0.9310828,breakoutstocks
195,2019-09-24 00:45:04,"Stocks may be poised for dramatic surge, technical analysts say   $SPY $SPX $RUT $QQQ breakout",1,1,1,0,0,0,0.8255506,0.100407146,0.074042276,Pos,0.7251435,breakoutstocks
199,2019-09-11 07:12:03,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,2,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
201,2019-09-06 21:59:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
210,2019-08-16 06:58:05,"$SPY, $MNKD, $NOK, $GRPN, $ABEV, $NLY breaking down to new lows  ",0,1,0,0,0,2,0.03612078,0.9173159,0.046563257,Neg,-0.8811951,breakoutstocks
212,2019-08-09 12:46:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
216,2019-07-25 04:33:05,"$JCP, $FB, $UGAZ, $IRBT, $NSC breaking down to new lows  ",0,1,0,0,0,0,0.024447422,0.9259076,0.049644947,Neg,-0.9014602,breakoutstocks
218,2019-07-20 12:02:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
221,2019-07-12 06:21:01,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,2,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
223,2019-07-10 02:20:00,"Momentum Investing: It Works, But Why?   $SPY $QQQ $DJI stocks trading",0,1,0,0,0,2,0.04641711,0.019321438,0.9342614,Neu,0.027095672,breakoutstocks
224,2019-07-07 22:01:01,"If everyone else is worried about stocks, capitalize on the fear and make a fortune   $SPY $QQQ $DIA stocks",1,1,0,0,0,1,0.08721118,0.015020747,0.897768,Neu,0.072190434,breakoutstocks
225,2019-07-06 01:29:04,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,1,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
226,2019-07-04 09:59:01,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
227,2019-07-02 21:52:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
228,2019-06-28 07:01:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
229,2019-06-21 07:17:04,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
232,2019-06-12 02:16:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
234,2019-06-05 21:53:03,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
236,2019-06-01 13:01:05,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
238,2019-05-29 03:36:00,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
240,2019-05-14 07:59:05,"$X, $F, $ABEV, $BAC, $SPY, $AAPL breaking down to new lows  ",0,1,0,0,0,2,0.034109507,0.8795217,0.08636883,Neg,-0.8454122,breakoutstocks
241,2019-05-11 07:04:04,"$TRXC, $YELP, $AAPL, $SNAP, $HK breaking down to new lows  ",0,1,0,0,0,0,0.051263444,0.8573148,0.091421664,Neg,-0.8060514,breakoutstocks
242,2019-05-08 12:49:05,"$SIRI, $QQQ, $SPY, $EEM, $CPRX, $FXI breaking down to new lows  ",0,1,0,0,0,0,0.031873543,0.9171473,0.050979104,Neg,-0.88527375,breakoutstocks
243,2019-05-07 13:36:05,What usually happens after Facebook $FB breaks out?  ,0,1,0,1,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
244,2019-05-03 07:35:01,"$SPY, $NLY, $USO, $AMD breaking down to new lows  ",0,1,0,0,0,1,0.05233967,0.8470945,0.100565866,Neg,-0.7947548,breakoutstocks
245,2019-05-01 07:35:02,What usually happens after Apple $AAPL breaks out?  ,0,1,0,0,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
250,2019-03-28 07:29:05,What usually happens after Facebook $FB breaks out?  ,0,1,0,0,0,0,0.025029182,0.23424469,0.7407261,Neu,-0.2092155,breakoutstocks
253,2019-03-22 12:10:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
255,2019-03-15 01:10:01,What usually happens after Apple $AAPL breaks out?  ,0,1,0,1,0,0,0.02286356,0.2938744,0.683262,Neu,-0.27101085,breakoutstocks
