,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-23 01:44:04," This is my version of an overlay ""chart crime"", but I can't help but see the uncanny resemblance.  Going back to watch all 10 seasons to adjust my 2021 S&P 500 target.",0,1,1,1,0,3,0.062002767,0.03435332,0.90364397,Neu,0.027649447,brunicharting
1,2021-07-06 16:11:02,"Everyone talking about about the space race between Jeff Bezos and Richard Branson, but the joke is on them.  The real race has been won by Amazon stock, which just broke out to new all-time highs on the back of a potential ""breakaway gap.""  $4,220 ahead?  ",1,1,0,3,9,34,0.15283795,0.039125495,0.80803657,Neu,0.11371245,brunicharting
2,2021-07-02 02:01:03,"  Yup, Google Fit for basic step tracking.  I use the free version of Strava to track runs, but for everyday use Google Fit does the job in the background!",0,1,0,1,0,1,0.03478797,0.04007813,0.9251339,Neu,-0.005290158,brunicharting
3,2021-06-13 19:03:02,"Here's the long-term base ($TAN/$SPY).  Can it stabilize at higher levels & resume to the upside? or does it fizzle out like rally attempts over the last decade?  Given the length of the base, I'd argue this is more sustainable. than past attempts. Doesn't mean drawdown is done.  ",1,1,1,1,0,7,0.2060672,0.03247547,0.7614574,Neu,0.17359173,brunicharting
4,2021-01-27 14:43:04,"Although I'm day/swing trading S&P Futures, I have been using intermarket analysis quite a bit.  This morning touching on the risk in Crypto, Copper, Crude, and overseas indexes.  May do ""bigger picture"" streams on weekends just to document my thoughts.   ",1,1,0,0,1,5,0.05227933,0.026334232,0.9213864,Neu,0.0259451,brunicharting
6,2020-12-11 21:59:02,"That's it, I'm moving my company's P.O. Box from NY to Austin, Texas.",0,1,0,0,0,21,0.065622754,0.019629154,0.91474813,Neu,0.0459936,brunicharting
7,2020-12-06 19:28:03," lol yeah, it's real.   Stumbled upon it when I was looking for something to watch on Amazon Prime lol.  As for the explanation, that's just my ridiculous commentary. I'm sure it's just a mistake.  ",1,1,0,1,0,3,0.027807934,0.44537705,0.526815,Neu,-0.41756913,brunicharting
8,2020-12-06 19:20:04,"BREAKING:   Amazon Prime has moved ""The Big Short"" to the comedy movies section of its catalog as new ""everything bubble"" makes housing crisis look like a case of the Mondays.  ",1,1,0,1,1,33,0.1568381,0.039855883,0.803306,Neu,0.11698222,brunicharting
9,2020-11-27 20:11:02," Google Translate says that was English, but I'm lost...so your call lol  ",1,1,0,2,0,1,0.04060214,0.03823178,0.92116606,Neu,0.0023703612,brunicharting
10,2020-10-27 20:11:05,In high school I invested in a pack of gum and then sold individual pieces for a dollar.  Pretty sure my ROI was higher than that of the S&P or Bonds.  Does that mean it's time to sell my bonds and start a gum flipping business? or maybe an ETF?   Any pension fund want to invest?,1,1,0,2,0,4,0.06325095,0.01865958,0.91808945,Neu,0.04459137,brunicharting
12,2020-09-08 20:33:04,For today's chart crime I overlayed the inverted WIG Index (Poland) and the S&P 500 VIX Index.  Does Poland hold the key to volatility in the US?   Just because stuff looks the same doesn't mean you can do anything useful with it.  ,1,1,1,2,1,9,0.07029674,0.029265538,0.90043765,Neu,0.041031204,brunicharting
13,2020-08-17 21:41:00,"Call of Duty streamer on Facebook is sponsored by a subscription product for buying physical gold.   I've seen a ton of robinhood sponsorships, but never a physical gold one lol.   Peak store of value?  ",1,1,0,1,0,9,0.042539954,0.027564686,0.92989534,Neu,0.014975268,brunicharting
14,2020-08-09 20:13:03," This reminds me of those people that print out their emails or Facebook feed to read them.  ""bro""",0,1,0,0,0,3,0.028051103,0.046650294,0.9252986,Neu,-0.018599192,brunicharting
15,2020-07-22 15:04:05,"Indices flat, but leading stocks still on the move.  Where is your attention?  Each tick of the S&P 500, or the thousands of other opportunities that develop every day?",0,1,0,0,0,4,0.048115943,0.07454179,0.8773423,Neu,-0.02642585,brunicharting
16,2020-07-11 15:42:02,Congratulations to Microsoft for:  1) Finally getting me to restart my computer to install their updates; and  2) Changing the Microsoft Edge logo so it takes me a second longer to find and delete it.,0,1,0,2,3,40,0.47807446,0.019249253,0.50267625,Neu,0.4588252,brunicharting
17,2020-07-06 15:57:02,Is a ten-year trend of underperformance in the Taiwan Weighted Index finally over?  One of the few constructive bases out there relative to the S&P 500.  ,0,1,0,2,0,7,0.06923031,0.57410014,0.35666955,Neg,-0.5048698,brunicharting
18,2020-07-06 15:44:02,"On an equally-weighted basis Amazon is still $3,000 per share.",0,1,0,0,1,3,0.04389286,0.0273798,0.9287273,Neu,0.01651306,brunicharting
19,2020-06-24 16:33:03,"A lot of the country indexes I discussed in this post a couple weeks ago are still working through overhead supply at their respective resistance levels.  Here's an updated chart of the S&P 500 as of yesterday's close. Breaking 2,940 would be significant.     ",1,1,1,0,1,11,0.03577841,0.061333187,0.9028884,Neu,-0.025554776,brunicharting
20,2020-06-20 17:29:01," Woah, for $5 I can own 1.6% of Apple?  Updates LinkedIn to business owner.",0,1,1,2,0,26,0.06360285,0.011334253,0.9250629,Neu,0.0522686,brunicharting
21,2020-06-16 17:25:05,Fellow Technical Analysts and market participants.  Do you consider today's gap up in the S&P 500 filled?  Why or why not? Let me know down below.  ,1,1,0,17,4,26,0.07724954,0.08735122,0.8353992,Neu,-0.010101676,brunicharting
22,2020-05-28 18:40:01,"A close above the 10-month moving average and 200-day moving average this week would get basic trend-following systems long again after selling at the end of February.  At least for the R3K and S&P 500. IWM not so far, and QQQ already above it last month.",0,1,1,1,12,40,0.86715055,0.05275988,0.08008963,Pos,0.81439066,brunicharting
23,2020-05-20 18:14:03," ""Sir, this is a   *inset robot voice*   apple.""",0,1,0,0,0,1,0.039727572,0.032203756,0.9280687,Neu,0.007523816,brunicharting
24,2020-04-22 18:33:04,"   GE's no longer in the Dow. Replaced by WBA last year, but get your point...it is very ugly =)  We don't discriminate! Any crappy chart with a skewed reward/risk is on the table.",1,1,0,1,0,2,0.02759704,0.4631825,0.5092205,Neu,-0.43558547,brunicharting
25,2020-04-14 23:22:04,"Before we start with the ""too far too fast"" comments on Amazon and Netflix, I'd like to remind you that both stocks have gone absolutely nowhere for nearly 2 years.  If you're gonna fade them longer-term, you need a stronger argument than that.",1,1,1,6,10,100,0.06459024,0.32297578,0.6124339,Neu,-0.25838554,brunicharting
26,2020-04-01 16:13:03,   Skype has been the same crappy software since I used it 10 years ago for World of Warcraft and other games.  It's always been cumbersome to use from a retail perspective. At the corporate level it's just the default b/c of its integration with Microsoft office & other tools.,1,1,0,1,0,3,0.023512479,0.43356714,0.5429204,Neu,-0.41005465,brunicharting
27,2020-03-27 14:34:02,Some obvious levels I'm watching.  SPX / R3K December Lows. QQQ 170 Copper 1.95 Crude Oil 20 Dollar Index 99 Ten-Year Yield 0.65 TLT 179  A lot of intermarket ratios and such. But if you're keeping it simple the above ones are a good start.,1,1,0,0,1,12,0.11690523,0.11700147,0.76609325,Neu,-9.623915e-05,brunicharting
28,2020-03-25 12:47:02,"The market's ""best players"" have NOT broken the December 2018 lows on an equally-weighted basis while the S&P 500 has.  Another positive divergence to add to the list.  ",0,1,0,1,11,52,0.27035192,0.3962595,0.3333886,Neg,-0.12590757,brunicharting
29,2020-03-23 16:17:04,"   Yikes was in reference to the second largest stock in the US, Apple, breaking down to new lows.  That's a bad thing for the overall market. Meant nothing more by my comment.   Have a great rest of your day/week.",1,1,0,1,0,0,0.016568067,0.93488246,0.048549388,Neg,-0.9183144,brunicharting
30,2020-03-23 14:52:00,"The Mexico ETF's symbol is based on the phrase people utter after seeing its relative trend from the last 6-7 years, $EWW / $SPY  ",1,1,0,0,0,8,0.060589008,0.040645573,0.8987654,Neu,0.019943435,brunicharting
31,2020-03-23 14:27:00,"A lot of these country ETFs trading like they'll never outperform again relative to the S&P 500. $EWA $SPY  But, I guess if the whole world goes to zero it doesn't matter who gets there first.  ",1,1,1,1,1,7,0.04970358,0.17019309,0.78010327,Neu,-0.12048951,brunicharting
32,2020-03-23 14:19:05,Switzerland / S&P 500 ratio shifted from a downtrend to a sideways trend in early 2019 and is now firmly in an uptrend. $EWL $SPY  ,1,1,0,0,2,7,0.183281,0.72450274,0.09221629,Neg,-0.54122174,brunicharting
33,2020-03-22 17:18:04,"Mid-Caps back to their 2009 lows relative to the S&P 1500.   Seeing a lot of charts at key levels like this, if the fail...yikes. $MDY / $SP1500  ",0,1,0,0,0,4,0.05209489,0.86026984,0.087635286,Neg,-0.80817497,brunicharting
35,2020-03-19 14:27:05,"For the first time in a while, longs have a clear level to trade against.  For the S&P 500 it's the December lows. For Mid/Small-Caps it's the 2016 lows.  Add some confirmed bullish momentum divergences to that and we might have the start of a little counter-trend rally.  ",0,1,1,1,3,29,0.17121445,0.4582079,0.37057766,Neg,-0.28699344,brunicharting
37,2020-03-17 01:15:00," Those are things that continued.  As for things that may have caught some off guard as the baby gets thrown out with the bath water...maybe GDX vs SPY?  Wasn't a decisive uptrend, but wasn't a downtrend either. Messy at best. Sharp moves in both directions now.  ",1,1,1,1,0,2,0.087341696,0.34785318,0.5648051,Neu,-0.2605115,brunicharting
39,2020-03-17 00:40:02,"Medical Devices relative to the S&P 500 continues to work, but relative to the rest of Healthcare there looks to be more downside ahead.  $IHI $XLV $SPY  ",0,1,0,0,1,2,0.3547136,0.44966954,0.19561684,Neg,-0.09495595,brunicharting
40,2020-03-17 00:28:03,"Trucking stocks really outperforming here, but this is not a new trend.  They've been in an uptrend relative to the Dow Transports for years and broke out of a massive base in mid-February before shit hit the fan. $DJUSTK $DJT  ",1,1,0,0,0,5,0.13544177,0.64411634,0.22044192,Neg,-0.50867456,brunicharting
41,2020-03-16 19:05:00,  And for the SPX was referring to the February closing low vs April closing low. Price and RSI readings very close to being the same. So is that a divergence?  As opposed to the March vs April closing low which is a very clear lower low & higher low in momentum situation.  ,1,1,0,1,1,1,0.04470893,0.4389842,0.51630694,Neu,-0.39427525,brunicharting
42,2020-03-02 22:53:02,"Remember, don't talk about Dow Points unless we're up.  Otherwise, use percentages you animals.",0,1,0,1,0,14,0.044808302,0.0395494,0.9156424,Neu,0.005258903,brunicharting
43,2020-02-18 16:37:00,"Watching closely this week to see if prices of the major indices close below their January highs and confirm the many bearish divergences we're seeing.  Although this would be a signal of near-term weakness, as long as the S&P is above 2,950 then structurally things are intact.  ",0,1,1,2,3,27,0.18455349,0.72878766,0.0866589,Neg,-0.54423416,brunicharting
44,2020-02-14 16:38:02,Big ups to  and  on winning the  2020 Dow Award.  They presented their concept at last month's NY Chapter Meeting and it was very insightful.   Looking forward to seeing them present on it in full at the upcoming CMT Symposium in April!,1,1,0,1,1,4,0.5887352,0.012675157,0.39858964,Pos,0.57606006,brunicharting
45,2020-02-05 14:35:02,Did anyone else have to google John Elway?  Thought he was a singer or something.,1,1,0,4,0,2,0.03324899,0.07944288,0.88730806,Neu,-0.04619389,brunicharting
46,2020-01-29 02:41:02,"What an evil thing to do, this Apple is rotten to the core.",1,1,0,0,2,4,0.0136303045,0.89477485,0.09159479,Neg,-0.8811445,brunicharting
47,2020-01-28 16:48:04,"It's Apple and Microsoft doing all the heavy lifting in Tech.  Bro, what? $RYT $RSP  ",0,1,0,1,1,7,0.045418818,0.030468887,0.92411226,Neu,0.014949931,brunicharting
48,2020-01-23 15:45:01,"  For this particular chart it's daily, but yes we do incorporate weekly and monthly charts in our analysis as well.  For example, in the post the XLB/SPY ratio is using the weekly timeframe.",0,1,0,0,0,1,0.024526076,0.049123682,0.92635024,Neu,-0.024597606,brunicharting
49,2020-01-21 18:37:04,Anyone have forward S&P 500 returns following the first case of Ebola?,1,1,0,0,0,9,0.047635615,0.12465111,0.82771325,Neu,-0.0770155,brunicharting
50,2020-01-19 18:06:01,"Just go through the S&P 1500 by sector, or alphabetical order, or however you wanna do it and you'll find plenty of opportunity.  If you do it regularly the trends that matter will smack you in the face.",0,1,1,0,1,12,0.045417905,0.05538701,0.8991951,Neu,-0.009969104,brunicharting
52,2020-01-19 17:33:05, Dow Jones Auto Index has had a nice run relative to the Consumer Discretionary sector. $DSAU $XLY  ,1,1,0,0,0,3,0.90326405,0.046743535,0.049992368,Pos,0.85652053,brunicharting
54,2020-01-19 17:14:03, Interested to see how Micro-Caps continue to base relative to the S&P 1500. Holding up much better than Small and Mid-Caps relative to the broader group. $IWC $SP1500  ,0,1,0,0,0,3,0.85767037,0.012617137,0.12971257,Pos,0.84505326,brunicharting
56,2020-01-19 17:06:00, The Mobile Payment trend remains intact. $IPAY $SPY  ,0,1,0,0,0,2,0.53511226,0.016028792,0.44885898,Pos,0.5190835,brunicharting
57,2020-01-17 16:10:04,"This is in contrast to something like EWT/SPY which has been able to digest its gains through time with momentum staying out of oversold territory.  So far so good, but need to see some continuation higher soon.  ",1,1,0,0,0,0,0.95366085,0.01852598,0.02781306,Pos,0.9351349,brunicharting
