,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-31 14:28:03,The combined revenue of the 4 largest US companies hit a record $1.15 trillion over last 12 months... Apple $AAPL: $347 billion Microsoft $MSFT: $168 billion Google $GOOGL: $197 billion Amazon $AMZN: $443 billion  That's larger than the GDP of all but 14 countries.,1,1,0,34,234,694,0.3268852,0.016889581,0.6562253,Neu,0.30999562,charliebilello
6,2021-07-29 04:59:03,"Facebook Monthly Active Users, Billions (YoY % Change)... Q2 21: 2.9 (+7%) Q2 20: 2.7 (+12%) Q2 19: 2.4 (+8%) Q2 18: 2.2 (+12%) Q2 17: 2.0 (+17%) Q2 16: 1.7 (+15%) Q2 15: 1.5 (+13%) Q2 14: 1.3 (+14%) Q2 13: 1.16 (+21%) Q2 12: 0.96 (+30%) Q2 11: 0.74 (+54%) Q2 10: 0.48 (+100%) $FB",0,1,0,9,29,132,0.035878837,0.037058488,0.92706263,Neu,-0.0011796504,charliebilello
7,2021-07-28 22:02:05,"Facebook revenues grew 56% over the last year, highest growth rate since 2016. $29.1 billion revenue was a new quarterly high, beating estimates of $27.9 billion. $FB  Data via   ",1,1,0,3,32,152,0.9382877,0.019265953,0.042446353,Pos,0.9190217,charliebilello
13,2021-07-28 13:44:02,"Apple Services Revenue, Billions (YoY %) Q3 21: 17.5 (+33%) Q3 20: 13.2 (+15%) Q3 19: 11.5 (+20%) Q3 18: 9.6 (+31%) Q3 17: 7.3 (+22%) Q3 16: 6 (+19%) Q3 15: 5 (+12%) Q3 14: 4.5 (+13%)  Services: iTunes, software, entertainment library, digital content, AppleCare, & Apple Pay.",0,1,0,0,7,31,0.028955532,0.02325944,0.94778496,Neu,0.005696092,charliebilello
15,2021-07-28 13:38:02,Apple revenues increased 36% year-over-year. Its $81.4 billion in sales beat estimates by $8 billion.  $AAPL  ,1,1,0,4,32,138,0.9555366,0.01658327,0.027880086,Pos,0.93895334,charliebilello
16,2021-07-26 19:15:01,Since Alibaba's IPO in 2014 $BABA grew its revenues by 931% versus 392% for $AMZN.  But the lofty expectations at its IPO and ensuing multiple contraction (from 24x sales to 4.9x) outweighed this unbelievable growth.  Lesson: valuation does matter from time to time...  ,1,1,0,5,38,226,0.4058011,0.36523584,0.22896308,Pos,0.040565252,charliebilello
18,2021-07-26 16:05:01,Over the last 10 years $BIDU grew its revenues by 813% versus 450% for $GOOGL.   But the lofty expectations 10 years ago and ensuing multiple contraction (from 42x sales to 3.4x) outweighed this unbelievable growth.  Lesson: valuation does matter from time to time...  ,1,1,0,9,42,225,0.3626572,0.2916826,0.34566024,Pos,0.07097459,charliebilello
19,2021-07-26 15:56:01,10 years ago Baidu was trading at 42x sales vs. 6x for Google.   Total returns since...  $GOOGL: +753% $BIDU: +1%  P/S Ratios today... $GOOGL: 9.9x $BIDU: 3.4x  Data via   ,1,1,0,17,158,626,0.08386523,0.03522785,0.88090694,Neu,0.048637383,charliebilello
20,2021-07-26 15:02:01,China equities continue to underperform w/ oldest China ETF at a new relative low versus the US.  $FXI / $SPY  Charting via   ,0,1,0,7,38,134,0.02410923,0.9650615,0.010829196,Neg,-0.94095224,charliebilello
21,2021-07-23 23:02:04,S&P 500 closed at an all-time high today for the 40th time this year.  There have been 316 all-time highs since the beginning of 2013 w/ at least 1 all-time high each yr (8 yrs in a row). From 1989-2000 there were 327 all-time highs w/ at least 1 per yr (11 yrs in row).  $SPX  ,1,1,0,11,80,260,0.18704377,0.046375334,0.7665809,Neu,0.14066844,charliebilello
