,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-19 15:01:04,"$ES_F Daily SP500.  Coincidence we break just as the 2 week opening range in July was completed? Below the 6M vol window, back to testing last month's high.  June low will be key to defend, failure to do so reverses breakout confirms failure.  ",1,1,1,0,3,7,0.4281802,0.4464147,0.12540513,Neg,-0.018234521,chicagostock
2,2021-07-08 14:57:04,$AAPL so close to taking out its ATH yesterday.,0,1,0,0,1,1,0.74304724,0.0437695,0.21318325,Pos,0.69927776,chicagostock
4,2021-05-17 19:49:01,"Going into  store has become the biggest turn off. Went in to buy an iPhone, heavy security at front, check temperature, ghost town inside, sales person unmotivated and depressed.  Ended up ordering online from carrier.  Apple store = horrible experience.",1,1,0,2,1,7,0.0115109645,0.92382926,0.06465974,Neg,-0.9123183,chicagostock
6,2021-05-11 02:00:00,"$ES_F SP500 Failure to hold past May 3rd's 4202 high.  Failure to hold 4140 opens door to last week's 4120 low, which opens door to sell stops &lt; last 3 week low 4110.  ",0,1,0,0,2,6,0.016930137,0.95980453,0.023265291,Neg,-0.9428744,chicagostock
7,2021-05-04 02:34:04,"So many people throwing out random numbers, SP500 going to 4400, 4600, 4800... Seems carried away and blind sided. After closing out a big month in April, and up 90% since COVID bottom, how much more? A 2% correction (&lt;4110) gives reason to take profit and a vacation.",1,1,0,3,0,11,0.17703795,0.531076,0.29188606,Neg,-0.35403806,chicagostock
8,2021-04-01 15:11:00,$NQ_F Nasdaq pushing last month's 13328 high.  $ES_F SP500  4k  ,0,1,0,1,0,6,0.7439016,0.12318235,0.13291605,Pos,0.62071925,chicagostock
9,2021-03-15 17:20:01,"$ES_F Intraday V bottom SP500 with dip into 3D pivot range defended, trapping intraday shorts &lt; 28  ",1,1,0,1,2,5,0.12141997,0.37911004,0.49947008,Neu,-0.25769007,chicagostock
16,2021-01-28 04:36:01,"$ES_F Bull trap in the SP500 and Bear trap in $GME.  Bears liquidate longs to cover their short losses, amplifying downside in stocks as trapped longs also forced to liquidate.",1,1,0,1,1,4,0.024283865,0.9516272,0.024088891,Neg,-0.9273433,chicagostock
17,2021-01-27 19:31:04,"$ES_F SP500 back at the lows after squeezing short sellers from 65-90 early afternoon.   ""It doesn't mean these investors that shorted the stock were necessarily wrong"" - Wapner  ",1,1,0,1,1,1,0.06328961,0.8482233,0.08848711,Neg,-0.7849337,chicagostock
18,2021-01-27 14:32:01,"$ES_F Yesterday was the 5th close above the 6 month vol window in the SP500, setting a bull bias.  See February 2020.  ",1,1,0,0,1,4,0.11244312,0.14055634,0.7470006,Neu,-0.028113216,chicagostock
21,2020-12-01 15:41:04,$ES_F Daily SP500  testing top of trading channel again after making new ATHs today.  ,0,1,0,3,1,9,0.81339115,0.042408638,0.14420016,Pos,0.7709825,chicagostock
25,2020-11-06 00:43:01,$ES_F SP500 getting another shot at filling its 3579 gap from September 2nd.  ,0,1,0,0,4,15,0.94159037,0.020656958,0.037752725,Pos,0.9209334,chicagostock
26,2020-11-04 03:09:02,$ES_F SP500 getting up to last Monday's 3430 high.  ,0,1,0,0,2,9,0.9374262,0.021668367,0.04090535,Pos,0.91575783,chicagostock
28,2020-10-29 21:43:05,Still like picking up Apple down near the January high.  Why chase? Let it fall back to retest it's breakout.,0,1,0,0,0,3,0.06483866,0.2981889,0.6369725,Neu,-0.23335023,chicagostock
32,2020-10-15 17:46:02,$ES_F SP500 Fighting to hold its hourly 200SMA @ 3443. $NQ_F Nasdaq 200SMA 300 points lower @ 11468  ,0,1,0,0,0,8,0.0125222495,0.9309536,0.056524143,Neg,-0.9184314,chicagostock
33,2020-10-14 16:51:05," Why was my account disabled with no violations, warnings, or reasoning? The power FB has to just disconnect people from the platform without clear reasoning is anti free speech and illegal. Zero customer service. Your ""communications"" is horrible. Good riddance.",1,1,0,1,0,3,0.013673586,0.8181493,0.16817707,Neg,-0.8044757,chicagostock
37,2020-09-08 16:37:01,I'll take TSLA off your hands @ 165 and AAPL @ 80.,0,1,1,4,2,23,0.031361707,0.026099512,0.94253874,Neu,0.005262194,chicagostock
41,2020-08-27 16:50:03,Another 300 in the Dow to fill it's February gap,0,1,0,0,0,3,0.088808894,0.10198752,0.80920357,Neu,-0.013178624,chicagostock
42,2020-08-26 20:53:02,"If we think SP500/Nasdaq too high, Dow still has it's gap from February that's open @ 28871...  ",0,1,0,2,0,5,0.05422359,0.8189441,0.12683232,Neg,-0.7647205,chicagostock
45,2020-06-23 19:10:05,$ES_F $NQ_F A tale of 2 tapes.   Nasdaq to the🌛 while SP500 has trouble recovering March 3137 high after stop run early this month.  ,0,1,0,2,3,1,0.30304033,0.6692974,0.02766225,Neg,-0.36625707,chicagostock
47,2020-06-11 15:33:00,Netflix and Amazon keeping this market afloat,0,1,0,1,2,9,0.72532517,0.014339925,0.2603349,Pos,0.71098524,chicagostock
49,2020-04-30 16:14:01,"Buying into resistance, what I want to see.. McElligott today writes that his CTA model’s S&P futures position flipped yesterday, from the recent “-69% Short” signal to the current “+100% Long,” they bought a total of $36.8BN across Emini futures yesterday  ",1,1,0,4,8,29,0.90037805,0.023723485,0.07589847,Pos,0.87665457,chicagostock
53,2020-03-25 16:35:00,"After a 300pt rally in the SP500, the propaganda arm of the Fed (cnbc) calling for a bottom and saying don't fight the Fed.  Just a short squeeze here, true test will be if retest will hold.   ",0,1,1,4,9,29,0.17792623,0.11187026,0.7102035,Neu,0.06605597,chicagostock
54,2020-03-23 13:10:05,"$ES_F SP500 o/n futures limit down bounce off retest of 2170s. Failure to hold = next stops below 2028 for shot at 1900.  Back to 2380 first key resistance, back through last week's 2650 high needed to reverse breakdown for shot at last month's 2850 low.  ",1,1,0,0,4,7,0.25168118,0.52598083,0.22233799,Neg,-0.27429965,chicagostock
57,2020-03-18 23:55:00,What's the big deal?  The SP500 fell 118 points (5%) from last week's low of 2380 into 2262 this week. The big swings in between = noise. Flush &lt;2380 setup a bear trap as market is &gt; last wk low @ 2450.  Back through weekly high 2650 for SQUEEZE  ,1,1,0,0,4,5,0.012973921,0.96503884,0.021987213,Neg,-0.95206493,chicagostock
58,2020-03-16 13:26:04,"SP500 down 30% from high to low.  We've talked about how there hasn't been much panic in markets, people still trying to buy and call bottom.  Market will not bottom until you are AFRAID of buying and when you do buy a bottom you don't go all in because you are too scared too.",1,1,1,0,4,14,0.010259796,0.96453595,0.025204219,Neg,-0.95427614,chicagostock
60,2020-03-13 01:38:00,"Here we go again!   SP500 Futures limit down guide.   Globex 5% 2334 Cash 7% 2284.50, 13% 2136, 20% 1962",0,1,0,2,12,19,0.036619056,0.08815197,0.875229,Neu,-0.051532913,chicagostock
61,2020-03-12 17:02:02,Even the FED is buying SP500 @ 2500,0,1,0,0,0,10,0.09658217,0.022941176,0.8804767,Neu,0.07364099,chicagostock
62,2020-03-12 02:52:04,Look at this mess the Dow has been in the last 2 years between 21000-29000 after the initial breakout in 2016.  ,1,1,0,1,2,2,0.05431525,0.05659239,0.8890924,Neu,-0.0022771396,chicagostock
65,2020-03-09 22:44:02,"Hopefully we wont need these for tomorrow...  $ES_F SP500 Futures Limit Down   Globex 5% 2605 Cash 7% 2550, 13% 2385, 20% 2193",0,1,0,0,4,10,0.042120785,0.0986181,0.8592611,Neu,-0.056497313,chicagostock
68,2020-03-06 19:01:00,"$ES_F $NQ_F Nasdaq caught buyers above vol window and unable to recover. SP500 squeeze off 28 open into running stops &gt; 55 only to fall short again and below vol window, buyers failed to take out HOD. Leaves longs on hook above window.  ",1,1,0,1,0,1,0.02050065,0.9465186,0.03298076,Neg,-0.92601794,chicagostock
70,2020-03-02 20:46:05,"$ES_F SP500 back to testing first key failure 200 DMA, December low 3069.  Next failures above = 3180-3225.  ",0,1,0,0,3,8,0.035137855,0.6463322,0.3185299,Neg,-0.6111944,chicagostock
72,2020-02-28 20:13:03,"Markets paused bleeding intraday today, but buyers still having trouble carrying the water after shorts being squeezed. Next major levels should today's low fail... Dow 23400, ES 2500, NQ 7850.",1,1,1,1,1,4,0.05565714,0.57786524,0.36647758,Neg,-0.5222081,chicagostock
74,2020-01-30 15:54:00,"$ES_F 1 year ago today the SP500 established a bullish 6M bias and a V bottom at 2678, targeting 2916.  Got up to 3337. 25% gain.  At that time, sentiment was very negative, vs now.",1,1,0,1,2,6,0.014595166,0.9566483,0.028756585,Neg,-0.94205314,chicagostock
79,2020-01-26 23:24:00,"$ES_F SP500 Futures gap down into expanding 3301-3337 range down to 3265. This comes after the failed retest of ATHs on Friday, creating the right shoulder. Quick downside after closing &lt; neckline.  Key on any bounce.  Next big downside s 3240/3205.  ",1,1,0,0,1,2,0.015279586,0.9365172,0.04820324,Neg,-0.9212376,chicagostock
80,2020-01-22 22:28:01,"$ES_F Today's SP500 trade, gaping higher to run and fail its test of the upper vol window, giving way for a close below the lower vol window trapping buyers on the gap higher.  ",0,1,0,1,2,6,0.70037395,0.2593674,0.040258616,Pos,0.44100654,chicagostock
96,2019-08-19 14:21:01,$ES_F SP500 +100 since setting this bear trap &lt;2837 @ 2825 from Thursday's low.,0,1,0,0,3,3,0.8811172,0.06858671,0.050296076,Pos,0.8125305,chicagostock
98,2019-08-01 20:52:02,POTUS has a lot of leeway with the stock market.  SP500 up 33% (1kpoints) from Nov 16 election 2028-3029,0,1,0,1,1,2,0.95455325,0.018913388,0.026533378,Pos,0.93563986,chicagostock
99,2019-06-11 21:13:02,Free 2 Week Trial SP500 Daily Futures Report including Pivots / Intraday Volatility Windows. Sign up here:    Just in time for the 2nd half of the year and new 6M vol windows for July-Dec.  ,0,1,0,0,0,6,0.08659617,0.012600312,0.90080357,Neu,0.07399586,chicagostock
102,2019-04-11 17:54:02,"$ES_F SP500 Intraday falls below lower vol window to set bearish intraday bias.  Will sellers try again today after failing yesterday? Must expand below 88 to do so, failure, gives opp to use new short as fuel. 95 resistance, Reversal window 99.  ",0,1,1,0,0,9,0.68294334,0.15095961,0.16609709,Pos,0.53198373,chicagostock
104,2019-03-18 00:21:05,"$ES_F Last Monday, SP500 closed above its 3D pivot to reverse its ST negative trend into a bull. For remainder of the week pivots below acted as support, creating upside pressure.  Monday's 3D pivot range &lt;MKT for buyers to defend.  Close &lt; needed to reverse Bull.  ",1,1,0,0,5,10,0.6897961,0.2514468,0.058757097,Pos,0.43834928,chicagostock
105,2019-02-20 03:52:01,$ZB_F Bond market attempting to b/o of consolidation range as the SP500 retests Dec 3rd high. Bonds no where near Dec 3rd low. Who's lying? 14805 key overhead based off year high.  ,1,1,0,0,3,3,0.20742498,0.5570322,0.23554273,Neg,-0.34960723,chicagostock
106,2019-02-13 21:05:01,$ES_F SP500 Moved up 300+ since Gov shutdown Dec 22 and reopened Jan 25.  The 100 point move up since reopening a bull trap of the late buyers? 😈  ,1,1,0,1,5,17,0.9381624,0.016423836,0.045413762,Pos,0.92173856,chicagostock
107,2019-02-06 17:41:02,"$ES_F Weekly SP500 Index. Bears trapped &lt; 2600, squeezing back to retest failed Dec high 2814.  Over needed to recover break / squeeze shorts, attempt retest of last Aug-Sep bull trap.  Failure to hold 2600, opens door for retest of 2520.  ",1,1,0,1,1,9,0.5839291,0.35130638,0.064764604,Pos,0.23262274,chicagostock
109,2019-01-29 14:23:00,"$ES_F Bull Flag? After initial leg up 2438-2678, running into Dec 12 2686 high, SP500 attempting to flag as buyers fight to defend 2630s.  ",1,1,0,3,2,10,0.6926652,0.21711,0.09022473,Pos,0.47555524,chicagostock
110,2019-01-06 20:51:03,"$ES_F $NQ_F Come a long way since October 3rd ""Trouble in Paradise"" warning.   Nasdaq losing 24% SP500 losing 21%  stocks jobs powell  ",0,1,0,3,5,8,0.011816397,0.9600976,0.028086,Neg,-0.9482812,chicagostock
112,2018-11-27 01:47:01,$AAPL Apple filling its gap from May @ 159.  Buyers on the hook from this summer's b/o.  Holding gives room to retest 205 new major resistance from Aug-Sep trap.  Failure to hold 2018 low 150 gives room to fill next gap @ 121 from Jan 2017.  ,1,1,0,0,1,6,0.9129713,0.054073837,0.032954775,Pos,0.8588975,chicagostock
113,2018-11-20 23:58:01,"$YM_F Last month the Dow successfully tested and held the July low as buyers defended the 6M reversal window to keep the 6M bull bias intact.  Buyers failed to overcome the Sep trap, putting in a lower high.  Failure to hold reversal window opens door to stops &lt;July low.  ",1,1,0,0,6,9,0.04703181,0.9274424,0.02552586,Neg,-0.88041055,chicagostock
114,2018-11-20 23:57:01,"Black Friday specials coming to equity markets near us? SP500 pushing back to last month's low, below targets stops &lt; May low.  Nasdaq already taken out last month's low after failing to overcome 6M reversal window.  Dow back to 6M reversal window  $ES_F $NQ_F $YM_F  ",1,1,0,2,3,5,0.02013713,0.9553413,0.02452166,Neg,-0.93520415,chicagostock
115,2018-11-12 16:04:01,$ES_F SP500 unwinds move from last week's election squeeze.  Thank you Florida!  ,0,1,0,1,0,8,0.5870827,0.026673373,0.3862439,Pos,0.5604093,chicagostock
117,2018-10-31 17:19:03,"$YM_F Dow back above upper vol window, giving buyers another opportunity to expand above and retest trap from earlier this month.  Notice Dow never closed below 6M reversal window.  Bulls defended very good.  ",1,1,0,1,2,3,0.9193073,0.02073323,0.059959516,Pos,0.89857405,chicagostock
120,2018-10-15 22:05:02,How fast is the election rally from 2170 (SP500) going to be unraveled?,1,1,0,2,1,3,0.037261013,0.07712093,0.8856181,Neu,-0.039859917,chicagostock
121,2018-10-15 16:37:05,$ES_F SP500 Intraday reversal bias (bear bias reversed). Expansion of 2770-2750 range gives room up to 2790.  ,1,1,0,1,0,3,0.9131153,0.026620094,0.060264666,Pos,0.88649523,chicagostock
122,2018-10-10 23:48:05,High in the Dow futures = 26966 Lots of 6's in there...,0,1,0,1,1,6,0.1489508,0.031717885,0.8193314,Neu,0.11723292,chicagostock
123,2018-10-10 19:36:00,"This should be in future economic 101 books.  The old ""buy the rumor and sell the news"" adage. They were buying the news on 9/25. With the SP500 down 100 points, obviously that was wrong.",1,1,1,0,2,5,0.013399426,0.9042565,0.08234405,Neg,-0.8908571,chicagostock
124,2018-10-10 19:32:00,"🚨 SP500 down 100 handles @ 2827 from ""The Powell"" 2927 last FOMC on 9/26. 🚨  2927, 2922, 2915 Major support levels off last low of 2803 on 8/15. If that low gets taken out, room to fall down toward that 2730 level / test 6 month reversal window and July low.",1,1,0,1,1,6,0.0111931395,0.9665926,0.022214232,Neg,-0.95539945,chicagostock
125,2018-09-10 17:39:03,$ES_F SP500 Fighting to hold it's breakout above January's 2878 ATH.  Next major sell stops below 2846.  ,0,1,0,1,4,8,0.078016326,0.79052484,0.13145877,Neg,-0.7125085,chicagostock
