,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2021-02-22 21:44:05,"Gentlemen, watch your pockets.  Ladies, clutch your pearls.    It could get ugly out here. Markets look poised to rob some folks of their newfound wealth. $SPY $QQQ $ES_F $NQ_F",1,1,1,1,1,3,0.02366202,0.624528,0.35181004,Neg,-0.60086596,dcdaytrader
2,2021-01-01 23:11:03,"  is arguably one of the smartest analysts/investors talking about $AAPL $TSLA . I have to admit, I became a believer in TSLA by listening to GeneMunster .  If you’re not following / listening to him, you’re missing out!",1,1,0,1,0,4,0.09293255,0.047356598,0.8597109,Neu,0.045575954,dcdaytrader
3,2020-09-10 00:35:02,Jim Cramer breaks down how an S&P 500 climb could be followed by a 'truly savage sell-off'  ,1,1,1,0,0,0,0.032848958,0.885254,0.081896976,Neg,-0.8524051,dcdaytrader
4,2020-08-19 19:47:05,Intraday Trading Matters.  If you are one of those folks who tune into the news at the end of the day for Dow / Nasdaq / S&P price levels you have no idea of what the market is saying internally.  SP500 NASDAQ DOW,0,1,0,0,0,1,0.023672432,0.07924681,0.8970808,Neu,-0.05557438,dcdaytrader
5,2020-04-13 16:41:00,"S&P500 showing bearish rising wedge from 23Mar low.  If pattern holds, could see a retest if that low.",0,1,1,0,0,0,0.32502955,0.61797595,0.05699447,Neg,-0.2929464,dcdaytrader
8,2020-02-12 17:23:03,"S&P value vs Nasdaq reaching the level last seen in the year 2000, when NW was trading at a $234K premium just before market tumble (  with NQ losing 80% of its value.  Today, NQ is trading at a $229,000 premium to the S&P.  I have no idea what happens next  ",1,1,0,1,1,0,0.039134324,0.8650559,0.09580973,Neg,-0.8259216,dcdaytrader
10,2019-09-11 05:02:01, You’re making just want to go buy a fuggin Nikkon !,0,1,0,0,0,1,0.058976673,0.035956804,0.9050665,Neu,0.023019869,dcdaytrader
11,2019-01-22 23:15:05," Trump aka Fat Nixon spy handlers must be pleased.  Withdraw from NATO, loft sanctions, remove military obstacles in Syria and elsewhere, and suspend essential government services in the US.  What else does a person need to see to realize Fat Nixon is a Russian asset!",1,1,1,0,0,0,0.027734444,0.58998984,0.38227567,Neg,-0.5622554,dcdaytrader
12,2019-01-22 23:15:03,"  Trump aka Fat Nixon spy handlers must be pleased.  Withdraw from NATO, loft sanctions, remove military obstacles in Syria and elsewhere, and suspend essential government services in the US.  What else does a person need to see to realize Fat Nixon is a Russian asset!",1,1,1,0,0,0,0.027734444,0.58998984,0.38227567,Neg,-0.5622554,dcdaytrader
13,2019-01-22 23:14:02," Trump aka Fat Nixon spy handlers must be pleased.  Withdraw from NATO, loft sanctions, remove military obstacles in Syria and elsewhere, and suspend essential government services in the US.  What else does a person need to see to realize Fat Nixon is a Russian asset!",1,1,1,0,0,0,0.027734444,0.58998984,0.38227567,Neg,-0.5622554,dcdaytrader
14,2019-01-22 23:14:00," Trump aka Fat Nixon spy handlers must be pleased.  Withdraw from NATO, loft sanctions, remove military obstacles in Syria and elsewhere, and suspend essential government services in the US.  What else does a person need to see to realize Fat Nixon is a Russian asset!",1,1,1,0,0,0,0.027734444,0.58998984,0.38227567,Neg,-0.5622554,dcdaytrader
15,2019-01-22 23:13:04," Trump aka Fat Nixon spy handlers must be pleased.  Withdraw from NATO, lift sanctions, remove military obstacles in Syria & elsewhere, and suspend essential government services in the US.  What else does a person need to see to realize Fat Nixon is a Russian asset!",1,1,1,0,0,0,0.037240118,0.47205964,0.49070024,Neu,-0.43481952,dcdaytrader
16,2018-12-06 04:42:01,  Clearly he’s a Russian spy.,0,1,0,0,0,0,0.03855819,0.17636116,0.7850807,Neu,-0.13780297,dcdaytrader
17,2018-09-13 16:29:03, Amazon's Jeff Bezos launches a $2 billion 'Day One Fund' to help homeless families !  Bezos: 2 - Trump - 0,0,1,0,0,0,0,0.18447176,0.014383931,0.8011443,Neu,0.17008783,dcdaytrader
18,2018-04-17 23:17:04,"Cambridge Analytica and the Internet Research Agency aren't notable because of sophisticated new techniques, but for how they use Facebook and Twitter to pull off old racist tricks,  writes:  ",0,1,0,0,0,0,0.054377902,0.048419327,0.89720273,Neu,0.0059585758,dcdaytrader
