,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2021-07-13 11:47:05,            $TSLA has now scheduled earnings for 7/26  ,1,1,0,0,0,1,0.03371647,0.184779,0.7815045,Neu,-0.15106253,ewhispers
5,2021-07-13 11:16:03,           $SQ is 8/5  ,0,1,0,0,0,2,0.0565652,0.059464972,0.8839698,Neu,-0.0028997734,ewhispers
6,2021-07-13 03:30:03,            Note that is an estimate. The calendar only shows scheduled dates.,1,1,0,0,0,1,0.015068586,0.09415137,0.8907801,Neu,-0.07908279,ewhispers
7,2021-07-13 03:28:05,"           No, these are just the top 6 for the day as a whole based on interest among our users",1,1,0,0,0,1,0.050731786,0.045483086,0.9037851,Neu,0.0052486993,ewhispers
8,2021-07-12 12:16:01,"           This only shows confirmed dates and $AMD hasn't scheduled their earnings yet. We suspect they will report on 7/27.  $GOOGL is confirmed for 7/27, but our users are currently more interested in the others listed for that date and didn't make the graphic.   ",1,1,1,2,1,2,0.033071697,0.23172481,0.7352035,Neu,-0.19865312,ewhispers
9,2021-07-12 12:13:02,           $TSLA hasn't scheduled earnings yet and this calendar only shows confirmed dates.  We suspect around 7/21 though   ,1,1,0,1,2,6,0.022370072,0.11149405,0.86613584,Neu,-0.08912398,ewhispers
11,2021-05-04 04:41:02,"Yeah, it is an easy comparison, but revenue growth turned positive last week and earnings growth has now spiked.  Both should continue higher in the coming weeks as more companies report.        $SPX $SPY  ",1,1,1,1,15,76,0.8998766,0.0131599875,0.08696346,Pos,0.8867166,ewhispers
14,2021-04-27 18:43:00,           It's on there  ,0,1,0,1,0,1,0.06848466,0.021913879,0.9096014,Neu,0.046570778,ewhispers
17,2021-04-24 21:11:01,"           We list them in order of interest among our users.  Right now, $MWK is 31st after the close on May 6th.",0,1,0,0,0,6,0.03657258,0.090622924,0.8728045,Neu,-0.054050345,ewhispers
18,2021-04-24 15:51:00,           Stock prices reflect future earnings expectations.  The companies' earnings announcement will potentially change that expectation.,0,1,1,0,1,38,0.043115344,0.4426416,0.5142431,Neu,-0.39952624,ewhispers
23,2021-04-20 05:02:04,We've never seen a better April for positive pre-announcements   $SPY $SPX      ,1,1,0,8,17,95,0.8701173,0.05745783,0.07242481,Pos,0.8126595,ewhispers
24,2021-04-19 18:06:02,           $TSLA reports 4/26 but is not in the $XLK  ,0,1,0,0,0,0,0.032419287,0.16619943,0.8013813,Neu,-0.13378015,ewhispers
