,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-05 21:25:01,"S&P 500, NASDAQ Composite close at record highs!  CNN's Fear & Greed Index reading = Fear  Of 7 Fear & Greed Indicators:  1 = Greed 2 = Neutral 2 = Fear 2 = Extreme Fear     ",1,1,0,0,1,1,0.050591342,0.11041527,0.8389934,Neu,-0.05982393,greatquarter
2,2021-06-09 12:50:01,"""The S&P 500 could soar nearly 400% by 2038 as millennials drive the US economy to new heights,  's Tom Lee says""  S&P: 19,350 by 2038 !  ""Since 1900, every single peak in the stock market has coincided with the peak of every single generation.""     ",1,1,1,22,62,212,0.22977911,0.07975311,0.69046783,Neu,0.150026,greatquarter
3,2021-06-07 12:49:01,"At this point, with $WW stock up 54% since February 25, outperforming the S&P by 47 percentage points, WW is no longer a compelling buy, in my opinion.  WW is more likely to be closer to a market performer, albeit meaningfully more volatile than the market.  ",0,1,0,0,0,4,0.79396105,0.04327961,0.16275944,Pos,0.75068146,greatquarter
4,2021-05-26 20:20:02,"   At 2:30pm today,💄Lipstick Portfolio💄is outperforming the S&P by 265 bps since the CDC's surprise mask guidance on May 14th.  But underperforming $JETS & $PEJ.  $ELF earnings call @ 4:30pm today and $ULTA call @ 4:30pm tomorrow could help to focus investor attention. ¯\_(ツ)_/¯  ",0,1,1,0,0,1,0.8539042,0.08033339,0.0657624,Pos,0.7735708,greatquarter
5,2021-05-24 02:55:01,"   After 6 trading days following CDC's new mask guidance, the lipstick trade is up a meager 2.60%, in line with other reopening plays like $JETS up 2.57% and $PEJ up 2.67%, & marginally outperforming the S&P which is up 1.14%.  Will the lipstick trade do better this upcoming week?  ",0,1,1,2,0,3,0.9485968,0.03010975,0.021293495,Pos,0.918487,greatquarter
6,2021-05-17 12:50:01,"If $BRKA $BRKB were to look for a Chief Investment Officer to fill the role that  now fills, how could Ted Weschler not be the choice, especially if he was the inspiration for BRK's $AAPL investment.   ",1,1,1,0,0,1,0.050439928,0.028836358,0.92072374,Neu,0.02160357,greatquarter
7,2021-05-14 21:55:01,"💄8 of 9 ""lipstick futures"" outperformed S&P today💄  $REV +4.3% $IPAR 4.2 $ELF 3.5 $ULTA 4.0 $COTY 3.5 $EL 1.9 $SBH 2.2 $LRLCY 1.5 $HELE 0.9  S&P +1.5%  Plan: If cosmetics industry is upgraded next weeks as male analysts catch on, exit on strength    ",1,1,0,1,0,4,0.7535674,0.02555188,0.22088072,Pos,0.72801554,greatquarter
8,2021-05-13 12:55:01,"May 11th tick reading was -2,069, lowest over past 3 decades.  Reading at open, following 8am CNBC interview with Druck and Druck's WSJ op-ed piece   Tom Lee below: S&P 500 forward returns after 10 lowest tick readings since 1990     by   ",1,1,0,0,0,2,0.008936839,0.9582112,0.03285195,Neg,-0.94927436,greatquarter
9,2021-05-12 01:14:01,"""Analysts at Bespoke Investment Group calculate that the money-weighted annualized return of her funds since inception was 5.24% through Monday. That is far less than a steady investment in a plain vanilla S&P 500 index fund.""  Ugh.    by ",1,1,0,0,0,2,0.10509792,0.20479241,0.6901097,Neu,-0.09969449,greatquarter
10,2021-05-07 17:02:03,"""Inflation"" searches are at record levels in US going back to the beginning of Google Trends' database (1/1/2004).  The subregion where ""inflation"" searches were most prevalent?  WASHINGTON DC     ",1,1,0,0,0,1,0.033393573,0.06455324,0.9020531,Neu,-0.031159665,greatquarter
13,2021-04-29 22:31:03,"Another brutal day for ARKK relative performance, continuing pattern of underperformance since 2/12/2021.   was genius for understanding the disruptive innovation theme before others. But the theme is volatile & painful at times.  $SPY +0.53% $QQQ +0.29% $ARKK -3.01%  ",1,1,0,0,0,3,0.04072793,0.83809555,0.12117653,Neg,-0.79736763,greatquarter
14,2021-04-25 17:03:02,Is competition from $AMZN discounted in $FDX & $UPS price?  ,1,1,0,1,0,0,0.06278402,0.057517704,0.8796982,Neu,0.00526632,greatquarter
15,2021-04-25 17:03:02," 's $LMNOX is ranked in the top 1% of Morningstar’s Mid-Cap Blend category over one, three, five, and 10 years.  $AMZN was 83% of Miller's PA at one point last year.  Now Bitcoin is a larger % of PA.  ",1,1,0,1,1,0,0.09961285,0.010975904,0.8894113,Neu,0.08863694,greatquarter
16,2021-04-25 17:03:02,"""Famed Investor Bill Miller Is Roaring Back With Amazon, Bitcoin, and GM""  published online April 23, 2021 7:00 am ET   ",1,1,0,1,0,1,0.057181492,0.017525466,0.9252931,Neu,0.03965603,greatquarter
18,2021-03-29 03:49:04,"Nomura ( 8604:JP ) down 15% in Tokyo trading Monday morning due to $2B of losses in US sub related to Archegos.    Nevertheless, Nikkei 225 stock index is up 1%, in contrast to S&P futures down 0.5% now.  May indicate Japan is a better place to be than US.",1,1,0,0,0,3,0.34950733,0.63017434,0.020318361,Neg,-0.280667,greatquarter
19,2021-03-26 22:11:03,"A look at the chart for $SPY $IWM $QQQ $IWO $ARKK since the February 12, 2021 high (since exceeded by only SPY):  In 1987, S&P was down 5.2% on this day from the high.  2021's broad $QQQ or $IWO seems like the closest analogues to 1987's S&P 500.  Analogue probably does not hold.  ",1,1,0,1,1,1,0.007499329,0.96910816,0.02339251,Neg,-0.9616088,greatquarter
20,2021-03-26 20:50:05,"Crazy action ( $DISCA $VIAC etc) u wonder how strong market is notwithstanding record close for S&P today.  1987 analogue NOT WORKING for S&P, but might it be relevant for $QQQ or super high growth sectors?  Is general frothiness of 1987 applicable to targeted frothiness in 2021?  ",0,1,1,2,1,7,0.057371072,0.048637684,0.8939913,Neu,0.008733388,greatquarter
21,2021-02-16 01:26:05,"""What Is Berkshire Hathaway’s Mystery Stock? Big Investment by Warren Buffett Could Be Disclosed Tomorrow."" $BRKA $BRKB  $DIS $PYPL $GOOGL $HD $XOM $CVX ?     ",1,1,0,11,5,15,0.035141855,0.025616758,0.93924135,Neu,0.009525098,greatquarter
22,2021-01-11 01:20:00,"Power of attorney in $OCC / North Mill Capital Loan and Security Agreement dated July 24, 2020.  (If you google the language, you will find other instances.)     ",1,1,1,0,0,0,0.02489076,0.055070944,0.9200383,Neu,-0.030180184,greatquarter
24,2020-12-29 13:45:03,"As the US gets ready to trade on December 29, 2020, we see:  1) Japan has way outperformed its MSCI All Country Asia Pacific Index peers overnight.  2) UK is outperforming its European peers today.  Is this a tell of two strong markets for 2021?     ",1,1,0,0,0,0,0.5706482,0.2333557,0.1959962,Pos,0.3372925,greatquarter
25,2020-12-24 03:41:04,"Christmas Eve edition of  's Five Things to Start Your Day, Asia Edition  This time isn't different, I cried with delight, Happy risk-taking to all, buy SPX! And good night!     ",1,1,0,0,0,3,0.33933073,0.021107685,0.63956153,Neu,0.31822306,greatquarter
26,2020-12-18 14:50:00,"Delayed response to bullish news -- indeed sell-off on bullish news -- causes investor to question his market sense. Why the delay?  Confusion @ $CHL . MSCI, if correct, has cleared the uncertainty. Institutions who sold might now choose to repurchase?     ",1,1,1,1,0,0,0.047107514,0.3549675,0.597925,Neu,-0.30786,greatquarter
27,2020-12-16 13:43:03,"By listing ""China Mobile Communications,"" Trump's November 12, 2020 Executive Order 13959 seemed to forbid buying $CHL by US persons.  But last night MSCI says list only includes securities issued by companies explicitly named in the order -- NOT SUBSIDIARIES.  Bullish for $CHL ?  ",1,1,0,0,0,2,0.024129918,0.047387376,0.9284827,Neu,-0.023257459,greatquarter
28,2020-12-12 15:42:01,"Since Election Day, country ETFs:  Brazil +35% Russia 24 Mexico 22 S Korea 22 India 14 EEM 12 Vietnam 11 Japan 10 S&P 500 9 China 2  Not on chart: UK 16 Europe 14 EAFE 12 Frontier 5  Every country above but China and Frontier Markets ( $FM ) has outperformed SPY All returns are +  ",1,1,0,1,3,3,0.36007214,0.2203344,0.41959345,Neu,0.13973774,greatquarter
29,2020-12-03 01:54:00,"    ""11 of the 30 stocks in the Dow Jones Industrial Average didn't open for about an hour after trading began. By late afternoon, the Big Board's transactions tape -- capable of handling 900 trades a minute -- was running two hours and 15 minutes late.""   ",1,1,0,1,0,1,0.024629919,0.43285388,0.54251623,Neu,-0.40822396,greatquarter
31,2020-10-30 20:18:03,"On December 31, 2019, the S&P 500 closed at 3,230.78.  On the last trading day of October, it closed at 3,269.96, representing a price increase of 1.2% YTD.  (At today's low, S&P was up only 0.1% YTD.)  Dividends have returned roughly another 1.9% (annualized) YTD.",1,1,0,0,0,0,0.9081677,0.058306634,0.03352558,Pos,0.8498611,greatquarter
32,2020-10-29 16:10:01,"S&P's baseline forecast for US junk bond defaults is 12.5% at June, 2021, compared to less than 6% currently LTM.  Looks like the forecast would make a quadruple top on the chart below.        ",1,1,1,1,0,1,0.4251161,0.49930367,0.07558032,Neg,-0.07418758,greatquarter
