,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-04 13:03:03,"Thanks all. That assumes you care if it’s locked/unlocked. The better reason to buy directly from  Apple isn’t locked/unlocked, IMHO, but rather you don’t have to walk into a VZ store and deal with the annoying waits and the attempted upsells. Onward.",1,1,0,1,0,5,0.03965003,0.05555051,0.9047995,Neu,-0.015900478,herbgreenberg
1,2021-06-04 20:42:01,"Investing vet Art Cashin on  right now comparing AMC with Iomega. He has a deeper sense of history than most. “Somewhere the apple is going to fall on Newton’s head here, and things will change... Everytime they tell you this time is different, it’s not different.""",1,1,1,13,9,76,0.056616303,0.09255063,0.85083306,Neu,-0.035934325,herbgreenberg
2,2021-02-25 19:54:01,"Serious question: Who buys MP3 players these days? I didn’t realize they were still a thing, but there Apple is still selling the iPod Touch. This has to be a tiny market I am betting  will know the answer.",1,1,1,7,0,8,0.04596039,0.029078001,0.92496157,Neu,0.016882388,herbgreenberg
3,2021-02-17 15:11:00,"The Greenberg household cannot be the only one noticing Amazon is getting sloppy with its packaging, boxes coming crushed. Stuff just dropped in with no thought. Something has changed.",1,1,1,18,2,20,0.030982643,0.6591696,0.30984774,Neg,-0.62818694,herbgreenberg
4,2021-01-19 23:18:05,"Perhaps this shouldn’t be surprising, when doing a Worldwide/US Google trends search of “stock market bubble” (bottom lines)… interesting when compared with the S&P 500 (top line)  ",1,1,0,1,1,5,0.14256848,0.017006159,0.8404253,Neu,0.12556233,herbgreenberg
5,2020-11-24 13:18:03,Having some fun with Google Trends this a.m. Just found it interesting. I’ll leave it to  to interpret.  ,1,1,0,1,2,4,0.052543055,0.024987064,0.92246985,Neu,0.027555991,herbgreenberg
6,2020-11-11 20:44:02, Where is that?,0,1,0,0,0,0,0.03387377,0.18652152,0.7796047,Neu,-0.15264775,herbgreenberg
7,2020-11-11 20:42:00, Why does that look like it is over San Clemente?,0,1,0,1,0,1,0.033729766,0.23144802,0.73482215,Neu,-0.19771826,herbgreenberg
8,2020-10-16 15:08:05,Speaking of retail: If you want to see the most depressing documentary EVER… Jasper Mall. Perhaps not ironic – or intentionally so – that it is free on Amazon Prime.  ,0,1,0,1,1,6,0.030649154,0.13178052,0.83757037,Neu,-0.101131365,herbgreenberg
11,2020-10-05 22:18:00,As much as I complain about how horrible and unrespponsive  customer service is - the opposite is true of   I’ve had to deal w/them multiple times over the past week. All agents in the US and extremely friendly with easy kick-ups to senior support.,1,1,0,1,0,5,0.21637872,0.06679752,0.71682376,Neu,0.1495812,herbgreenberg
