,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-31 13:52:00, bullish majority last week. spx down on the week but let's not let facts get in the way of a good story :),0,1,0,1,0,30,0.03707561,0.5731922,0.3897322,Neg,-0.5361166,hmeisler
7,2021-07-29 20:40:04,  Says the guy who is a BGE owner as well as an AAPL product owner!,0,1,0,1,0,2,0.03655974,0.024044996,0.93939525,Neu,0.012514742,hmeisler
8,2021-07-29 17:28:00," You see the SPX before put/call ratio? Yours is specific to options on the SPX. Mine is total, means all options traded on the cboe, not just on the spx index",1,1,0,1,0,8,0.028260646,0.028869808,0.9428696,Neu,-0.00060916133,hmeisler
10,2021-07-28 20:40:03, Oh you think? looked like a hair cut. Maybe I'm wrong.,1,1,0,2,0,0,0.0699621,0.2774242,0.6526137,Neu,-0.20746209,hmeisler
11,2021-07-28 16:48:03,PFE is +30% since March AAPL is +20% since March.  I had not realized that.,1,1,0,10,6,77,0.04944806,0.0645785,0.8859734,Neu,-0.015130442,hmeisler
12,2021-07-27 17:25:02,3 charts I have my eyes glued to  IWM:QQQ SPY:QQQ IWN:IWO  ,1,1,0,6,16,106,0.027561223,0.04793711,0.92450166,Neu,-0.020375887,hmeisler
14,2021-07-26 22:16:01,"If my math is correct, the S&P hasn't gone more than 5 since August last year.",1,1,0,6,4,48,0.0938226,0.6770231,0.22915432,Neg,-0.5832005,hmeisler
19,2021-07-24 11:52:03,SPX. The line is back.  ,0,1,0,2,4,33,0.25668132,0.18022566,0.56309307,Neu,0.07645567,hmeisler
20,2021-07-23 19:41:02,Still waiting for an AMZN delivery that was to be here two days ago. Been 'out for delivery' for two days.   At what point do I fret it is not showing up?,1,1,0,30,0,33,0.035441045,0.3478995,0.6166594,Neu,-0.31245846,hmeisler
25,2021-07-20 18:00:03,And there it is exactly 100 handles off the lows of yesterday on the SPX.  I'm surprised  hasn't beat me to this.,0,1,0,4,0,40,0.49795556,0.3566043,0.1454401,Pos,0.14135125,hmeisler
27,2021-07-19 19:14:03,Thank you    for inviting me to chat a bit with you guys today. Nice call last week Dan on the SPY put spread,1,1,0,3,2,37,0.24362163,0.01628914,0.74008924,Neu,0.22733249,hmeisler
28,2021-07-19 16:36:04,Dan Niles saw this last week which is why he sold his GOOGL  :),1,1,0,11,2,45,0.03331885,0.034612413,0.9320688,Neu,-0.0012935624,hmeisler
30,2021-07-17 19:16:05,Thank you  for putting the weekly SPX poll in chart form!,0,1,0,4,2,33,0.20342189,0.013064562,0.78351355,Neu,0.19035733,hmeisler
35,2021-07-16 20:39:04,SPX cash into the gap we go.,0,1,0,6,1,39,0.07399166,0.02021369,0.9057947,Neu,0.053777967,hmeisler
36,2021-07-16 20:00:05,"SPX working on 2 straight red days, would be first in five weeks.",0,1,1,1,3,39,0.13751967,0.026436869,0.8360435,Neu,0.11108281,hmeisler
39,2021-07-15 21:59:05, You obviously don't own individual stocks but the SPY if you're asking that question.,0,1,0,0,0,1,0.024514167,0.053272165,0.9222137,Neu,-0.028757999,hmeisler
41,2021-07-15 20:53:04,S&P has not had a red Friday in a month,1,1,0,19,9,133,0.09327159,0.67003155,0.23669688,Neg,-0.57675993,hmeisler
43,2021-07-15 18:10:02, huh? AAPL is down.,0,1,0,0,0,0,0.04379158,0.7846583,0.17155007,Neg,-0.7408667,hmeisler
45,2021-07-15 17:31:02, they own beloved Apple.,0,1,0,1,0,1,0.036778763,0.01984513,0.9433761,Neu,0.016933633,hmeisler
47,2021-07-15 15:14:05,Since June 25th IWM has outperformed SPY only two days.,1,1,0,7,5,47,0.76355064,0.20354126,0.032908108,Pos,0.56000936,hmeisler
48,2021-07-14 20:47:05,"I have an idea, let's get rid of all stocks but AAPL!!!!",0,1,0,8,0,61,0.055998772,0.06292107,0.88108015,Neu,-0.006922297,hmeisler
49,2021-07-14 20:35:01, I am told it doesn't matter. Stocks don't go down. I think they mean the S&P doesn't go down cuz stocks certainly do,1,1,0,2,0,17,0.042089276,0.49742305,0.46048763,Neg,-0.45533377,hmeisler
50,2021-07-14 19:10:02,"Let's just look at some tech stocks that are not named GOOGL, AAPL AMZN",1,1,0,9,3,52,0.029732674,0.03362439,0.93664294,Neu,-0.003891714,hmeisler
56,2021-07-13 14:34:02, wonder if you put IWM up there instead of SPY if you'd see a reaction,0,1,1,1,0,2,0.042012777,0.025519077,0.9324681,Neu,0.0164937,hmeisler
57,2021-07-13 12:09:03,Put/Call ratio for S&P is over 2.0 for the first time since 6/16.  Looks like folks are following  into his trade :),0,1,0,4,3,41,0.109173104,0.029334486,0.8614924,Neu,0.07983862,hmeisler
58,2021-07-12 20:52:05,AAPL is NOT in the top 5 most actives,0,1,0,5,0,50,0.02796051,0.055808023,0.9162314,Neu,-0.027847512,hmeisler
61,2021-07-10 11:53:00,SPX. That upper line is still there.  ,0,1,0,2,1,24,0.090568714,0.034502234,0.8749291,Neu,0.05606648,hmeisler
62,2021-07-09 21:46:05,GOOGL getting close to the top of the page  ,0,1,0,16,6,72,0.38193277,0.0787526,0.5393146,Neu,0.30318016,hmeisler
63,2021-07-09 21:40:00,"Wait, AMZN was red on the day.  Who do I speak to about this???!!!",1,1,0,37,4,164,0.031721253,0.3543523,0.6139265,Neu,-0.32263103,hmeisler
64,2021-07-09 20:59:04,4 bil MOC and hasn't budged the SPX since it came out. ,1,1,0,7,4,26,0.13689873,0.6600646,0.20303673,Neg,-0.5231658,hmeisler
65,2021-07-09 12:21:05,"My mother called last nite, wanted to know if I saw the breakout in AMZN.  (this is a joke, she did not call, but you get the picture)",1,1,0,14,4,233,0.027970692,0.127956,0.8440733,Neu,-0.09998531,hmeisler
66,2021-07-08 20:00:03,I just realized that Amazon has never changed their name. They still use dot-com.,1,1,0,5,0,48,0.02805086,0.052193932,0.9197552,Neu,-0.024143072,hmeisler
67,2021-07-08 14:31:03,SPX opens right where it was a week ago,1,1,0,6,3,48,0.06395693,0.028825376,0.9072177,Neu,0.035131555,hmeisler
68,2021-07-08 14:12:03, How is it that I just now realized that HTB stands for Hard to Borrow as well as Hit the Bid? Feel dumb.,1,1,0,3,0,5,0.05953818,0.14716016,0.79330164,Neu,-0.08762198,hmeisler
69,2021-07-07 18:43:05,So I guess the SPX wants to be at the HOD heading into the FOMC Minutes,0,1,0,10,2,41,0.040921006,0.030440507,0.9286385,Neu,0.010480499,hmeisler
71,2021-07-07 15:12:03, lol that's great.,0,1,0,1,0,3,0.767075,0.014373767,0.2185512,Pos,0.7527012,hmeisler
72,2021-07-06 20:50:04,Two months ago no love for AMZN. Now they all love it.  Never ceases to amaze me,0,1,0,28,6,240,0.10867772,0.014182099,0.87714016,Neu,0.094495624,hmeisler
74,2021-07-03 18:11:00, I did not google anything. I was right here on these pages bullish tech/growth at the lows. Sorry if you missed it.  I see your point but I do not 'do' hindsight.,1,1,0,3,0,6,0.04555422,0.4368765,0.5175693,Neu,-0.39132228,hmeisler
76,2021-07-03 15:07:04,This is wild. IWM:SPY. Blue is 3/18/20 Green is 3/12/21  What is it about March?  ,0,1,0,6,2,62,0.026339466,0.105894744,0.86776584,Neu,-0.07955528,hmeisler
80,2021-07-03 11:35:04,Transports. Charles Dow is rolling over in his grave right now.  ,0,1,0,3,5,36,0.031624157,0.48358545,0.4847904,Neu,-0.45196128,hmeisler
81,2021-07-01 20:40:02,  right? I paid up for the AMZN one before THEY run out!,1,1,0,1,0,1,0.14157109,0.025023093,0.83340585,Neu,0.116547994,hmeisler
82,2021-07-01 20:18:03,So  stopped carrying the best plastic wrap ever. Sad. You can buy it from AMZN at 2x the price.  ,0,1,1,20,0,16,0.05506028,0.0150561845,0.92988354,Neu,0.040004093,hmeisler
83,2021-07-01 20:05:04, and not throwing paper towels at peeps,0,1,0,1,0,24,0.040981267,0.088137776,0.870881,Neu,-0.04715651,hmeisler
85,2021-06-30 21:45:01,GOOGL has become a waste of lead lately  ,1,1,0,8,1,61,0.013561048,0.8141434,0.17229554,Neg,-0.80058235,hmeisler
87,2021-06-30 14:33:01,Is Google down?,0,1,0,11,0,16,0.03375059,0.44887808,0.5173714,Neu,-0.4151275,hmeisler
89,2021-06-28 22:16:02,3 straight green for SPX. Hasn't gone more since early March,1,1,0,3,4,50,0.09005756,0.059181795,0.85076064,Neu,0.030875765,hmeisler
91,2021-06-28 20:07:02, Also: Helene has no life!,0,1,0,1,0,2,0.024220323,0.3408738,0.6349059,Neu,-0.3166535,hmeisler
94,2021-06-28 18:43:05,I stepped off the desk for a few hours and you let the SPX go down and you let Tiafoe beat EZ Pass.  What is this world coming to???,1,1,0,11,1,41,0.03776793,0.098348856,0.8638832,Neu,-0.060580924,hmeisler
101,2021-06-24 20:42:05,  What about when he bashes China? Does that have a price ?,0,1,0,1,0,2,0.034718357,0.1919743,0.7733074,Neu,-0.15725595,hmeisler
102,2021-06-24 19:49:02,SPX stuck in a tight range after the morning gap. Maybe what we need in addition to Infrastructure Week is some news of trade talks!,1,1,0,2,0,34,0.18936378,0.0891335,0.72150266,Neu,0.10023028,hmeisler
103,2021-06-22 18:03:01,"Interesting on the Dow Theory, which was originally an economic theory not a technical one.",1,1,0,0,0,28,0.05965465,0.021301964,0.91904336,Neu,0.038352683,hmeisler
104,2021-06-22 17:44:04,  They think the Investment Committee is more important.,0,1,0,3,0,2,0.06765341,0.026597785,0.9057488,Neu,0.041055627,hmeisler
108,2021-06-21 17:54:05," always says folks notice higher prices but not lower ones. So I dedicate this tweet to him.  Romaine lettuce has been 2.99/lb. Today: 2.69 (not on sale, regular price)  Eggs at TJ's have been 1.69/doz. Today: 1.49.",1,1,0,5,1,33,0.05600231,0.08621233,0.85778534,Neu,-0.030210018,hmeisler
114,2021-06-09 20:29:02,The SPX hasn't had consecutive down days since May 18-19,1,1,0,1,0,40,0.012298603,0.929561,0.058140323,Neg,-0.91726243,hmeisler
