,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-29 16:09:05,  Ya. The Kraken art reminiscent of what David did for Facebook. I know  is an avid art collector so good on him and the team.,1,1,0,0,0,1,0.12886736,0.014097943,0.85703474,Neu,0.114769414,joelkruger
2,2020-09-17 12:12:04,SHOW TRACKS 1. Opening monologue 2.  3. Shocking ThursdayThoughts 4. Fed good so why stocks bad? 5. S&P500 trendline watch 6. Gold review 7. Considering the Euro outlook 8. Bitcoin and caution 9. Thursday sports betslip 10. shanatova     ,1,1,0,0,1,2,0.031419985,0.04147198,0.92710805,Neu,-0.0100519955,joelkruger
3,2020-09-09 20:29:02,We came into the day sitting on a short SPX position from last week at 3585. We booked profit at 3350 and are now looking forward to selling into the next extended rally. Stocks continue to be the trade of choice for FX guys. 🙈  Reference tags: SELLERofRALLIES2020  LowerTops,1,1,0,1,2,7,0.10668611,0.070602305,0.8227115,Neu,0.036083803,joelkruger
5,2020-07-30 16:16:01,WATCH NOW:   -------------------------- Thursday Show Tracks: -------------------------- Opening monologue | Portfolio update | Fed reflections | Recovery realities | Two important releases | Gold chart | Euro chart | S&P500 chart | Bitcoin chart | Bye  ,0,1,0,0,0,0,0.047177687,0.060384847,0.89243746,Neu,-0.01320716,joelkruger
6,2020-07-30 10:30:01,-------------------------- Thursday Show Tracks: --------------------------  WATCH NOW:    Opening monologue | Portfolio update | Fed reflections | Recovery realities | Two important releases | Gold chart | Euro chart | S&P500 chart | Bitcoin chart | Bye  ,0,1,1,0,0,1,0.048070583,0.052446466,0.89948297,Neu,-0.0043758824,joelkruger
7,2020-07-29 11:30:00,Wednesday Show Tracks: Opening monologue | Portfolio update | It’s Fed day! | Gold on the charts | The gold/silver ratio | S&P500 on the charts | Bitcoin on the charts | Goodbye    ,0,1,0,0,0,1,0.06546926,0.038453475,0.89607733,Neu,0.027015783,joelkruger
9,2020-06-11 17:53:05,🐻 Chapter 6 in today's show is an overview of our short position in the S&P500. Scroll over to check it out. stocks spoos  ,1,1,0,1,1,1,0.027086526,0.04899636,0.92391706,Neu,-0.021909833,joelkruger
10,2020-04-02 01:33:04,"Before volatility ramped up in February, bitcoin was showing an average daily range of about $385, while the S&P500 was showing an average range of 35 points. Today, bitcoin is trading about 1.5x more than its average daily range from February, while stocks are trading 5.6x.  ",1,1,0,0,0,0,0.10474021,0.033569135,0.8616907,Neu,0.071171075,joelkruger
11,2020-03-03 15:51:05,So in a nutshell....the health of the global economy now rests on the S&P500 not breaking back below today's low. 🙈,0,1,0,3,2,9,0.14266828,0.8006267,0.05670505,Neg,-0.6579584,joelkruger
12,2020-02-28 06:15:03,😷 Re stocks: Will be happy to buy S&P 500 futures when the hourly RSI is 5-10...but closer to 5. SPX500 spoos ES_F,1,1,1,0,0,0,0.41655645,0.022210954,0.5612325,Neu,0.3943455,joelkruger
14,2020-01-10 06:35:05,Great piece  Really enjoy these. Happy New Year! 👊😎  Can anything make the S&P 500 drop? | Charts that Count      via ,0,1,1,0,0,3,0.03368268,0.56542635,0.4008909,Neg,-0.53174365,joelkruger
15,2019-11-13 06:00:05,How is the S&P 500 calculated? Charts that Count   via ,1,1,0,0,0,1,0.03158516,0.043995455,0.9244194,Neu,-0.012410294,joelkruger
17,2019-10-28 12:29:03,"☎ S&P 500 record, currencies sideways  ",0,1,0,0,0,0,0.27161345,0.09001978,0.63836676,Neu,0.18159367,joelkruger
18,2019-07-31 23:02:03,FOMC Takeaway: Central bank policy guidance is now coming up in google search alongside menstruation. midcycleadjustment,0,1,0,0,0,0,0.103629984,0.017526709,0.87884337,Neu,0.086103275,joelkruger
20,2019-02-27 18:53:01,"Scene: You work in financial markets, are short the S&P 500 and your idiot buddy says to you (in what you can only hear as squeaky teen Simpsons dude voice)..........  ""Isn't it awesome that stocks just keep going up.""   AND ACTION! 🎬  ",0,1,1,0,1,2,0.044314895,0.129782,0.8259031,Neu,-0.085467115,joelkruger
21,2019-01-31 10:44:02,I've just sold the S&P 500 after staying away in 2018 due to the pains of this trade in 2017. Well aware I may get blown out of the water here so no need to point that out. I feel like Mike McDermott coming back to sit down with Teddy KGB...or I at least want to feel that result!  ,1,1,1,3,1,3,0.07764911,0.24212477,0.6802261,Neu,-0.16447565,joelkruger
22,2019-01-07 08:50:02," There was a major crisis. There was an extremely aggressive strategy implemented to manage through the crisis. And now, we need to find our way back to center. I think there's still a ways to go before we get there. The S&P 500 back to the 2015 highs is perfectly reasonable IMHO.",1,1,0,2,0,0,0.27436632,0.029520558,0.69611305,Neu,0.24484576,joelkruger
23,2018-12-18 20:14:04,"  Jamie!!!!! If you're going to play you need to play it straight!!!!!!! So for example....  Forget about that news about the exhausted monetary policy accommodation, the market is keying off of 'margin calls' $SPX",0,1,0,1,0,0,0.065422885,0.47894758,0.4556295,Neg,-0.4135247,joelkruger
24,2018-12-18 20:12:01," Forget about that news about the crude sell off, the market is keying off of exhausted monetary policy accommodation $SPX",0,1,0,0,0,0,0.22316162,0.20778243,0.569056,Neu,0.01537919,joelkruger
25,2018-12-17 11:55:05,"S&P500: Back below 2018 low sets up meaningful top and possible retracement to 2015 high territory. This would amount to a 25-30% decline. While it sounds extreme, when taken in context of the move off the 2009 low, it would look like nothing more than a correction in an uptrend.",1,1,1,2,0,2,0.055050526,0.8935144,0.051435146,Neg,-0.83846384,joelkruger
26,2018-06-06 07:29:03,"It's been a deadly game trying to sell US stocks despite the many red flags including monetary policy normalizations, return of inflation, US protectionism and geopolitical risk. If you are going to sell, my recommendation is to wait to sell into an extended hourly move. SPX",1,1,0,1,0,2,0.03562049,0.102056086,0.8623234,Neu,-0.0664356,joelkruger
27,2018-05-03 13:20:00, Perhaps...or maybe because of what the market is really thinking...which is higher earnings means higher inflation means higher rates means decidedly less attractive equity market valuations and a big change in the Fed model. Keep an eye on the S&P 500 earnings yield and US tens.,0,1,0,0,0,1,0.08589371,0.059896488,0.8542098,Neu,0.025997225,joelkruger
