,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-01 16:30:05,"IBD's Top 10 Stocks: $DOCU, $AMD, $GOOGL, $CMG, $CPRT, $ALGN, $WST, $FB, $LULU, $NVDA  (3 are FAANNG stocks)  ",0,1,0,7,29,140,0.021820635,0.029418966,0.9487604,Neu,-0.007598331,johnscharts
3,2021-07-30 21:47:04,$AMZN close below 100 MA on expanding volume,0,1,0,2,0,6,0.52452284,0.3865996,0.08887756,Pos,0.13792324,johnscharts
4,2021-07-30 21:42:00,$AMZN weekly bearish engulfing on volume. 40 MA in path,0,1,0,0,1,18,0.03751139,0.86084044,0.10164812,Neg,-0.82332903,johnscharts
6,2021-07-30 19:49:00,$SPY testing 8 EMA and $QQQ testing 20 MA. Reviewed both of these levels during morning Zoom call,0,1,0,1,0,2,0.037227277,0.02839516,0.93437755,Neu,0.008832118,johnscharts
7,2021-07-30 14:41:00,$AMZN gap down breached 50/100 MA,1,1,0,0,2,0,0.023346556,0.949144,0.027509412,Neg,-0.92579746,johnscharts
8,2021-07-30 13:57:05,$QQQ top holdings $TSLA $GOOGL holding up the best pre market,0,1,0,1,0,15,0.52125406,0.019399304,0.45934668,Pos,0.5018548,johnscharts
12,2021-07-29 20:07:04,$AMZN breaching 20 MA,0,1,0,1,0,7,0.05881516,0.80459934,0.1365855,Neg,-0.74578416,johnscharts
18,2021-07-28 15:35:00,"$AAPL, $AMZN, $MSFT calls flowing",0,1,0,0,3,23,0.025770582,0.026220534,0.94800884,Neu,-0.00044995174,johnscharts
19,2021-07-28 15:32:03,$MSFT tempting,0,1,0,1,0,5,0.03632806,0.025608268,0.9380637,Neu,0.010719791,johnscharts
20,2021-07-28 15:30:02,$SPY internals update  ,0,1,0,0,0,2,0.028946165,0.03939076,0.9316631,Neu,-0.010444596,johnscharts
22,2021-07-28 14:33:02,$AAPL breaching 20 MA,0,1,0,0,0,3,0.089400135,0.537752,0.37284788,Neg,-0.44835183,johnscharts
26,2021-07-27 20:16:00,$SPY internals update  ,0,1,0,2,1,2,0.028946165,0.03939076,0.9316631,Neu,-0.010444596,johnscharts
28,2021-07-27 19:59:03,$GOOGL option flow today is bearish,0,1,0,1,0,5,0.20368885,0.16272815,0.63358307,Neu,0.0409607,johnscharts
29,2021-07-27 19:24:01,$SPY internals update  ,0,1,0,0,0,7,0.028946165,0.03939076,0.9316631,Neu,-0.010444596,johnscharts
30,2021-07-27 19:16:04,All currently forming bearish engulfings ($MSFT is not text book) Anything can happen on earnings,0,1,1,0,1,5,0.019857148,0.5807072,0.39943567,Neg,-0.56085,johnscharts
