,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-31 14:18:05,"Almost daily, since the March 2020 lows, we've heard about bear market rallies, certain retest & new lows, bearish divergences, poor breadth, Fed bubble, failed breakouts, no charts setting up, etc.   $SPX is up 13 of 16 months since the March 2020 low.  ",1,1,0,4,8,54,0.9223209,0.038229685,0.039449412,Pos,0.8840912,lmt978
2,2021-07-30 01:02:03, I’m holding $FB from lower. No adds yet.,0,1,0,1,0,2,0.07154129,0.18016005,0.7482987,Neu,-0.10861876,lmt978
3,2021-07-30 01:00:03,"For every $AMZN after ER there is an $NVDA. For every $PiNS there’s a $SNAP. Shorter term traders don’t hold into ER, which makes sense. Longer term holders often do. Some work, some don’t, but the winners far offset the ones that get stopped.",1,1,0,4,3,61,0.059944633,0.13491659,0.80513877,Neu,-0.07497196,lmt978
4,2021-07-30 00:51:02,"$AMZN pulling back after ER. After Q1, $AAPL, $AMZN, $FB, $MSFT all pulled back 8-10% before they all made a strong move to new highs. Investor/trader time frame is key. I’m long $AMZN.",1,1,0,11,15,238,0.27557278,0.05083888,0.6735883,Neu,0.22473389,lmt978
5,2021-07-28 21:25:04,"$FB similar to $MSFT, ran up into Q1 earnings, pulled back 9%, before +25% to new highs. Pulling back here after a strong run up into ER. Too much short-term micro focus misses out on some big longer-term moves.  ",1,1,0,0,4,24,0.83185184,0.11846065,0.04968742,Pos,0.7133912,lmt978
7,2021-07-28 16:40:05,$SPX holding it's uptrend &gt; 50-sma.  ,0,1,0,0,1,9,0.09711925,0.012945066,0.8899356,Neu,0.084174186,lmt978
8,2021-07-28 16:30:02, I'd like that. Holding $FB.,0,1,1,0,0,1,0.06992913,0.0143840825,0.9156867,Neu,0.055545047,lmt978
10,2021-07-28 15:09:04,"There was a lot of conversation online after $MSFT Q1 earnings, as it pulled back 9.5%, which is a fairly standard pullback. New highs and +22% since then. FAANG+ is still putting up big numbers, in longer-term uptrends. Pullbacks after ER is not uncommon.  ",1,1,0,1,3,28,0.40214068,0.4234785,0.17438076,Neg,-0.021337837,lmt978
11,2021-07-27 22:21:05,"$AAPL put $21B on the bottom line. $GOOGL $18B, $MSFT $16B...for one quarter. Cash generating machines. $FB $AMZN up next. $QQQ",1,1,0,6,43,333,0.08831031,0.019026898,0.8926628,Neu,0.06928341,lmt978
13,2021-07-25 01:34:01,"Going into ER $AAPL $FB $GOOGL $MSFT $NVDA trade about 25 to 35 x E, are growing sales and EPS at that rate or quicker and are putting billions on the bottom line each quarter - still set up well.  ",0,1,0,2,12,69,0.66115576,0.011246503,0.32759774,Pos,0.64990926,lmt978
15,2021-07-24 17:21:03,"The price on the screen is the price - that's reality. Whether anyone agrees with the price or not, or thinks it's justified or not, it doesn't need any more confirmation that what it is. We can either trade with the tape, or justify trying to fight it. $SPX $QQQ  ",0,1,1,3,3,57,0.03684072,0.028100716,0.9350586,Neu,0.008740002,lmt978
16,2021-07-24 17:14:03, new highs - I focus on price and trend - there is no volume qualifier on anyone's P/L statement - the price on the screen is the price.  ,0,1,0,1,0,1,0.023631644,0.03302522,0.9433431,Neu,-0.0093935765,lmt978
17,2021-07-24 09:00:00,"$FB, new all-time high. +17% since our Chart of the Day & Chart of the Week, on 5/16/21. Also on our Weekly Top 25 list for 17 of the last 18 weeks, going back to 3/21. I'm also holding $FB long as well.     ",0,1,0,1,4,17,0.72217256,0.041318696,0.23650874,Pos,0.68085384,lmt978
18,2021-07-23 19:31:01,"$NFLX stuck in a 12 month range and slowing growth - too many strong breakout names in $FB $ROKU $SHOP $NVDA to get locked into a flat range. If/when it starts to breakout, a simple breakout screener will pick it up.  ",1,1,1,5,6,74,0.052306186,0.45855275,0.48914108,Neu,-0.40624657,lmt978
