,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-05-13 14:04:00,MW is short $LMND bc it has an egregious security vulnerability & utterly failed to secure customer PII. Customer PII has actually been indexed by Google and other search engines. Many customer accounts can be accessed without any authentication at all!  ,1,1,1,30,39,212,0.018755315,0.74588484,0.23535986,Neg,-0.7271295,muddywatersre
1,2021-04-08 14:40:05,After reading this piece on Bill Hwang by  I have to believe the Christianity on sleeve was a psychopathic cover. He issued Christian fatwahs on stocks (e.g. GOOG). Went long $GSX! How is THAT Christ-like? Is it ok if CS does it for you?  ,1,1,0,48,37,253,0.040854726,0.053257518,0.9058878,Neu,-0.0124027915,muddywatersre
2,2021-03-25 18:17:01," We haven't done work on A-share companies, but our general view is that fraud is less egregious there. HK is a cesspit though. Huge  of manipulations that drive market caps up to US$1B, stocks added to MSCI, bought by index funds & dumped by the scammers.",1,1,0,2,0,2,0.043791167,0.4265158,0.52969307,Neu,-0.3827246,muddywatersre
3,2021-03-14 20:46:03,"         Many indicies, eg S&P 500, r cap-weighted. If a stock increases faster than other index components, addition $ goes to buying it even if passive flows are inch. At the same time, passive has replaced active in float, so fewer sellers. Demand up, supply down",1,1,0,4,0,6,0.10690084,0.63316894,0.2599302,Neg,-0.5262681,muddywatersre
4,2020-12-30 15:27:04,"He's saying that accounts long AMZN, TSLA, AAPL have sold calls in ratios exceeding their long positions in those names while the Robinhood traders are the buyers. Not sure what to make of it other than time to go back and just keep looking for Shitcos (for better or worse).",1,1,0,8,8,83,0.07026374,0.13990398,0.7898323,Neu,-0.069640234,muddywatersre
5,2020-12-27 17:34:05, Our Apple tree is similar - only produces real fruit now 1 out every 3 years it seems.,0,1,0,0,0,0,0.07238223,0.016868478,0.9107493,Neu,0.055513747,muddywatersre
6,2020-12-24 13:38:01, Investors know. They tell themselves it doesn’t matter. cc: ,0,1,0,0,0,1,0.031017162,0.06285731,0.9061255,Neu,-0.031840146,muddywatersre
7,2020-12-21 21:28:02,"      MW did MPLN. We were working on it as a bond short before the SPAC announcement. Nothing moral or immoral there, although I do think that PE has become corrosive to society, so this is a bit of a pushback to them. But MPLN was no more / less moral than talking up AMZN, no?",1,1,0,1,0,1,0.04556371,0.46592706,0.4885092,Neu,-0.42036337,muddywatersre
8,2020-12-18 13:55:05,"Check out my interview w  on  today at 12 EST. We talk lessons learned, importance of “narratives”, short vs long theses, SPACs, $DASH $AMZN $GSX $NNOX $INGN & more. This interview is so good, it’s required watching at MW.",1,1,0,6,12,105,0.086041324,0.012776082,0.90118265,Neu,0.07326524,muddywatersre
9,2020-10-27 00:55:03,Just discovered that the reason I haven’t been able to find “It’s The Great Pumpkin Charlie Brown” is bc it’s on friggin’ Apple TV. Wish the DOJ would sue Apple on anti-trust grounds to put it back on a platform we subscribe to.,1,1,1,15,8,131,0.040275466,0.2644315,0.695293,Neu,-0.22415604,muddywatersre
