,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2020-10-12 12:20:00,It made some sense to say that what was good for America was good for General Motors and vice versa. But what's good for America and what's good for Apple have almost nothing to do with each other. 4/,1,1,0,22,226,1379,0.07603629,0.023622034,0.9003417,Neu,0.052414253,paulkrugman
3,2020-09-11 16:39:02,"We know that Trump is obsessed with the stock market. But morality aside, does this make sense? A quick, crude picture: Trump approval versus the Dow. His best (least bad) numbers actually were when the Dow was crashing 1/  ",1,1,0,78,106,432,0.124089934,0.10730055,0.7686096,Neu,0.016789384,paulkrugman
4,2020-08-19 14:22:00,"So even if you think 2020-21 is going to be lousy, if you think Amazon will be making money in 2025— and your alternative is govt bonds that yield 1% less than inflation — buying Amazon isn't that strange 5/",0,1,1,12,154,959,0.10662364,0.030833174,0.8625432,Neu,0.075790465,paulkrugman
5,2020-07-15 13:14:01,"Not saved by the Dow: ""Across the six states, a majority of voters approves of how Trump is handling only one issue: the stock market.""  ",1,1,0,60,74,303,0.2435647,0.04616381,0.7102715,Neu,0.19740088,paulkrugman
6,2020-07-05 22:12:03,"And high-frequency data, like restaurant reservations and this Apple mobility data, suggest that the economic bounce has stalled or gone into reverse — because it was based on false pretenses 2/  ",1,1,0,17,218,708,0.010987535,0.9475457,0.04146676,Neg,-0.9365582,paulkrugman
8,2020-04-24 15:33:03,"People who can't go out to restaurants are in fact buying more groceries and booze, ordering more from Amazon, etc. However, they're buying less gasoline even though gas stations are open, fewer cars. Net effect still unclear 6/",0,1,1,5,37,183,0.13073409,0.3809374,0.48832846,Neu,-0.2502033,paulkrugman
9,2020-03-19 13:00:03,Reports from the states say a tsunami of claims has already started. And searches on Google Trends tell the same story 2/  ,1,1,0,14,96,305,0.0327379,0.4425087,0.5247534,Neu,-0.4097708,paulkrugman
10,2020-03-12 01:42:05,"So Trump has refused to address the real issues, imposed a massive disruption of international business, and demonstrated his absolute cluelessness. Dow futures down 770 right now, but why aren't they down even more?",1,1,0,231,944,4486,0.013021213,0.9398195,0.04715934,Neg,-0.9267983,paulkrugman
14,2020-01-07 13:55:01,"One other lesson of this story is that Amazon only looks like an ethereal enterprise, living in cyberspace and untouched by human hands. In fact its business depends on a huge distribution workforce, with a lot of bricks-and-mortar capital 4/",1,1,0,8,41,200,0.04359318,0.057872582,0.89853424,Neu,-0.014279403,paulkrugman
15,2020-01-07 13:53:02,"In the case of Roundup, one person who had some stuff to sell figured out that there was money to be made in prepping other people's stuff for Amazon; friends and neighbors got into the business; and now there's a novel sort of industrial cluster 3/",1,1,0,3,24,125,0.047199905,0.024350176,0.9284499,Neu,0.02284973,paulkrugman
16,2020-01-07 13:47:04,"How Roundup, Montana became a major Amazon ""prepping"" center. At one level, it's about the modern digital economy. At another, it's classic economic geography 1/  ",1,1,0,11,111,321,0.04371967,0.027192982,0.92908734,Neu,0.01652669,paulkrugman
17,2019-12-24 17:23:03,"If you're worried that malefactors of great wealth may have too much influence over Pete Buttigieg ... your worries may be justified. I mean, taking advice from Zuckerberg given all we know about Facebook ...  ",1,1,1,261,776,2405,0.09192584,0.06885708,0.83921707,Neu,0.023068756,paulkrugman
