,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-30 21:52:00,  What an asinine statement. Figures CNBC shills would let Saylor get away with it. With the benefit of hindsight any speculative investment can be justified. But you can't justify borrowing to gamble on Bitcoin because a similar wager if made to buy Facebook would have paid off.,1,1,1,64,3,47,0.09169057,0.10924646,0.79906297,Neu,-0.017555892,peterschiff
1,2021-07-25 22:54:05,     No it doesn't. Gold doesn't have to be converted into something else to have value. Gold has value on its own. No companies are actually using Bitcoin for payments. A small number try to get Bitcoin owners to buy from them by making it easier to sell Bitcoin at point of sale.,1,1,0,19,1,16,0.059634384,0.023486063,0.91687953,Neu,0.03614832,peterschiff
2,2021-07-19 15:34:04,"President  wants Facebook to purge fake news from its platfrom. It can start by eliminating all the fake news on the President's Facebook page. For example, on his July 9th post Biden claimed that his policies are strengthening the middle class. The opposite is true.",1,1,1,122,431,3037,0.096942276,0.15917026,0.7438875,Neu,-0.06222798,peterschiff
3,2021-07-05 16:21:03," I read that online and assumed that it was some kind of technicality. But I think the internet was wrong. However I can't find a link to when Italy officially outlawed slavery.  Do you have one? Just google ""when did Italy end slavery."" You will see what I mean.",1,1,1,3,0,4,0.030187517,0.07385039,0.89596206,Neu,-0.043662876,peterschiff
4,2021-06-23 20:37:00,"Yesterday I let a local Facebook group know that my 8-year old, used golf cart was for sale. Already over 20 people replied to buy it due to a part supply shortage that's making it hard to buy new ones. Too much money chasing too few carts. Inflation is anything but transitory.",1,1,0,180,83,1243,0.014012344,0.9200025,0.065985106,Neg,-0.9059902,peterschiff
5,2021-06-18 19:05:03," Well it did. We had the worst recession since Great Depression, and a big bear market. I think the dividend yield on the S&P went to 8%. The problem is there is so much more debt now, especial short-maturity, and the markets are much more over-valued now then they were then.",1,1,0,9,3,68,0.023771973,0.89538205,0.08084595,Neg,-0.87161005,peterschiff
6,2021-06-14 14:07:03," My portfolio is doing great. It's well outperforming the S&P this year. My non-gold stocks have been killing it recently. Also, I have not changed my tune at all. You are obviously not bright enough to understand sarcasm.",1,1,0,8,1,19,0.0680787,0.4600674,0.47185394,Neu,-0.3919887,peterschiff
7,2021-06-10 01:35:05,"The power of  One of my followers owns ItsEasy Passport & Visa. He reached out to me and was able to get us an appointment in NYC a day before we are scheduled to leave. So the flight to Hawaii is off and our trip to Switzerland is still on. Thanks Dave, I owe you one!",1,1,0,173,42,1747,0.16247581,0.02571399,0.81181026,Neu,0.13676181,peterschiff
8,2021-05-14 01:16:01,"   We may have under performed the S&P during that period, but not our benchmarks.  However give it a bit more time and I think we will outperform the S&P since inception.",1,1,1,13,1,22,0.9143986,0.019083092,0.06651826,Pos,0.8953155,peterschiff
9,2021-05-05 02:55:02,"Americans should be stocking up on nonperishable consumer goods. Foods, cleansers, toiletries, medicines, batteries, etc. as all prices will be at least 10%-20% higher next year.  Since there's no chance prices will be lower, it's a no-brainer that will likely beat the S&P 500.",0,1,1,316,503,3119,0.8215666,0.017912224,0.16052122,Pos,0.8036544,peterschiff
10,2021-04-26 01:02:01,"   No it hasn't but i agree it's much better if you go back 20 years. Way ahead of the S&P, despite the current bubble.",0,1,0,4,1,5,0.6459086,0.011865006,0.34222645,Pos,0.6340436,peterschiff
11,2021-03-08 21:24:04,"  S&P down 2.5%, NASDQ down 10%. Tesla down 35%. So it's more than just the market being down.",0,1,0,59,3,48,0.008326156,0.9634706,0.028203234,Neg,-0.9551444,peterschiff
12,2021-02-07 18:35:01,"Being the first mover gave Bitcoin a head start, but it doesn't guarantee that it wins the race. Bitcoin = Myspace, Dogecoin = Facebook,  _______ = Instagram,  ______ = ______.  Nothing will ever equal gold!",1,1,1,860,161,1301,0.06375409,0.03472575,0.90152013,Neu,0.029028337,peterschiff
13,2021-01-12 13:38:03,It's amazing that  main on-screen quote bug toggles between the Dow Jones and Bitcoin. According to CNBC these are the two most important prices relevant to their viewers. This is one reason why CNBC should be completely irrelevent to investors.,0,1,1,254,55,678,0.045684185,0.064037345,0.89027846,Neu,-0.01835316,peterschiff
14,2021-01-12 13:30:04,"    Not bragging. Just being honest. But if you count the last two decades anyone following my investment advice would have substantially outperformed the S&P, despite the under performance during the more recent decade. I'm investing abroad, so the direction of the dollar is key.",1,1,1,2,0,1,0.33453098,0.024401406,0.6410676,Neu,0.31012958,peterschiff
