,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2021-08-06 13:40:04,"Knee Jerk reaction by algos will be to sell tech, buy banks/small caps/cyclicals.  (I don’t think it will be extreme). We’ll see.  $spy $442 is the major pivot for direction overall today",0,1,1,0,7,58,0.1256059,0.031339966,0.8430542,Neu,0.09426593,reddogt3
3,2021-08-05 22:05:04,Today’s recap and look ahead as I hand multiple requests.  I do it everyday for RAA $spx $qqq $aapl $nflx $hood $tsla $jets $sofi $nio $pltr    ,0,1,0,3,7,34,0.039042745,0.023547128,0.9374102,Neu,0.015495617,reddogt3
5,2021-08-05 12:00:05,Be sure to check out the Instareplay of the $630club on Instagram. Don't miss out on some actionable plays for the day ahead $spx $tsla $aapl $qqq  ,0,1,0,1,1,20,0.04167192,0.0320138,0.9263143,Neu,0.009658121,reddogt3
6,2021-08-04 15:52:02,$spx follow up  ,0,1,0,2,5,20,0.05367123,0.022534555,0.92379427,Neu,0.031136675,reddogt3
7,2021-08-04 14:02:04,$spx futures -16 as ADP misses big. We’ll see if some money hides in Mega cap tech to mute weakness.  $aapl can give clues today  ,0,1,1,0,5,26,0.21828294,0.10181777,0.6798993,Neu,0.116465166,reddogt3
8,2021-08-04 12:33:01,$spx levels and thoughts heading into the day  ,0,1,0,0,7,25,0.05112668,0.04133106,0.9075422,Neu,0.009795621,reddogt3
10,2021-08-04 02:16:04,Sometimes stocks are better to buy on support. It’s also good to buy high and sell higher. Lots of ways to do it $fb,1,1,0,1,0,10,0.15580304,0.019890971,0.82430595,Neu,0.13591206,reddogt3
11,2021-08-03 22:28:05,Here’s an example of my recap and look ahead I do every afternoon at 4:15 $spx $qqq $iwm $aapl $tsla $hood $seed $wmt.    ,1,1,0,3,5,20,0.037630714,0.03485616,0.9275132,Neu,0.0027745552,reddogt3
12,2021-08-03 20:33:03,$aapl trying to resolve this upper wedge higher.  Nice hold since post earnings.  ,1,1,0,1,1,25,0.36603552,0.3775683,0.25639617,Neg,-0.0115327835,reddogt3
13,2021-08-03 18:42:02,It’s when u take out a prior days low and then reclaim it.  The prior days low is the battle ground between the active bulls and bears.  Then we Jump on the winner of the battle.   (Small definition of RDR) You can Google it. Lots of examples out there.,0,1,1,7,4,64,0.043559987,0.037826065,0.918614,Neu,0.005733922,reddogt3
14,2021-08-03 18:25:04,Lots of programs of computers caught the RDR in $amzn 3303 and now it’s in the earnings gap,1,1,0,7,4,40,0.12013356,0.02270934,0.85715705,Neu,0.09742422,reddogt3
15,2021-08-03 18:06:03,$aapl upper pattern developing better.  Some added today,1,1,0,5,4,51,0.9495554,0.022451717,0.027992824,Pos,0.9271037,reddogt3
