,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-02 18:30:02,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $QQQ $IWM go inside on the 60 minute FullHouseForHarambe  ,0,1,0,1,2,9,0.06529368,0.028314458,0.9063919,Neu,0.03697922,robintheblack
1,2021-08-02 16:31:04,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,2,11,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
2,2021-07-30 16:31:03,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,1,14,0.048488684,0.030687526,0.9208238,Neu,0.017801158,robintheblack
4,2021-07-29 22:19:05,$AMZN I'm going to space! Shareholders be damned!,1,1,0,3,2,39,0.046264324,0.14073248,0.81300324,Neu,-0.09446816,robintheblack
6,2021-07-28 16:32:02,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,3,22,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
7,2021-07-26 19:31:04,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,2,14,0.046909172,0.033817768,0.919273,Neu,0.013091404,robintheblack
9,2021-07-12 18:31:00,The inside 60 minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,1,4,0.046909172,0.033817768,0.919273,Neu,0.013091404,robintheblack
10,2021-07-07 18:30:04,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute TrianglesForHarambe  ,0,1,0,2,2,19,0.046909172,0.033817768,0.919273,Neu,0.013091404,robintheblack
11,2021-07-06 14:49:05,$AAPL inside up on the quarter! TheStrat,0,1,0,2,1,40,0.41940638,0.07447621,0.5061174,Neu,0.34493017,robintheblack
12,2021-06-30 00:28:04,"2 MUST FOLLOWS!  admin of the Facebook group. The great Archivist of TheStrat has almost everything I've ever said!  The Future! 18 year old Stratter that can not only teach you, but help teach your kids!",1,1,1,7,5,57,0.07910185,0.016080672,0.90481746,Neu,0.06302118,robintheblack
14,2021-06-28 16:32:01,The Inside 60 minute Gorilla rings the triangle as $SPY goes inside on the 60 minute SPPOZForHarambe  ,0,1,0,2,2,5,0.059590727,0.027894203,0.9125151,Neu,0.031696524,robintheblack
15,2021-06-25 16:32:01,The Inside 60 Minute Gorilla rings the triangle as $SPY $QQQ $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,1,9,0.048488684,0.030687526,0.9208238,Neu,0.017801158,robintheblack
16,2021-06-22 18:32:00,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,1,7,0.05002185,0.028682578,0.9212956,Neu,0.021339271,robintheblack
17,2021-06-09 16:31:04,The inside 60 minute Gorilla rings the triangle as $SPY $QQQ $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,3,1,18,0.048488684,0.030687526,0.9208238,Neu,0.017801158,robintheblack
18,2021-06-08 02:55:01,"One of the talents I'm strangely proud of, When identifying that the market is going to do nothing. Then $SPY goes inside day on a Monday during a doji nothing month so far. As I like to say, The good thing is We know whats happening, the bad the bad thing is it's happening",0,1,0,4,5,59,0.05474213,0.25218445,0.6930734,Neu,-0.19744232,robintheblack
19,2021-06-01 19:31:00,The Inside 60 Minute Gorilla rings the triangle as $SPY $QQQ Go Inside on the 60 Minute TrianglesForHarambe  ,0,1,0,3,1,15,0.046909172,0.033817768,0.919273,Neu,0.013091404,robintheblack
20,2021-05-28 16:29:05,"And now, A moment of silence as $SPY $QQQ $DIA $IWM go inside on the 60 minute  ",0,1,0,6,2,47,0.039969914,0.0604949,0.8995352,Neu,-0.020524986,robintheblack
21,2021-05-24 18:31:01,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,1,13,0.05002185,0.028682578,0.9212956,Neu,0.021339271,robintheblack
22,2021-05-14 23:57:02,"TC2000, TheStrat Facebook group has all the codes! And  Do you hear the roar that your 60 minute charts need to update at the bottom of the hour??! NOT the top, there's a difference! Retweet and hit at them!",1,1,0,3,2,10,0.027384488,0.09019038,0.8824252,Neu,-0.06280589,robintheblack
23,2021-05-12 18:30:00,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,3,0,6,0.05002185,0.028682578,0.9212956,Neu,0.021339271,robintheblack
25,2021-05-06 18:31:02,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $IWM go Inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,0,6,0.05002185,0.028682578,0.9212956,Neu,0.021339271,robintheblack
26,2021-05-06 16:30:04,The Inside 60 Minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,1,14,0.046909172,0.033817768,0.919273,Neu,0.013091404,robintheblack
27,2021-05-05 19:38:01,The Inside 60 Minute Gorilla rings the triangle as $SPY goes inside on the 60 minute SPOOZForHarambe  ,0,1,0,1,1,9,0.043624375,0.030416865,0.9259588,Neu,0.01320751,robintheblack
28,2021-05-05 16:30:05,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $QQQ $IWM go inside on the 60 minute FullHouseForHarambe  ,0,1,0,1,0,6,0.06529368,0.028314458,0.9063919,Neu,0.03697922,robintheblack
29,2021-05-03 18:31:03,The inside 60 minute Gorilla rings the triangle as $SPY $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,0,5,0.05127017,0.027230714,0.9214991,Neu,0.024039455,robintheblack
30,2021-04-30 18:31:03,The inside 60 minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute TrianglesForHarambe  ,0,1,0,2,0,3,0.046909172,0.033817768,0.919273,Neu,0.013091404,robintheblack
32,2021-04-29 02:40:00,"Doing nothing! worst range in years! Good time to unfollow I think the $SPY is"" guys",0,1,0,2,1,9,0.08559283,0.47476792,0.43963918,Neg,-0.3891751,robintheblack
34,2021-04-28 18:30:02,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,1,10,0.046909172,0.033817768,0.919273,Neu,0.013091404,robintheblack
36,2021-04-27 19:30:04,The Inside 60 minute Gorilla rings the triangle as $SPY $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,2,8,0.05127017,0.027230714,0.9214991,Neu,0.024039455,robintheblack
37,2021-04-27 17:11:01,"Going to be an interesting TheStrat Time Report! $SPY up 2 cents, and the Reds beat the Dodgers 5-3 yesterday, now Here's your 10 forecast ZZZZZZ",1,1,0,0,0,11,0.14725633,0.016011901,0.83673173,Neu,0.13124442,robintheblack
38,2021-04-27 16:32:00,The Inside 60 Minute gorilla rings the triangle as $SPY $DIA go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,1,15,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
39,2021-04-26 15:31:02,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 Minute TrianglesForHarambe  ,0,1,0,1,3,17,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
41,2021-04-20 18:30:01,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA $QQQ $IWM Go inside on the 60 minute FullHouseForHarambe  ,0,1,0,0,0,11,0.06529368,0.028314458,0.9063919,Neu,0.03697922,robintheblack
42,2021-04-16 16:31:04,The inside 60 minute Gorilla rings the triangle as $SPY $DIA $QQQ $IWM go inside on the 60 minute FullHouseForHarambe  ,0,1,0,0,2,7,0.06529368,0.028314458,0.9063919,Neu,0.03697922,robintheblack
43,2021-04-15 19:31:00,The Inside 60 minute Gorilla rings the triangle as $SPY goes inside on the 60 minute SPOOZForHarambe  ,0,1,0,0,0,9,0.043624375,0.030416865,0.9259588,Neu,0.01320751,robintheblack
46,2021-04-08 18:38:05,The Inside 60 Minute Gorilla rings the triangle as $SPY goes inside on the 60 Minute SPOOZForHarambe  ,0,1,0,1,0,9,0.043624375,0.030416865,0.9259588,Neu,0.01320751,robintheblack
47,2021-04-08 16:31:02,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $QQQ $IWM go inside on the 60 Minute FullHouseForHarambe  ,0,1,0,2,2,19,0.06529368,0.028314458,0.9063919,Neu,0.03697922,robintheblack
48,2021-04-06 18:30:01, 60 Minute Price equilibrium that eventually needs to break in $SPY $DIA,0,1,0,0,0,0,0.28151056,0.077047095,0.6414424,Neu,0.20446347,robintheblack
49,2021-04-06 16:32:02,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute TrianglesForHarambe  ,0,1,0,3,1,6,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
51,2021-04-04 00:04:00,Did We know about that? anyone in TheStrat Facebook group care to pull My In The Black Newsletter 3 days before that happened? WeDid,1,1,0,3,0,1,0.025331123,0.10246579,0.8722031,Neu,-0.07713467,robintheblack
52,2021-03-29 15:31:01,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,1,14,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
53,2021-03-23 17:30:03,The Inside 60 Minute Gorilla rings the triangle as $SPY $QQQ $IWM go inside on the 60 Minute TrianglesForHarambe  ,0,1,0,1,0,9,0.048488684,0.030687526,0.9208238,Neu,0.017801158,robintheblack
54,2021-03-19 15:31:03,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,0,10,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
55,2021-03-19 08:25:00," You open small, then ADD as your position plays out. Knowing your magnitude is key, see  $SPY was a piece of cake Today",1,1,0,1,0,0,0.05207174,0.03573391,0.9121944,Neu,0.01633783,robintheblack
56,2021-03-17 16:29:05,The Inside 60 minute Gorilla rings the triangle as $SPY goes inside on the 60 minute SPOOZForHarambe  ,0,1,0,1,1,7,0.043624375,0.030416865,0.9259588,Neu,0.01320751,robintheblack
57,2021-03-16 17:32:03,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,0,6,0.048488684,0.030687526,0.9208238,Neu,0.017801158,robintheblack
58,2021-03-12 19:30:01,The Inside 60 Minute Gorilla rings the Triangle as $SPY $QQQ go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,1,10,0.046909172,0.033817768,0.919273,Neu,0.013091404,robintheblack
59,2021-03-10 19:31:05,The Inside 60 minute Gorilla rings the triangle as $SPY goes inside on the 60 minute SPOOZForHarambe  ,0,1,0,3,0,15,0.043624375,0.030416865,0.9259588,Neu,0.01320751,robintheblack
61,2021-03-04 16:31:01,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $IWM  go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,1,8,0.05002185,0.028682578,0.9212956,Neu,0.021339271,robintheblack
62,2021-03-03 16:31:05,The Inside 60 minute Gorilla rings the triangle as $SPY goes inside on the 60 Minute SPOOZForHarambe  ,0,1,0,0,1,2,0.043624375,0.030416865,0.9259588,Neu,0.01320751,robintheblack
63,2021-03-02 02:15:03,"My other favorite scammer story, Guy came to Me on Facebook saying I had randomly won a half a million dollars , congrats from Mark Zuckerberg! I said, ""Awesome.! I'm into Him for 750, Tell Him we're down to 250 and I'll see Him at The Golf Course at our usual time on Saturday!",1,1,1,2,1,20,0.048436172,0.14441976,0.80714405,Neu,-0.09598359,robintheblack
64,2021-03-02 01:57:01,"Tonight is, ""Messing with scammers night!"" Elderly blind couple, friends of a friend. Added Me on Facebook saying that they won and I'm on the list of Publishers Clearing House random winners! I said,  ",1,1,0,3,0,7,0.07045014,0.032285962,0.8972639,Neu,0.03816418,robintheblack
65,2021-03-01 03:43:04,"And you'll notice the $SPY doing nothing on the year, per the results",0,1,1,1,0,1,0.02713497,0.081445366,0.8914196,Neu,-0.054310396,robintheblack
66,2021-02-26 18:36:02,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA $QQQ go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,0,4,0.050836015,0.032291766,0.9168722,Neu,0.01854425,robintheblack
67,2021-02-26 16:30:02,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA $QQQ $IWM go inside in the 60 minute FullHouseForHarambe  ,0,1,0,1,1,3,0.058788795,0.031014977,0.91019624,Neu,0.027773818,robintheblack
68,2021-02-25 20:12:05,Tons of them! Go to the Facebook group here   and  has TheStrat scan built in that you can try free here ----&gt;   ,1,1,1,1,2,5,0.050045583,0.0145138055,0.93544066,Neu,0.035531778,robintheblack
69,2021-02-23 02:30:02,"One of the worst things I hear from friends not in the market, ""I have wealth manager"" Nothing screams underperform, I could just be long $SPY $QQQ than that. Any firm to Me called a Wealth Management Firm, Is a huge red flag!",1,1,1,1,4,24,0.018983003,0.747167,0.23385003,Neg,-0.728184,robintheblack
70,2021-02-22 16:31:04,The Inside 60 Minute Gorilla rings the triangle as $SPY $IWM go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,0,8,0.05127017,0.027230714,0.9214991,Neu,0.024039455,robintheblack
71,2021-02-18 18:10:01, As it breaks go after weak stocks in the Dow $CAT $BA etc,0,1,0,0,0,1,0.07068079,0.88388157,0.045437634,Neg,-0.8132008,robintheblack
72,2021-02-18 17:30:00,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ $DIA $IWM go inside on the 60 minute FullHouseForHarambe  ,0,1,0,2,0,8,0.06417679,0.02906573,0.90675753,Neu,0.035111062,robintheblack
73,2021-02-17 16:31:00,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute TrianglesForHarambe  ,0,1,0,0,0,7,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
74,2021-02-15 23:35:04,"So took some time off social media, So tired. Please use all TheStrat resources before coming to me.  will be in next week to help. I wish I could do 1 on 1 with everyone, just not possible. If on Facebook, go here!  ",1,1,1,2,1,11,0.052187536,0.020964248,0.9268483,Neu,0.031223288,robintheblack
75,2021-02-12 19:31:01,The inside 60 Minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute TrianglesForHarambe  ,0,1,0,1,0,5,0.045731094,0.032217506,0.9220514,Neu,0.013513587,robintheblack
76,2021-02-08 20:01:05,"FYI A great resource for TheStrat Is the Facebook group! Codes, Education, discussions,etc,   ",0,1,0,2,4,14,0.05491276,0.013662081,0.93142515,Neu,0.04125068,robintheblack
77,2021-02-08 18:32:02,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA $QQQ $IWM go inside on the 60 minute FullHouseForHarambe  ,0,1,0,0,1,10,0.06529368,0.028314458,0.9063919,Neu,0.03697922,robintheblack
78,2021-02-07 20:20:01,Oh We have codes for TOS! Go to the Facebook Group!  ,0,1,0,2,0,5,0.04226291,0.025184466,0.9325526,Neu,0.017078446,robintheblack
80,2021-02-05 16:31:05,The inside 60 Minute Gorilla rings the triangle as $SPY $DIA $QQQ AND $GME go inside on the 60 minute! TrianglesForHarambe  ,0,1,0,0,1,7,0.046276942,0.028015632,0.92570746,Neu,0.01826131,robintheblack
82,2021-02-02 19:31:04,The Inside 60 minute Gorilla rings the triangle as $SPY goes inside on the 60 minute SPOOZForHarambe  ,0,1,0,0,1,16,0.043624375,0.030416865,0.9259588,Neu,0.01320751,robintheblack
