,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-05 04:15:02,Deal will allow UK performers to do short tours in 19 EU members states visa-free  ,0,1,1,10,6,36,0.57930475,0.010069582,0.4106257,Pos,0.56923515,skynews
1,2021-08-03 14:15:01,"The Polish deputy foreign minister says Belarussian sprinter Krystina Tsimanouskaya, who has been granted a humanitarian visa and is at the Polish embassy in Tokyo, is ""very much welcome to stay in Poland""  Read more here:    ",1,1,0,7,20,80,0.12296065,0.020814447,0.8562249,Neu,0.1021462,skynews
2,2021-08-02 22:18:00,'We're just normal sports people': Belarusian Olympic sprinter Krystina Tsimanouskaya has received a humanitarian visa by Poland after refusing to board a Minsk-bound flight from Tokyo  ,1,1,0,9,26,101,0.025944687,0.90854776,0.06550755,Neg,-0.88260305,skynews
3,2021-08-02 16:55:00,Three stories:  🔴 NHS COVID19 app to ping fewer people to isolate   🔴 Oil tanker attack: Iran must 'face up to consequences' of actions - PM   🔴 Belarusian sprinter gets Polish visa - as husband in Ukraine    ,0,1,1,4,3,24,0.045584947,0.33470187,0.6197132,Neu,-0.28911692,skynews
4,2021-08-02 16:25:04,'We're just normal sports people': Belarusian Olympic sprinter Krystsina Tsimanouskaya has received a humanitarian visa by Poland after refusing to board a Minsk-bound flight from Tokyo  ,1,1,0,6,23,98,0.0252947,0.91673434,0.057970937,Neg,-0.8914396,skynews
6,2021-07-30 08:06:02,Amazon's new boss is facing a sales slowdown as the breakneck pace of expansion fuelled by stay-at-home shopping eases  ,1,1,0,13,3,22,0.009655449,0.9691151,0.021229504,Neg,-0.9594596,skynews
7,2021-07-29 23:24:02,New Amazon boss contends with sales slowdown as pandemic impact fades  ,0,1,0,9,4,29,0.010704164,0.9640995,0.02519628,Neg,-0.95339537,skynews
8,2021-07-29 07:17:05,Facebook was given the thumbs down by Wall Street despite doubling quarterly profits as it warned growth will slow sharply in coming months  ,1,1,1,9,2,16,0.017500665,0.96011364,0.022385657,Neg,-0.942613,skynews
9,2021-07-28 22:24:03,Facebook sees profits double to $10bn but warns of slowdown in months ahead  ,0,1,0,12,12,37,0.47268122,0.49604946,0.031269357,Neg,-0.02336824,skynews
11,2021-07-27 22:46:03,Apple sales top $80bn on strong demand for premium iPhones  ,0,1,0,7,5,43,0.949029,0.017718421,0.033252496,Pos,0.9313106,skynews
12,2021-07-25 09:35:05,'It's really shameful to this country that this is happening.'  Spokeswoman for Kent Refugee Action Network Bridget Chapman says a 'much better way' of dealing with migrants coming to the UK would be through a 'humanitarian visa' system.  Latest:    ,0,1,1,75,64,181,0.057187185,0.08985789,0.8529549,Neu,-0.032670707,skynews
13,2021-07-22 10:52:01,"Fires rage across the northern hemisphere, as ice retreats off the coast of Siberia 🧊🔥  On tonight’s DailyClimateShow at 6:30pm, Sky’s  reports on the wildfires ripping through Siberia.    📺 Sky 501 / Freeview 233   📱 Twitter, Facebook and YouTube  ",0,1,0,9,17,38,0.031575307,0.04453757,0.92388713,Neu,-0.012962263,skynews
14,2021-07-21 19:35:00,"Fires rage across the northern hemisphere, as ice retreats off the coast of Siberia 🔥🧊  On tomorrow's DailyClimateShow at 6:30pm, Sky’s  reports on the wildfires ripping through Siberia.   📺 Sky 501 / Freeview 233 📱 Twitter, Facebook and YouTube  ",0,1,0,7,24,31,0.029193249,0.046985812,0.9238209,Neu,-0.017792564,skynews
15,2021-07-21 17:51:00,Billionaire Jeff Bezos has thanked Amazon employees and customers for paying for his maiden voyage to space - but his remarks have prompted criticism from politicians and celebrities  ,1,1,0,46,14,68,0.02590637,0.8877467,0.08634684,Neg,-0.8618403,skynews
17,2021-07-21 14:37:00,A couple using Google Earth have uncovered one of the largest collections of rare marine fossils in the UK  ,1,1,0,11,9,54,0.13084623,0.014444939,0.8547088,Neu,0.11640129,skynews
18,2021-07-20 20:52:04,Three stories to read tonight:   🚀Bezos thanks Amazon customers for paying for his space flight    🚨 Employers will have to apply for isolation exemption for 'pinged' workers    🗳️MPs back new immigration bill    ,1,1,1,9,7,32,0.0771181,0.43965825,0.48322365,Neu,-0.36254016,skynews
19,2021-07-20 18:38:05,"You can catch our Moscow correspondent  report from the Russian Arctic on the threat of melting permafrost tomorrow on the DailyClimateShow at 6:30pm.  Here's what to expect 👇  📺 Sky 501 / Freeview 233 📱 Twitter, Facebook and YouTube",0,1,1,3,7,28,0.02392135,0.040066328,0.9360123,Neu,-0.016144978,skynews
20,2021-07-20 18:13:00,"We'll be looking into how climate change is affecting our temperatures on tonight's DailyClimateShow at 6:30pm.  📺 Sky 501 / Freeview 233 📱 Twitter, Facebook and YouTube  Catch up here 👇  ",0,1,1,6,3,10,0.031867452,0.02549647,0.9426361,Neu,0.006370982,skynews
