,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-01 03:15:00,"In May, the S&P/Case-Shiller National Home Price Index was up 16.6% from a year earlier. Its 20- and 10-city composite indexes posted annual price gains of 17% and 16.4%, respectively. For related release tables, see FRED:    ",1,1,0,6,9,15,0.9351424,0.018097801,0.046759773,Pos,0.9170446,stlouisfed
1,2021-07-28 03:15:00,"In May, the S&P/Case-Shiller National Home Price Index was up 16.6% from a year earlier. Its 20- and 10-city composite indexes posted annual price gains of 17% and 16.4%, respectively. For related release tables, see FRED:    ",1,1,0,0,6,11,0.9351424,0.018097801,0.046759773,Pos,0.9170446,stlouisfed
6,2021-06-28 21:15:00,"Data releases this week include S&P/Case-Shiller’s home price indexes on Tuesday, construction spending on Thursday, and the employment report and international trade on Friday. See FRED’s calendar for more:    ",1,1,0,0,2,4,0.020051708,0.12034136,0.8596069,Neu,-0.10028965,stlouisfed
7,2021-06-27 05:25:00,The FRED Blog helps explain why the Chicago Board of Options Exchange Volatility (VIX) rose when the S&P 500 declined from mid-February to late March 2020    ,1,1,0,2,5,31,0.17204556,0.78230405,0.045650367,Neg,-0.61025846,stlouisfed
8,2021-06-25 05:40:00,The FRED Blog helps explain why the Chicago Board of Options Exchange Volatility (VIX) rose when the S&P 500 declined from mid-February to late March 2020    ,1,1,0,1,7,19,0.17204556,0.78230405,0.045650367,Neg,-0.61025846,stlouisfed
10,2021-05-24 13:40:00,"S&P/Case-Shiller’s home price indexes and new home sales data are released Tuesday, followed by durable goods orders on Thursday and personal income and outlays on Friday. See FRED’s calendar for more:    ",1,1,0,0,0,3,0.01873901,0.0780399,0.9032211,Neu,-0.059300892,stlouisfed
13,2021-03-29 13:35:00,"S&P/Case-Shiller’s home price indexes are released Tuesday. Construction spending data are out Thursday, followed by the employment report on Friday. See FRED’s calendar for more:    ",1,1,0,0,2,5,0.018044421,0.17873636,0.80321926,Neu,-0.16069193,stlouisfed
14,2021-03-25 01:00:03,"Aggregate market indexes such as the S&P 500 have fully recovered since the beginning of the pandemic, but not all sectors have performed equally well    ",1,1,0,0,3,10,0.93488365,0.0450569,0.020059377,Pos,0.8898268,stlouisfed
15,2021-03-24 02:15:00,"Aggregate market indexes such as the S&P 500 have fully recovered since the beginning of the pandemic, but not all sectors have performed equally well    ",1,1,0,2,1,6,0.93488365,0.0450569,0.020059377,Pos,0.8898268,stlouisfed
16,2021-03-18 20:15:01,"Using Google Classroom? We’ve added to a growing collection of economics and personalfinance lessons, formatted so you can assign them directly to your students.    ",1,1,1,1,1,3,0.16518877,0.008683845,0.82612735,Neu,0.15650493,stlouisfed
17,2021-03-08 00:50:00,"Using Google Classroom? We’ve added to a growing collection of economics and personalfinance lessons, formatted so you can assign them directly to your students.    ",1,1,1,0,6,16,0.16518877,0.008683845,0.82612735,Neu,0.15650493,stlouisfed
18,2021-02-26 21:25:00,"K-5 teachers, use our children’s literature lessons with Google Classroom to teach economics and personalfinance    ",0,1,0,0,4,4,0.07453482,0.013018952,0.9124462,Neu,0.061515868,stlouisfed
21,2021-01-14 13:30:03,"Using Google Classroom? We’ve added to a growing collection of economics and personalfinance lessons, formatted so you can assign them directly to your students.    ",1,1,1,0,0,3,0.16518877,0.008683845,0.82612735,Neu,0.15650493,stlouisfed
23,2020-12-28 18:01:04,S&P/Case-Shiller’s home price indexes are released Tuesday. Jobless claims and the St. Louis Fed’s financial stress index come out Thursday. See FRED’s calendar for more releases this week    ,1,1,0,0,3,3,0.016370364,0.36497432,0.6186554,Neu,-0.34860396,stlouisfed
24,2020-12-15 01:30:01,"Using Google Classroom? We’ve added to a growing collection of economics and personalfinance lessons, formatted so you can assign them directly to your students.    ",1,1,1,0,0,2,0.16518877,0.008683845,0.82612735,Neu,0.15650493,stlouisfed
36,2020-01-22 04:10:00,"Listen to our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”  ",1,1,0,0,2,0,0.057182785,0.016251959,0.9265653,Neu,0.040930826,stlouisfed
37,2019-12-17 00:50:00,"Teachers, If you’re talking about holidays consider EconLowdown lesson with ""How to Make an Apple Pie"" book    ",0,1,0,0,6,4,0.042016346,0.031648125,0.9263355,Neu,0.0103682205,stlouisfed
38,2019-12-02 18:10:00,"Teachers, If you’re talking about holidays consider EconLowdown lesson with ""How to Make an Apple Pie"" book    ",0,1,0,0,4,5,0.042016346,0.031648125,0.9263355,Neu,0.0103682205,stlouisfed
39,2019-11-04 13:40:00,"Hear the WomeninEconomics Podcast Series on Apple Podcasts, Spotify and Stitcher, or ask your Amazon device, “Alexa, play Women in Economics.”    ",0,1,0,0,2,4,0.046274766,0.019560434,0.9341649,Neu,0.026714332,stlouisfed
40,2019-10-21 18:25:00,"Listen to WomeninEconomics Podcast Series on Apple Podcasts, Spotify and Stitcher, or ask your Amazon device, “Alexa, play Women in Economics from TuneIn.”  ",0,1,0,0,3,3,0.04092443,0.021719383,0.93735623,Neu,0.019205047,stlouisfed
41,2019-09-23 22:35:00,"Listen to WomeninEconomics Podcast Series on Apple Podcasts, Spotify and Stitcher, or ask your Amazon device, “Alexa, play Women in Economics from TuneIn.”    ",0,1,0,0,1,2,0.04092443,0.021719383,0.93735623,Neu,0.019205047,stlouisfed
42,2019-09-04 13:30:02,"The Piggy Bank Primer, available free on Apple Books, is one of many free resources that parents (and teachers) can use to teach little ones about saving and spending. Check out our curated list backtoschool    ",0,1,1,0,6,5,0.05678131,0.019664714,0.92355394,Neu,0.037116595,stlouisfed
43,2019-05-25 21:20:00,"Teachers, help your students understand natural resources and trade with a lessonplan on the book ""How to Make an Apple Pie and See the World""  ",0,1,0,0,2,1,0.06504485,0.015299345,0.9196558,Neu,0.049745504,stlouisfed
44,2019-05-04 13:45:00,"Learn more about economic education in our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”     ",0,1,0,0,0,1,0.0909102,0.012474773,0.896615,Neu,0.07843542,stlouisfed
45,2019-04-21 00:50:00,"Listen to our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”  ",1,1,0,0,0,4,0.057182785,0.016251959,0.9265653,Neu,0.040930826,stlouisfed
46,2019-03-29 14:05:00,"Listen to David Wilcox, formerly of  in our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”    ",0,1,0,1,0,0,0.050761275,0.017169464,0.93206924,Neu,0.03359181,stlouisfed
47,2019-03-20 12:35:00,"Listen to our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”  ",1,1,0,0,3,2,0.057182785,0.016251959,0.9265653,Neu,0.040930826,stlouisfed
48,2019-02-27 15:25:00,"Listen to  in our latest WomeninEconomics podcast episode by telling your Amazon device, “Alexa, play Timely Topics from TuneIn.”    ",1,1,0,0,1,2,0.059210226,0.015202326,0.9255874,Neu,0.0440079,stlouisfed
49,2019-01-31 05:40:00,"Listen to our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”  ",1,1,0,0,0,0,0.057182785,0.016251959,0.9265653,Neu,0.040930826,stlouisfed
50,2018-12-20 01:00:02,"Listen to our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”  ",1,1,0,0,1,3,0.057182785,0.016251959,0.9265653,Neu,0.040930826,stlouisfed
51,2018-12-18 18:45:00,"Listen to  Louise Sheiner in our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”  ",0,1,0,0,3,2,0.05460789,0.016794622,0.9285975,Neu,0.03781327,stlouisfed
52,2018-12-18 00:40:00,"Listen to our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn.”  ",1,1,0,1,2,2,0.057182785,0.016251959,0.9265653,Neu,0.040930826,stlouisfed
54,2018-11-19 18:20:00,"Listen to  Gov. Lael Brainard in our latest WomeninEconomics podcast episode by asking your Amazon device, “Alexa, play Timely Topics from TuneIn Radio”    ",0,1,0,0,7,2,0.048099626,0.015174582,0.9367258,Neu,0.032925043,stlouisfed
55,2018-11-16 21:20:00,"Teachers, If you're talking about Thanksgiving, consider EconLowdown lesson with ""How to Make an Apple Pie"" book  ",0,1,0,0,0,0,0.03127504,0.046026297,0.9226987,Neu,-0.0147512555,stlouisfed
