,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2020-10-21 23:17:04," You don't think Facebook has a user agreement? Besides, when is a labor contract so sacrosanct to the Left anyway?",0,1,0,3,0,4,0.028961016,0.3834624,0.5875766,Neu,-0.3545014,tylercowen
2,2020-10-21 21:46:04,"If nothing else, Twitter today shows (once again) just how selective is the belief in privacy rights. Imagine if Facebook were releasing the same tape ""starring"" a non-right-wing figure.",1,1,0,20,12,206,0.037651036,0.07968089,0.8826681,Neu,-0.042029854,tylercowen
3,2020-09-01 19:55:00,"Amazon doesn't usually ring the doorbell, but somehow they knew to when bringing the new Ferrante book today.",1,1,0,5,1,90,0.046541236,0.028631222,0.9248276,Neu,0.017910015,tylercowen
4,2020-05-28 22:33:01,"  If you ""solve for the equilibrium"" there, it just doesn't seem so fearful to me. And I don't spend any time on ""Facebook the page"" in fact.",0,1,0,1,0,0,0.03255118,0.09580589,0.87164295,Neu,-0.063254714,tylercowen
5,2020-05-28 19:58:02,"  I can choose my Facebook friends, but I can't really choose who emails me. Plus I can stare at WhatsApp or Instagram instead of the Facebook page, or choose which parts of the page, lots of control, no?",0,1,1,2,0,5,0.02921495,0.040816188,0.92996883,Neu,-0.011601238,tylercowen
7,2020-03-14 12:27:05,"In which year would this claim have been most surprising?: ""The only Apple stores up and running will be those in China"",  ",1,1,1,5,31,166,0.052090663,0.023927942,0.92398137,Neu,0.028162722,tylercowen
8,2019-10-23 13:09:04,"Fortunately, since we live in a rational world, the Google quantum computing breakthrough will cause people to rethink their ""break up big tech"" views.",0,1,1,13,19,178,0.106940806,0.019287057,0.8737722,Neu,0.08765375,tylercowen
9,2019-10-20 14:50:02,"  UK Amazon will ship! And with the cheaper pound, usually it doesn't cost much more than a US order.",0,1,1,1,0,0,0.17743377,0.01131569,0.8112505,Neu,0.16611809,tylercowen
14,2019-02-19 16:05:05,"  Yes no tax break is better, but nonetheless a huge loss that Amazon didn't come, just as immigrants are a big gain for Queens. Comparison holds up. Not every subsidy to immigrants is a good idea, either.",1,1,0,1,0,1,0.2875275,0.050465506,0.662007,Neu,0.23706199,tylercowen
15,2019-02-19 15:29:05,"  That is not money NY is forking over, it is a credit against future taxes. With Amazon not coming the money simply is not there. And Medicaid is a major expense for NY/NYC!",0,1,0,2,0,3,0.037030455,0.3241573,0.63881224,Neu,-0.28712684,tylercowen
16,2019-02-19 15:16:00," You don't think immigrants are also receiving some local subsidies through Medicaid, public education, etc.? And by no means do all pay income tax. Amazon pays state tax, huge payroll tax, its workers pay income tax, partial incidence on Amazon.",0,1,0,1,0,2,0.029179942,0.05158145,0.9192387,Neu,-0.022401508,tylercowen
17,2019-02-18 18:06:05,"How is it again that immigrants coming to Queens is good but Amazon coming is bad?,  ",0,1,0,93,23,187,0.03458244,0.5640086,0.40140897,Neg,-0.52942616,tylercowen
18,2019-02-16 21:15:04,"I think a prediction market, with the value of Queens land contingent on whether Amazon comes, would yield a strongly positive answer. Related to Krugman's current agnostic thread on Amazon.",1,1,1,12,6,60,0.07298363,0.0281779,0.8988385,Neu,0.044805728,tylercowen
19,2019-01-01 18:24:02," Happy to help you out if you email me, Google ""Tyler Cowen email""...",0,1,0,1,0,5,0.058252912,0.015280439,0.92646664,Neu,0.042972475,tylercowen
21,2018-08-23 09:30:02,"Is the NYT giving in to the same dynamics they blame Facebook for?,  ",0,1,0,3,11,35,0.028351327,0.5439941,0.42765447,Neg,-0.5156428,tylercowen
23,2018-06-17 15:57:00," Why not google ""percentage of monks in the general population"" or something such similar? We all know it is quite low, Thailand aside.",0,1,0,6,0,6,0.03084501,0.1985972,0.77055776,Neu,-0.16775218,tylercowen
24,2018-04-12 00:10:04,"  Yes, and Facebook faces competition from the rest of the internet. I don't advocate a world where Facebook is 100% of gdp! contestability",0,1,0,3,0,2,0.079581276,0.020269115,0.90014964,Neu,0.05931216,tylercowen
25,2018-04-11 23:55:05, It is easier to publish on Facebook today than it was to hire a printing press back then. Much easier.,1,1,0,4,0,3,0.07730495,0.016338596,0.90635645,Neu,0.060966358,tylercowen
