,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2021-07-22 16:40:03,Why Bezos’ “Thank You” Message to Amazon Workers is Controversial  ,0,1,0,1,0,2,0.13756162,0.03451279,0.82792556,Neu,0.10304883,valuewalk
6,2021-07-07 15:59:00,Microsoft Loses $10 Billion Contract for Pentagon’s JEDI Project  ,1,1,0,0,0,0,0.018365493,0.91732943,0.06430506,Neg,-0.8989639,valuewalk
13,2021-05-15 21:30:00,Facebook Loses Appeal In Data Protection Case In Ireland  ,0,1,0,0,0,1,0.029367348,0.91395,0.056682553,Neg,-0.8845827,valuewalk
14,2021-05-03 17:45:01,".   ""S&P 500 valuations are higher today than the peak of the tech bubble in 2000. Speculation is raging and risks are high due to ultra-easy financial conditions and record leverage.""    ",0,1,0,0,1,1,0.9142632,0.043256417,0.04248036,Pos,0.8710068,valuewalk
18,2021-04-26 15:38:00,No Upsetting the Apple Cart in Stocks Or Gold  ,0,1,0,0,1,3,0.12165272,0.21342583,0.66492146,Neu,-0.09177311,valuewalk
20,2021-04-14 17:01:03,Amazon legally influenced or intimidated workers against unionizing  ,1,1,0,0,0,2,0.016372059,0.8992867,0.08434126,Neg,-0.8829146,valuewalk
23,2021-04-10 18:04:00,It Looks Like Amazon Has Beaten Back The Union  ,0,1,0,0,0,0,0.41464147,0.4953609,0.08999766,Neg,-0.08071944,valuewalk
25,2021-04-06 17:29:03,New S&P 500 Highs Or Metals Rising?  ,0,1,0,0,0,1,0.13886815,0.06340922,0.79772264,Neu,0.07545894,valuewalk
31,2021-03-24 17:16:03,Amazon workers fight to improve working conditions  ,1,1,0,0,0,1,0.31781766,0.102857724,0.57932466,Neu,0.21495993,valuewalk
34,2021-02-15 03:26:00,Amazon’s FBA (Fulfillment by Amazon) Service Is Growing: What Are the Benefits and Drawbacks?  ,0,1,0,0,0,1,0.155636,0.012155181,0.8322088,Neu,0.14348082,valuewalk
39,2021-01-12 19:49:04,Prepare and Profit from the Coming Google Stock Breakout  ,0,1,0,0,0,0,0.20896563,0.010367983,0.7806664,Neu,0.19859764,valuewalk
46,2020-12-01 16:49:05,"""While it’s impossible to time the popping of a bubble-stock, Tesla's S&P inclusion sometimes marks the top"" $TSLA $TSLA by   ",0,1,0,0,1,1,0.07212495,0.03918019,0.8886949,Neu,0.03294476,valuewalk
49,2020-10-20 18:26:02,Berkshire Hathaway to pay $4.14 million to settle Iran sanctions violations claims | Article [AMP] | Reuters h/t ⁦   ,1,1,0,0,0,1,0.0473828,0.1567693,0.79584795,Neu,-0.1093865,valuewalk
50,2020-09-15 13:09:05,This is where Jeff Bezos’ foundation invests its money (not just Amazon)   ,0,1,0,0,0,1,0.04396284,0.013312144,0.94272506,Neu,0.030650696,valuewalk
55,2020-08-24 14:46:00,"Everything You Need To Know About Net Net Deep Value Hunting [In-Depth] :  Coal Stocks, Market Vectors-Coal ETF (NYSEARCA:KOL) were some of the best performers in the S&P 500, according to the W ... - EvanBleker NetNetHunter Netnets ValueTalks -    ",1,1,0,0,1,0,0.68122303,0.014510003,0.30426696,Pos,0.66671306,valuewalk
56,2020-08-21 14:41:02,Why Owning Stocks Is the Single Best Way to Get Rich   $WMT $AMZN,0,1,0,0,0,3,0.091347836,0.013032396,0.8956198,Neu,0.07831544,valuewalk
57,2020-08-19 19:50:02,"2One Capital Up 5.72% YTD vs 1.25% S&P 500 : 2One Capital performance updated for the second quarter ended July 31, 2020. Q2 2020 hedge fund letters, conferences and... - 2OneCapital -    ",1,1,0,0,0,1,0.8830639,0.01833516,0.09860097,Pos,0.86472875,valuewalk
58,2020-08-12 21:28:03,Tesla announces stock split: is it trying to join the Dow?   $TSLA $TSLAQ,0,1,0,0,0,2,0.026435,0.037272286,0.9362927,Neu,-0.010837285,valuewalk
59,2020-08-11 16:15:03,Are the Tech Giants Trading Like Bonds?   $amzn $tsla ⁦,0,1,0,0,0,1,0.038541988,0.022357378,0.93910056,Neu,0.01618461,valuewalk
60,2020-08-06 16:44:02,"Dan Loeb ""Driving the equity portfolio’s gains were a series of well-timed entries into new positions since the market bottom including in Alibaba and   Amazon, and Disney,""   ",1,1,0,0,0,1,0.89707124,0.016510233,0.08641859,Pos,0.880561,valuewalk
61,2020-08-04 14:22:03,"Einhorn ""As with WDI and the DAX, we expect the TSLA parabola to end around the speculated inclusion in the prestigious S&P 500 index.""  ",0,1,0,0,0,1,0.8011926,0.017758798,0.18104863,Pos,0.7834338,valuewalk
63,2020-07-17 16:39:02,"NewArticle: After Pabrai’s Fund Slides 15% in Covid Markets, Mohnish Says To Bet On Micron Not Tesla And FAANGS   $MU $TSLA TSLAQ $AMZN",0,1,0,0,0,4,0.014968263,0.9543201,0.030711701,Neg,-0.9393518,valuewalk
68,2020-06-17 20:32:01,".  ""is perhaps one of the best macro set-ups in US history to rotate out of overvalued stocks and into undervalued precious metals""     $GOLD $GLD $IAU $SPY",1,1,0,2,25,99,0.28515545,0.01895042,0.69589406,Neu,0.266205,valuewalk
70,2020-05-22 21:41:03,"CalPERS sold more than 300,000 shares of Facebook but continues to hold a  sizable stake in the social networking giant at more than 5 million  shares   $FB",1,1,0,0,1,1,0.0536639,0.01274732,0.9335888,Neu,0.040916577,valuewalk
71,2020-05-22 16:08:05,65% of Apple's annual revenue is subject to reduced tax in Ireland   $AAPL $MSFT $GOOG,0,1,0,0,2,1,0.06560625,0.015461043,0.91893274,Neu,0.05014521,valuewalk
78,2020-05-06 13:44:02,"Berkshire Hathaway will write pandemic cover “at the right price”, Buffett says  ",0,1,1,2,2,2,0.1775377,0.0098897,0.8125726,Neu,0.16764799,valuewalk
79,2020-05-05 12:24:00,"Aswath Damodaran's Mentor And Teacher On How Covid-19 Impacts The S&P 500 : How things have changed since the last investment review in April. It is a reminder that ‘events, dear boy, events’ are not always ben... - BradCornell COVID19 ValueTalks -    ",1,1,0,0,1,1,0.08250554,0.11539238,0.8021021,Neu,-0.03288684,valuewalk
80,2020-04-30 22:06:04,Mastercard: Buying a brighter future   $MA $V,0,1,0,1,1,3,0.23690194,0.011541715,0.7515564,Neu,0.22536023,valuewalk
83,2020-04-28 15:19:03,Berkshire Hathaway – Don’t Write This Elephant Off Just Yet      $BRK $BRKB $BRKA,0,1,0,0,0,3,0.07438364,0.07186123,0.8537552,Neu,0.002522409,valuewalk
84,2020-04-24 18:00:03,"When dividend payments are included, companies in the S&P spent $3.5  trillion boosting their stock prices and enriching shareholders in  those three years  ",1,1,0,0,0,0,0.8501041,0.011918906,0.13797694,Pos,0.8381852,valuewalk
85,2020-04-24 16:15:04,"The top spot in each year is taken up by tech companies, with Microsoft,  SAS, Salesforce and Cisco joining Google in first place between 2011  and 2019.   ",1,1,0,0,0,1,0.22256003,0.011351951,0.766088,Neu,0.21120808,valuewalk
87,2020-04-21 17:07:01,"Berkshire Hathaway - Don't Write This Elephant Off Just Yet : Berkshire Hathaway, Warren Buffett’s investment vehicle could not escape the horrible pull of the markets this year. With stocks deep in ... - BerkshireHathaway WarrenBuffett -    ",0,1,1,0,1,3,0.03122875,0.6543327,0.31443855,Neg,-0.623104,valuewalk
88,2020-04-21 03:04:00,Locking In Amazon Gains $AMZN   via  ,0,1,0,0,2,0,0.8822046,0.06629352,0.05150191,Pos,0.81591105,valuewalk
89,2020-04-17 03:39:03,Top 10 best and worst performing S&P 500 stocks in this crisis  ,0,1,0,0,3,4,0.022115085,0.775453,0.20243204,Neg,-0.75333786,valuewalk
90,2020-04-14 20:44:00,".  ""It’s hard to understand how we see record job losses, a shutdown of the economy, horrific GDP projections, a bad earnings season, yet the market has regained half its losses and just entered into a bull market""   $SPY",1,1,0,0,1,2,0.011387793,0.9587065,0.029905783,Neg,-0.94731873,valuewalk
91,2020-04-14 17:34:03,He pinpointed the coronavirus market bottom and now he’s laying out what he sees for the rest of the year    via    $SPY,1,1,1,1,3,1,0.055678483,0.04276908,0.90155244,Neu,0.012909405,valuewalk
93,2020-04-09 14:28:00,"Are You Investing or Gambling? : Many would consider Berkshire Hathaway to be the model company, but the company has a problem in the form of its founder. Warren Buffett... - GreatWatersFinancial JustinHalverson ValueTalks -    ",0,1,1,0,1,7,0.029914223,0.10581746,0.8642683,Neu,-0.07590324,valuewalk
97,2020-03-31 19:53:03,Staff at the following firms feeling increasingly anxious amid Coronavirus breakout    44.7% of Apple  49.2% of Capital One  62.5% of Salesforce  61.2% of Linkedin       Via ,0,1,0,0,0,0,0.010392062,0.93745786,0.05215005,Neg,-0.9270658,valuewalk
99,2020-03-26 16:48:03,A dozen Amazon workers told CNBC they’re terrified to go to work. Warehouse  workers and delivery drivers say they’re forced to choose between going  to work and risking their health or staying home and not being able to  pay their bills.   ,1,1,0,0,0,0,0.009138988,0.93210703,0.058754086,Neg,-0.92296803,valuewalk
100,2020-03-25 15:24:00,Very strange: Nasdaq in negative territory even as Dow runs intraday gain to 500 points  ,0,1,0,1,1,0,0.016306268,0.9464609,0.0372328,Neg,-0.9301546,valuewalk
102,2020-03-24 17:20:05,"A  large number of Facebook, Google, & Instagram users continue to advertise the sale of face masks on these platforms amidst the COVID-19 crisis, despite the tech giants’ insistence that the promotion of such products is prohibited on their platforms.  ",1,1,0,0,1,0,0.031240568,0.6003968,0.36836264,Neg,-0.5691562,valuewalk
103,2020-03-24 15:25:00,57.1% of surveyed professionals fear being laid off 87.5% of Expedia professionals 37.5% of Facebook professionals 46.3% of Amazon professionals 45.2% of Apple professionals    by ,1,1,0,1,0,4,0.0074522626,0.95969933,0.032848433,Neg,-0.9522471,valuewalk
104,2020-03-24 13:11:01,How to hedge a market crash even if you are wrong      $USO $SDUG $OIL $SPY,0,1,0,0,2,0,0.09579725,0.04724195,0.85696083,Neu,0.0485553,valuewalk
105,2020-03-23 21:49:04,The S&P 500 and the Dow hit their lowest levels since late-2016 as the woes regarding the financial sector’s profitability increased    ,1,1,0,0,1,3,0.008178708,0.9657634,0.026057929,Neg,-0.9575847,valuewalk
106,2020-03-23 15:14:05,Top 10 coronavirus stocks thriving in the storm   $AMZN $ZM $ZOOM $NFLX $GILD $LAKE,0,1,0,0,0,0,0.39973378,0.04711134,0.5531549,Neu,0.35262245,valuewalk
110,2020-03-16 23:32:01,Berkshire Hathaway and 2 Other Companies Sitting on Mountains of Cash  ,0,1,0,0,2,6,0.06462893,0.039658748,0.89571226,Neu,0.024970181,valuewalk
111,2020-03-16 21:30:00,"Today’s plunge was even worse than last Thursday’s crash, with the Dow registering its worst day since 1987     $FED",1,1,0,1,8,30,0.008431524,0.97093785,0.020630598,Neg,-0.9625063,valuewalk
112,2020-03-16 18:17:04,Tesla stock continues to dive with the Dow   $TSLA $TSLAQ ,0,1,0,0,0,1,0.010860409,0.9610921,0.02804743,Neg,-0.95023173,valuewalk
113,2020-03-13 19:15:00,".  warns 156 S&P500 firms have dividend payout ratios of less than 75% on 20E earnings, Energy dividends are particularly flimsy today, and cuts to dividends and capex will likely become the fashionable industry trend   ",0,1,1,0,0,2,0.009096708,0.9686809,0.022222444,Neg,-0.95958424,valuewalk
116,2020-03-08 15:08:03,It’s possible that Charles Schwab may have indirectly inspired the Amazon Flywheel; recall that Jeff Bezos was a relentless Wall Street hedge fund wonk before he founded Amazon. $amzn $schwb   ,1,1,1,0,0,3,0.02672979,0.041535813,0.9317344,Neu,-0.014806023,valuewalk
117,2020-03-06 15:23:02,Amazon fights the outbreak of the coronavirus on two fronts   $AMZN,0,1,0,0,0,0,0.60114527,0.012566572,0.3862881,Pos,0.5885787,valuewalk
118,2020-03-05 21:58:02,"If Amazon got into the investing business, they would probably buy Schwab. Although the two companies on the surface appear to be dramatically different from one another, they both share an obsession with improving customer value and experience   ",1,1,1,0,1,6,0.14517123,0.012659409,0.84216934,Neu,0.13251181,valuewalk
120,2020-02-28 20:55:02,"Yes, what a difference a week makes, but it's just another hissy fit in the market.   $SPY Coronavid19",0,1,0,0,0,1,0.03225406,0.05674851,0.9109974,Neu,-0.02449445,valuewalk
121,2020-02-28 20:19:01,"If the coronavirus wins, Donald Trump could lose    $SPY",0,1,1,0,1,3,0.04703889,0.34620616,0.60675496,Neu,-0.29916728,valuewalk
126,2020-02-24 20:52:05,Berkshire Hathaway is the 'No. 1 Retirement Stock in America'   $BRK $BRKA $BRKB $AXP $AAPL,0,1,0,0,2,3,0.24668467,0.009084425,0.74423087,Neu,0.23760025,valuewalk
130,2020-02-21 19:09:04,Chase Coleman wins with Facebook in strong Q4 returns even as Private equity underperforms [letter]   $FB,0,1,0,0,0,2,0.89025486,0.07430406,0.03544113,Pos,0.8159508,valuewalk
131,2020-02-20 23:22:02,Is This A Reason To Be Bearish On Gold? $GLD $NDX $SPX $DJI $UUP  ,0,1,0,0,0,2,0.035863865,0.157786,0.8063501,Neu,-0.121922135,valuewalk
134,2020-02-12 02:21:02,Is the S&P 500 in a bubble yet? JPMorgan sees some evidence   $SPY ,0,1,0,0,0,1,0.18053171,0.10139874,0.71806955,Neu,0.07913297,valuewalk
135,2020-02-11 15:22:05,"If interest rates were to start to rise, stock prices could fall very rapidly with the prices of growth stocks dropping the most.  The biggest threat in that regard is the current federal budget.     $SPY",1,1,1,0,2,7,0.012487647,0.94224864,0.045263782,Neg,-0.929761,valuewalk
136,2020-02-10 22:36:02,Elon Musk feels Facebook is lame and wants you to delete it     $AAPL $FB,0,1,0,1,0,5,0.018564863,0.51625997,0.46517518,Neg,-0.49769512,valuewalk
138,2020-02-07 19:42:03,"Electric cars are to Tesla what the internet was for  Amazon, says one analyst - see why here $TSLA $TSLAQ  ",1,1,0,0,0,4,0.061281286,0.017678771,0.92103994,Neu,0.043602515,valuewalk
140,2020-02-05 18:03:01,Tesla stock trends on Google and dives amid downgrade   $TSLA $TSLAQ,0,1,0,0,0,1,0.010974656,0.92383397,0.06519145,Neg,-0.9128593,valuewalk
141,2020-02-05 16:41:01,"Appealing to  is the ability to can co-mingle its data, AI, and liquidity with a big tech platform like Amazon to drive scale and personalization for end users.    by  $AAPl $GS",0,1,1,0,3,2,0.5884993,0.007936812,0.4035639,Pos,0.5805625,valuewalk
144,2020-01-27 18:10:03,"Outperforming the market is hard. Over the last five years, it was easy.  Easy if you owned just one stock. The world’s largest. You just had to  buy Apple. And NOT sell it.    by  $$  ",1,1,0,0,0,2,0.042312145,0.052274555,0.90541327,Neu,-0.00996241,valuewalk
145,2020-01-27 16:52:03,"In fact, a more relevant concern today is not that the market is short-sighted but that it is so hyperopic that prices may be running away from fundamentals. by     cc  $SPY $DJI",0,1,1,0,4,10,0.028097259,0.5853761,0.38652658,Neg,-0.5572788,valuewalk
146,2020-01-24 15:41:03,Your customers have become accustomed to very personal experiences  thanks to customer-obsessed retail giants like Amazon. Asset managers  taking a similar path will have a leg up. AI offers this opportunity   ,1,1,1,0,0,1,0.19728036,0.009717172,0.7930025,Neu,0.1875632,valuewalk
148,2020-01-22 16:46:00,"The average investor lost 9.42% in 2018, compared to losses by the  S&P 500 of only 4.38%. Why? Aoiding market volatility by decreasing exposure, and even  losing more money by being out of the market during periods of gains.   by  ",1,1,0,1,0,1,0.012417656,0.95772094,0.029861387,Neg,-0.94530326,valuewalk
149,2020-01-21 18:00:04,"2019 was a very strong year for equity markets, with the MSCI ACWI TR  Net index delivering its third best return of the last 20 years by     ",1,1,0,0,0,1,0.95310175,0.02120588,0.025692359,Pos,0.93189585,valuewalk
150,2020-01-20 16:20:05,"""The capital needs of legitimately innovative and world-changing companies are often being starved simply because they don’t have a glitzy CEO or are just not in a “sexy” space. This has real ramifications for human progress""   by  $UBER $FB $AMZN",1,1,0,0,0,2,0.06998194,0.094103225,0.83591485,Neu,-0.024121284,valuewalk
152,2020-01-07 18:03:03,"Until the late 1990's P&G was of the mindset that, ‘if it’s not invented here, we’re not interested’. But, they found that philosophy was no longer the best way to serve their customers or their company. So, they went opposite!   by ",1,1,0,0,1,4,0.040999558,0.09486981,0.8641307,Neu,-0.05387025,valuewalk
153,2020-01-06 18:22:00,"Central bankers helped financial markets to deliver amazing returns in 2019 & ""the higher the beta to equity, the better the yearly performance”, but what comes next? By    $GLD $SPY $DJI $TLT",1,1,0,1,1,4,0.6316906,0.042775113,0.32553425,Pos,0.5889155,valuewalk
154,2020-01-02 15:17:02,"But what happens to the stock market if Warren, or Sanders, or Trump, or [insert name here] Wins?   $SPY $SPX $DJI by  cc    ",0,1,0,0,0,1,0.021479804,0.054872062,0.9236481,Neu,-0.033392258,valuewalk
155,2019-12-31 17:56:05,  Here is the full transcript of the talk - he discusses dow forecasts many times  ,0,1,0,0,0,1,0.03074248,0.023406617,0.9458509,Neu,0.007335862,valuewalk
157,2019-12-19 17:13:05,"While “cloud titans” like Google, Amazon, Apple & FB have led the early 21st century wave of the “cloud” & are US companies, the next wave of the cloud, doesn’t appear to be taking root in the US., at least not from a standpoint of leadership  ",1,1,0,0,0,2,0.048021615,0.020099467,0.9318789,Neu,0.027922148,valuewalk
158,2019-12-05 17:24:00,Why is Warren Buffett Sitting of $128 Billion in Cash?   $BRKA $BRK $BRKB $SPY   ,0,1,0,0,4,3,0.05197558,0.058876943,0.8891474,Neu,-0.006901361,valuewalk
159,2019-12-03 20:57:04,"""Nine in ten people use Google for searches, two in three have purchased something from Amazon, and seven in ten have a Facebook account""    $GOOG $AMZN $FB $NFLX $MSFT $GOOGL $AAPL  ",1,1,0,0,4,2,0.047372587,0.022696577,0.92993087,Neu,0.02467601,valuewalk
160,2019-11-29 11:06:00,"Hedge Fund Side Letters With Seward & Kissel's Kevin Neubauer : Apple Inc. (NASDAQ:AAPL), a company known for its expectation defying growth in the last decade, may have reached a ... - HedgeFundSideLetters KevinNeubauer SewardKissel ValueTalks -    ",1,1,1,0,1,1,0.51671803,0.022581983,0.4607,Pos,0.49413604,valuewalk
163,2019-11-22 16:32:00,Alluvial’s David Waters: Identifying Companies With Dirt Cheap Valuations   PREMIUM AlluvialCapital DavidWaters ValueTalks $SPY $MACRO SS $$  ,0,1,0,0,1,0,0.16010843,0.016511552,0.82338,Neu,0.14359689,valuewalk
165,2019-11-22 02:16:00,Moore Capital Returns Capital Amid “Disappointing Results”   PREMIUM capital disappointing Moore results $SPY $MACRO SS $$  ,0,1,0,1,1,0,0.03850385,0.9392501,0.022245966,Neg,-0.9007463,valuewalk
166,2019-11-22 02:16:00,Grant’s Conference: Uber Survives On “Massive Predatory Subsidies”   PREMIUM GrantsInterestRateObserver HubertHoran $SPY $MACRO SS $$  ,1,1,0,0,1,1,0.22112395,0.073870055,0.70500594,Neu,0.1472539,valuewalk
167,2019-11-22 02:16:00,This software-focused fund had a strong second quarter thanks to its bullish outlook and is looking to hire   PREMIUM CotaGrowthOffshoreFund $SPY $MACRO SS $$  ,1,1,0,0,1,0,0.932966,0.0120747425,0.054959245,Pos,0.9208912,valuewalk
171,2019-11-21 02:17:00,This Hedge Fund Is Buying Tobacco As It Believes Vaping Scare Is “Overdone”   PREMIUM hedgefunds TyroPartners valueinvesting $SPY $MACRO SS $$  ,0,1,0,0,1,1,0.15618792,0.11751544,0.7262966,Neu,0.038672484,valuewalk
172,2019-11-21 00:15:03,"U.S. Government Acted Like “Thugs” In Fannie Mae, Freddie Mac   PREMIUM fanniemae freddiemac GSEs $SPY $MACRO SS $$  ",0,1,0,0,2,0,0.036101084,0.2613622,0.7025367,Neu,-0.2252611,valuewalk
173,2019-11-20 16:01:00,This deep value fund outperformed on a “once-in-a-lifetime” opportunity; now has 50% of its AUM in ONE stock   PREMIUM hedgefunds $SPY $MACRO SS $$  ,1,1,0,0,1,1,0.5401661,0.015153038,0.44468087,Pos,0.525013,valuewalk
174,2019-11-19 23:19:00,Dan Rasmussen At Grant’s Conference: Private Equity Has A Leverage Problem   PREMIUM DanRasmussen hedgefunds PrivateEquity $SPY $MACRO SS $$  ,1,1,0,0,1,0,0.024061624,0.92211074,0.053827614,Neg,-0.8980491,valuewalk
176,2019-11-18 22:25:03,Dorsey Asset Management Up 30.9% YTD: Looks For Value In Latin America   PREMIUM dorseyassetmanagement $SPY $MACRO SS $$  ,0,1,0,0,2,1,0.9114971,0.013775223,0.07472768,Pos,0.8977219,valuewalk
180,2019-11-17 03:04:00,Anthony Bozza’s Lakewood Capital has three new short ideas [In-Depth]   PREMIUM hedgefunds lakewoodcapital $SPY $MACRO SS $$  ,1,1,0,0,1,0,0.07990661,0.01293994,0.90715337,Neu,0.066966675,valuewalk
182,2019-11-16 00:16:00,Einhorn’s Greenlight Masters fund of funds struggled in Q3   PREMIUM greenlight hedgefunds $SPY $MACRO SS $$  ,1,1,0,0,1,0,0.014628574,0.96663207,0.01873946,Neg,-0.9520035,valuewalk
184,2019-11-15 22:14:00,Bonhoeffer’s Keith Smith: Value investing is a challenge   PREMIUM BonhoefferCapitalManagement KeithSmith $SPY $MACRO SS $$  ,0,1,0,0,1,1,0.104071304,0.021592528,0.8743361,Neu,0.08247878,valuewalk
186,2019-11-15 18:09:00,London Sohn 2019: Two Shipping Stocks To Play Next Year’s Market “Chaos”   PREMIUM LondonSohn LondonSohn2019 $SPY $MACRO SS $$  ,0,1,0,0,2,0,0.19051456,0.024227533,0.78525794,Neu,0.16628703,valuewalk
189,2019-11-15 01:34:03,London Sohn 2019: Lucerne Capital Predicts 200% Profit With This Media Stock   PREMIUM LondonSohn2019 $SPY $MACRO SS $$  ,0,1,0,0,1,0,0.73596066,0.017965075,0.24607427,Pos,0.7179956,valuewalk
193,2019-11-14 15:15:00,Learning From Your Worst Investment Mistakes   PREMIUM AndrewStotz ValuationMasterClass $SPY $MACRO SS $$  ,0,1,0,0,1,0,0.09812935,0.02263877,0.87923187,Neu,0.07549058,valuewalk
195,2019-11-13 14:25:00,This hedge fund is struggling with costly shorts in 2019   PREMIUM RBICapitalPartners $SPY $MACRO SS $$  ,0,1,0,0,1,1,0.020646526,0.9511301,0.028223317,Neg,-0.9304836,valuewalk
