,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-06-30 14:31:02,"The ""Big 5"" - $AAPL, $MSFT, $AMZN, $GOOGL, $FB - are at new price highs, but collectively their weight in the S&P is making a lower-high... modest, but worth noting.   ",0,1,0,7,22,103,0.8202729,0.0794098,0.10031722,Pos,0.74086314,verrone_chris
1,2021-06-15 14:26:04,Momentum surges can be an early tell of trend changes... Energy's outperformance since bottoming vs. the S&P late last year is as good as anything we've seen in more than a decade (by a mile).  $XLE $XOP $SPY   ,1,1,1,8,22,107,0.6818047,0.033655394,0.28453994,Pos,0.6481493,verrone_chris
2,2021-06-01 19:35:00,"Open to being wrong and will change if so, but I'd favor the $80-90 outcome with the available facts - particularly if $120 fails.  $AAPL",0,1,1,10,10,59,0.10926184,0.033518482,0.8572197,Neu,0.07574336,verrone_chris
3,2021-06-01 18:20:04,"Yields peaked on 3/31 … is this the leadership you would have had in mind?   Banks dominant, while no relative advantage from Utilities.  Equal-Weight SPX (the average stock) &gt; Nasdaq 100 (the big Growth stock).   $qqq $kbe  ",1,1,1,4,13,59,0.26091716,0.009075643,0.73000723,Neu,0.25184152,verrone_chris
4,2021-05-10 00:42:02,Weakening charts + bullish magazine covers can be an actionable signal... $AMZN  ,0,1,1,7,3,33,0.6534752,0.21771075,0.12881398,Pos,0.4357645,verrone_chris
5,2021-04-01 16:15:02,Now back-test it vs. forward S&P returns... might not be the results you expect.,0,1,1,1,3,14,0.032138016,0.84302855,0.12483343,Neg,-0.81089056,verrone_chris
6,2020-11-09 12:46:01,Expectations for Growth vs. Value remarkably high... can the price action live up to the well known narrative? 600bps spread between $DOW futures and $Nasdaq futures this morning is noted...,1,1,1,2,3,11,0.3699,0.028183645,0.60191643,Neu,0.34171635,verrone_chris
7,2020-10-28 17:29:01,"For big down, yields resilient … worth noting.  Copper &gt; Gold as well.  Flushing weak hands, or rerating economic growth? Looks more like the former.   $SPX",0,1,0,5,7,44,0.106429175,0.048755646,0.84481514,Neu,0.05767353,verrone_chris
10,2020-10-25 18:57:03,Historically bullish. It’s actually contracting margin debt that - empirically - should be the worry (not the case today). $spx $spy ,1,1,1,2,0,21,0.112279825,0.098527685,0.7891925,Neu,0.01375214,verrone_chris
11,2020-06-12 18:51:00,"Great chart from my partner,   - case count may be up, but hospitalizations continue ""break down.""  Equity correction never fun, but suspect macro backdrop has to get worse (HY spreads, EURJPY, Copper/Gold) if this is to prove more serious. $SPX,   ",0,1,1,2,15,41,0.038427945,0.933305,0.028267017,Neg,-0.8948771,verrone_chris
12,2020-06-09 13:20:04,"The bottom-up analysts always get left in the dust coming off a low.  &gt;60% of stocks now trading ABOVE their average analyst price target... check the 2003 and 2009 lows for comps.  $SPX,  stocks  ",1,1,0,6,35,118,0.029513016,0.89137405,0.07911296,Neg,-0.86186105,verrone_chris
13,2020-06-04 21:41:01,"The most important chart in our work... the ""average stock"" is making a stand.  Notable change, historically with bullish implications.  $SPX  stocks  ",0,1,0,1,23,72,0.38905528,0.015225619,0.5957191,Neu,0.37382966,verrone_chris
14,2020-05-26 14:28:04,From this weekend's  ... contrarian?  Market seems to think so... $SPX  ,0,1,0,1,10,37,0.37012404,0.048901875,0.5809741,Neu,0.32122216,verrone_chris
