,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
8,2021-08-01 16:44:00,"FED'S KASHKARI SAYS WHILE BASELINE INFLATION IS HIGHER THAN HE THOUGHT, HE STILL THINKS IT'S ""TEMPORARY""  ... fast fwd to 2050: the S&P500 just hit 3 trillion, one loaf of bread costs 20 wheelbarrows of now illegal paperbux, but Kashkaribot 3000 says hyperinflation is transitory",1,1,0,64,124,968,0.04030625,0.7898565,0.16983725,Neg,-0.7495502,zerohedge
9,2021-07-31 20:32:00,Goldman: we just finished the busiest earnings week in the history of the SPX (51% of the index reported) and solid prints continue to be unrewarded.,1,1,0,22,41,278,0.53300834,0.4191322,0.047859527,Pos,0.113876134,zerohedge
13,2021-07-29 22:52:03,"AMZN CFO: second quarter performance was mostly influenced by people getting vaccinated and returning to older habits, like traveling and getting out of the house, which reduces the time they spend shopping online: BBG",1,1,0,38,43,266,0.11003219,0.6785455,0.21142234,Neg,-0.5685133,zerohedge
14,2021-07-29 21:53:01,If you sold AMZN puts expiring tomorrow  ,0,1,0,29,41,478,0.020345693,0.04597708,0.9336772,Neu,-0.025631385,zerohedge
15,2021-07-29 21:39:04,AMZN CFO says relatively slower growth versus last year’s numbers will continue “for the next few quarters.”,1,1,1,25,66,282,0.100069866,0.8572643,0.042665843,Neg,-0.7571944,zerohedge
20,2021-07-29 21:11:03,"For Q3, Amazon projects slowest revenue growth in the past decade  ",0,1,0,33,58,191,0.009729118,0.9715077,0.01876322,Neg,-0.9617786,zerohedge
21,2021-07-29 21:08:01,"Amazon Crashes After Missing Revenues, Guiding Far Below Consensus  ",0,1,0,29,69,231,0.009893893,0.96592283,0.024183251,Neg,-0.95602894,zerohedge
24,2021-07-29 14:21:01,"Apple (AAPL) announces four-part debt issuance of paper due 2028, 2031, 2051, and 2061  Buyback season is officially open",0,1,0,28,41,398,0.04414478,0.01776877,0.93808645,Neu,0.026376009,zerohedge
26,2021-07-28 21:29:03,"3.51 billion people use Facebook, Instagram, Messenger or WhatsApp every month.  ",0,1,0,31,49,194,0.023529638,0.048106138,0.9283642,Neu,-0.0245765,zerohedge
29,2021-07-28 21:09:04,"Facebook: ""In the third and fourth quarters of 2021, we expect year-over-year total revenue growth rates to decelerate significantly""",0,1,0,17,31,154,0.29318678,0.6737843,0.033028957,Neg,-0.38059753,zerohedge
35,2021-07-27 22:27:01,"AAPL CFO: ""Services revenue growth will slow, supply constraints will be greater - impacting iPhone and iPad - and there will be FX headwinds""",0,1,1,6,14,93,0.009056929,0.96295285,0.027990244,Neg,-0.9538959,zerohedge
36,2021-07-27 22:25:02,Apple expects very strong double-digit revenue growth year over year but not as strong as the June quarter: BBG  AAPL stock sliding on this,0,1,0,15,23,171,0.56108946,0.37227058,0.06663997,Pos,0.18881887,zerohedge
38,2021-07-27 22:02:03,AAPL product revenues. Stimmies end this quarter  ,0,1,0,12,13,100,0.025582949,0.49043992,0.48397708,Neg,-0.46485698,zerohedge
47,2021-07-27 13:03:00,"Tesla Q2 Call Wrap Up: Musk Jabs At Apple, Questions Full Self Driving, Says He Won't Be On Future Calls  ",0,1,0,13,17,88,0.045667466,0.109849796,0.8444827,Neu,-0.064182326,zerohedge
