,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2020-04-05 14:20:04,Amazon Workers Plan to Strike Over COVID-19 Outbreak at Plant  ,0,0,0,0,0,0,0.011774084,0.9461821,0.042043865,Neg,-0.934408,activiststocks
1,2020-02-21 01:34:04,Buffett's Berkshire Hathaway buys Kroger stock for first time  ,0,1,0,0,0,0,0.07724977,0.014129534,0.9086207,Neu,0.06312024,activiststocks
2,2019-11-06 14:35:05,$128 billion and growing: Warren Buffett's Berkshire Hathaway cash puzzle  ,0,1,0,0,0,0,0.064580955,0.013933777,0.92148525,Neu,0.050647177,activiststocks
3,2019-03-12 14:19:02,"Zero Hedge, the bearish, anti-establishment financial site, says Facebook banned its content - Business Insider  ",1,1,0,0,0,1,0.012997699,0.87696624,0.11003613,Neg,-0.86396855,activiststocks
4,2019-03-01 20:12:01,Grocery store stocks take a beating on report that Amazon will launch its own chain of supermarkets - CNBC  ,0,1,1,0,0,0,0.06081859,0.7952257,0.14395571,Neg,-0.73440707,activiststocks
5,2019-02-26 12:39:03,"Warren Buffett says if you invested $10,000 in the S&P 500 in 1942, you’d have $51 million today - CNBC  ",1,1,0,0,0,0,0.056589514,0.015825685,0.9275848,Neu,0.04076383,activiststocks
6,2019-02-21 16:45:01,"WSJ: Joint Apple and Goldman Sachs credit card launching later this year, enables special features with Wallet app - 9to5Mac  ",0,1,0,0,0,0,0.62250966,0.008233326,0.36925697,Pos,0.61427635,activiststocks
7,2019-02-19 17:37:03,How Amazon Will Grow Without a New York HQ2 - Wall Street Journal  ,0,0,0,0,0,0,0.055220287,0.027240872,0.9175388,Neu,0.027979415,activiststocks
8,2019-02-12 01:15:01,Amazon is buying mesh router company Eero - The Verge  ,0,1,0,0,0,0,0.102252856,0.008989273,0.8887579,Neu,0.09326358,activiststocks
9,2019-02-05 16:11:02,Early Facebook investor blasts company in new book ’Zucked’ - CNN  ,0,0,0,0,0,0,0.1033437,0.033176046,0.86348027,Neu,0.07016766,activiststocks
13,2019-01-23 12:15:01,"Facebook is the most ’vulnerable’ big tech firm facing disruption, top VC says - CNBC  ",0,1,0,0,0,0,0.021664051,0.9011739,0.07716199,Neg,-0.87950987,activiststocks
14,2019-01-23 00:40:04,"Elliott thinks Walmart, Google and private equity could be interested in buying eBay’s core marketplace business for about $15 billion, source says - CNBC  ",0,1,1,0,1,2,0.09398973,0.011003511,0.8950067,Neu,0.08298622,activiststocks
15,2019-01-22 02:48:00,An Amazon Checking Account Could Displace $100 Billion In Bank Deposits (But It Won’t) - Forbes  ,0,0,0,0,0,0,0.063585535,0.06563962,0.87077487,Neu,-0.0020540878,activiststocks
16,2019-01-22 00:27:03,Amazon Knows What You Buy. And It’s Building a Big Ad Business From It. - New York Times  ,1,1,0,0,0,0,0.14007261,0.011386085,0.8485413,Neu,0.12868653,activiststocks
