,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2020-10-28 21:37:01,Only 5% of the S&P 500 is now above its 10 day moving average. ,0,1,0,0,0,1,0.13192485,0.6573902,0.2106849,Neg,-0.5254653,bergencapital
1,2020-10-28 20:49:05,Despite today’s move the RSI on the S&P 500 not yet “oversold”    Many calling for a 3200 test. Advanced/decline line not constructive   Watch 1-month lows currently at 47% - 50% has been a typical contrarian signal.,1,1,0,0,0,1,0.01507402,0.94638264,0.038543317,Neg,-0.9313086,bergencapital
2,2020-10-20 00:38:00,Looks like Morgan Stanley sees a “red wave” as best outcome for the S&P 500.  ,0,1,0,0,0,3,0.60175073,0.0649344,0.33331484,Pos,0.53681636,bergencapital
3,2020-10-11 02:05:00,So that means S&P 500 going down. Since BTC=SPX,0,1,0,0,0,0,0.008961803,0.9416244,0.04941373,Neg,-0.9326626,bergencapital
4,2020-10-05 03:14:00,That would be yuge for the DOW!,1,0,1,1,0,0,0.10911477,0.07703908,0.8138462,Neu,0.032075696,bergencapital
5,2020-10-04 21:31:02,Hearing Kostin at GS thinks a “gridlock” outcome of election supports 3700 spx while a blue wave is more ~3400 by year end.,0,1,0,0,0,0,0.2877778,0.020426897,0.6917953,Neu,0.2673509,bergencapital
6,2020-04-16 01:10:00,They’ll approve additional funding when the S&P 500 hits 2300,0,1,0,0,0,3,0.23484886,0.011574756,0.75357646,Neu,0.2232741,bergencapital
7,2020-01-31 16:29:03,"MAGA Microsoft, Apple, Google, Amazon.  ",0,0,0,0,0,0,0.028143018,0.017141944,0.9547151,Neu,0.011001075,bergencapital
8,2019-02-23 01:45:02,Fed will cap treasury yields and target annual returns for the S&P 500.,0,0,1,0,1,2,0.091304824,0.4096883,0.49900687,Neu,-0.31838346,bergencapital
9,2018-12-17 09:15:02,"Hearing Morgan Stanley’s Mike Wilson saying, last week's lows at 2583 in the S&P 500 should hold. If it doesn’t, look for a fall to 2450.",0,1,1,1,1,5,0.0094771935,0.9510408,0.03948198,Neg,-0.9415636,bergencapital
10,2018-07-25 22:53:01,In a rush to rendezvous with   $FB thefacebook,0,0,0,0,0,1,0.13725075,0.23887831,0.6238709,Neu,-0.10162756,bergencapital
