,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-05 13:01:05,does anyone actually expect this to not resolve higher? $ES_F $SPY  ,0,1,0,3,0,8,0.07485014,0.07811839,0.8470314,Neu,-0.0032682493,bostonchaahhts
1,2021-07-28 12:12:03,"  the big boys carrying the load for S&P and Nasdaq 100, everything else pretty weak?  ",0,1,0,1,0,0,0.015642403,0.9020311,0.0823265,Neg,-0.8863887,bostonchaahhts
2,2021-07-19 19:03:00,$SPX monthly looks so bullish and not so bullish at the same time. are we prepared for a prolonged period of minimal gains?  ,1,1,0,2,3,14,0.27338913,0.13714014,0.5894707,Neu,0.13624899,bostonchaahhts
3,2021-07-19 14:14:04,$ES_F coming into an important area here but still plenty of room to mean revert if she wants to $SPY  ,0,1,0,0,0,9,0.14717881,0.020156909,0.83266425,Neu,0.12702191,bostonchaahhts
4,2021-07-06 16:58:04,"without $AMZN today, the market would really be in shambles",0,0,1,2,0,17,0.011665114,0.9300249,0.05830989,Neg,-0.9183598,bostonchaahhts
5,2021-06-17 12:50:05,$AMZN dead money for almost a year now. with big gains come big consolidations  ,0,1,0,0,5,13,0.23985161,0.08804116,0.6721072,Neu,0.15181045,bostonchaahhts
6,2021-06-17 12:49:01,"one of the concerns with the S&P 500 and Nasdaq 100 are the bearish RSI divergences on both the daily and weekly time frames...could end up meaning nothing, but something to watch",0,1,1,0,0,5,0.024870692,0.7217407,0.25338846,Neg,-0.69687,bostonchaahhts
7,2021-06-17 12:45:04,Here's $FB $AMZN $AAPL $MSFT $GOOGL  nothing really bearish sticks out to me  ,0,0,0,0,3,15,0.052885763,0.03636302,0.9107512,Neu,0.016522743,bostonchaahhts
8,2021-05-19 13:27:05,a quick example of how extended a lot of these growth/tech stocks were/are on their weekly charts   $TSLA $AAPL $TWLO $GOOGL  ,1,1,0,0,1,8,0.053101074,0.04450728,0.9023916,Neu,0.008593794,bostonchaahhts
9,2021-05-10 18:05:03,hmmm $QQQ $SPY $TNX  ,0,0,0,1,1,9,0.052624024,0.030189522,0.9171865,Neu,0.022434503,bostonchaahhts
10,2021-05-07 12:36:04,$AAPL looks tired  ,1,1,0,0,2,7,0.11940395,0.026502382,0.8540937,Neu,0.09290157,bostonchaahhts
11,2021-05-06 15:18:00,$AMZN over the last decade  ,0,0,0,3,1,18,0.11407136,0.025405046,0.86052364,Neu,0.08866632,bostonchaahhts
12,2021-05-05 20:13:04," it's the relative performance of QQQ compared to SPY; up = QQQ is outperforming SPY, down = SPY is out performing QQQ",1,1,0,1,0,4,0.15194318,0.7536654,0.09439148,Neg,-0.60172224,bostonchaahhts
13,2021-05-05 20:02:02,$QQQ vs $SPY  this mean reversion makes sense IMO - still plenty more to go if it wants to  ,0,1,0,3,7,39,0.17176868,0.016988177,0.8112432,Neu,0.1547805,bostonchaahhts
