,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-19 15:01:04,"$ES_F Daily SP500.  Coincidence we break just as the 2 week opening range in July was completed? Below the 6M vol window, back to testing last month's high.  June low will be key to defend, failure to do so reverses breakout confirms failure.  ",1,1,1,0,3,7,0.4281802,0.4464147,0.12540513,Neg,-0.018234521,chicagostock
1,2021-07-13 21:33:00,$ES_F A look at the 3D pivots...  $spy $spx  ,0,0,0,1,1,5,0.0505202,0.017352413,0.9321274,Neu,0.033167787,chicagostock
2,2021-07-08 14:57:04,$AAPL so close to taking out its ATH yesterday.,0,1,0,0,1,1,0.74304724,0.0437695,0.21318325,Pos,0.69927776,chicagostock
4,2021-05-17 19:49:01,"Going into  store has become the biggest turn off. Went in to buy an iPhone, heavy security at front, check temperature, ghost town inside, sales person unmotivated and depressed.  Ended up ordering online from carrier.  Apple store = horrible experience.",1,1,0,2,1,7,0.0115109645,0.92382926,0.06465974,Neg,-0.9123183,chicagostock
5,2021-05-17 19:39:02,$PENN $30 $TSLA $160 $AAPL 75 🛒🛒🛒,0,0,0,5,3,12,0.08130505,0.015613426,0.90308154,Neu,0.06569162,chicagostock
6,2021-05-11 02:00:00,"$ES_F SP500 Failure to hold past May 3rd's 4202 high.  Failure to hold 4140 opens door to last week's 4120 low, which opens door to sell stops &lt; last 3 week low 4110.  ",0,1,0,0,2,6,0.016930137,0.95980453,0.023265291,Neg,-0.9428744,chicagostock
7,2021-05-04 02:34:04,"So many people throwing out random numbers, SP500 going to 4400, 4600, 4800... Seems carried away and blind sided. After closing out a big month in April, and up 90% since COVID bottom, how much more? A 2% correction (&lt;4110) gives reason to take profit and a vacation.",1,1,0,3,0,11,0.17703795,0.531076,0.29188606,Neg,-0.35403806,chicagostock
8,2021-04-01 15:11:00,$NQ_F Nasdaq pushing last month's 13328 high.  $ES_F SP500  4k  ,0,1,0,1,0,6,0.7439016,0.12318235,0.13291605,Pos,0.62071925,chicagostock
9,2021-03-15 17:20:01,"$ES_F Intraday V bottom SP500 with dip into 3D pivot range defended, trapping intraday shorts &lt; 28  ",1,1,0,1,2,5,0.12141997,0.37911004,0.49947008,Neu,-0.25769007,chicagostock
10,2021-02-25 21:34:05,$ES_F SP500 Market Update  ,0,0,0,0,1,3,0.03448985,0.041458286,0.9240518,Neu,-0.006968435,chicagostock
11,2021-02-18 21:53:05,$ES_F SP500 Market Update  ,0,0,0,0,2,9,0.03448985,0.041458286,0.9240518,Neu,-0.006968435,chicagostock
12,2021-02-09 18:29:00,$ES_F SP500 Since the vaccine news in November  ,0,0,0,1,0,5,0.10995243,0.09243066,0.7976169,Neu,0.017521769,chicagostock
15,2021-01-28 21:42:01,$ES_F SP500 Market Update  ,0,0,0,0,1,2,0.03448985,0.041458286,0.9240518,Neu,-0.006968435,chicagostock
16,2021-01-28 04:36:01,"$ES_F Bull trap in the SP500 and Bear trap in $GME.  Bears liquidate longs to cover their short losses, amplifying downside in stocks as trapped longs also forced to liquidate.",1,1,0,1,1,4,0.024283865,0.9516272,0.024088891,Neg,-0.9273433,chicagostock
17,2021-01-27 19:31:04,"$ES_F SP500 back at the lows after squeezing short sellers from 65-90 early afternoon.   ""It doesn't mean these investors that shorted the stock were necessarily wrong"" - Wapner  ",1,1,0,1,1,1,0.06328961,0.8482233,0.08848711,Neg,-0.7849337,chicagostock
18,2021-01-27 14:32:01,"$ES_F Yesterday was the 5th close above the 6 month vol window in the SP500, setting a bull bias.  See February 2020.  ",1,1,0,0,1,4,0.11244312,0.14055634,0.7470006,Neu,-0.028113216,chicagostock
19,2021-01-07 17:08:01,$ES_F Daily SP500  ,0,0,0,0,2,6,0.040730283,0.024600249,0.9346695,Neu,0.016130034,chicagostock
20,2020-12-15 02:10:05,$ES_F SP500 Trend update.  ,0,0,0,0,1,9,0.03410678,0.049178805,0.91671443,Neu,-0.015072025,chicagostock
21,2020-12-01 15:41:04,$ES_F Daily SP500  testing top of trading channel again after making new ATHs today.  ,0,1,0,3,1,9,0.81339115,0.042408638,0.14420016,Pos,0.7709825,chicagostock
22,2020-11-20 21:38:00,$ES_F SP500 Market Update  ,0,0,0,0,1,10,0.03448985,0.041458286,0.9240518,Neu,-0.006968435,chicagostock
24,2020-11-06 14:43:00,$ES_F SP500 Daily.  ,0,0,0,0,0,3,0.045795694,0.031019172,0.92318505,Neu,0.014776522,chicagostock
25,2020-11-06 00:43:01,$ES_F SP500 getting another shot at filling its 3579 gap from September 2nd.  ,0,1,0,0,4,15,0.94159037,0.020656958,0.037752725,Pos,0.9209334,chicagostock
