,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-06 13:16:05,"In today's DealBook newsletter: How to read the latest jobs report, Biden paves the way for electric cars, Apple balances safety with surveillance  and the crypto lobby's growing clout.  ",0,1,0,0,1,0,0.3172316,0.010550252,0.6722182,Neu,0.30668133,dealbook
1,2021-08-05 23:00:00,The S&P 500 rose 0.3 percent in early trading after falling slightly on Wednesday. The Nasdaq composite was up 0.3 percent.  ,1,1,0,0,0,1,0.8872245,0.056977984,0.05579763,Pos,0.8302465,dealbook
2,2021-08-05 08:18:00,"As Amazon has ramped up its hiring over the pandemic, it is also facing a widening campaign to rein in the power it wields over its employees and their workplace conditions,  writes.  ",1,1,0,0,1,3,0.23654167,0.68119115,0.082267225,Neg,-0.44464946,dealbook
3,2021-08-04 15:22:01,"The fight to unionize an Amazon warehouse in Alabama continues, and new tactics by the Teamsters and other groups aim to pressure the company across the country.  ",0,1,0,0,0,1,0.013952538,0.9545707,0.031476673,Neg,-0.94061816,dealbook
5,2021-08-03 01:13:02,The recommendation now goes to the acting regional director of the labor board. Amazon quickly said it would take steps to ensure that the original election result prevailed.  ,1,1,1,0,1,1,0.23367965,0.02080895,0.74551135,Neu,0.2128707,dealbook
6,2021-08-02 23:37:00,"Large employers like Google and Walmart are introducing stricter requirements for employees returning to the workplace. But the policies come with some important caveats as executives juggle public health, labor relations and the bottom line.  ",0,1,0,0,0,0,0.16171075,0.11977266,0.7185166,Neu,0.041938096,dealbook
7,2021-07-30 21:33:02,"Instead of uplifting a community of nearly 30,000, over a third of whom are Black, a new Amazon warehouse has sent the town up in arms as workers building the warehouse found ropes that looked like nooses at the construction site.  ",1,1,0,0,1,3,0.045017492,0.7874152,0.16756728,Neg,-0.7423977,dealbook
8,2021-07-29 23:00:00,Turkey's crackdown on Google’s shopping service reflects the growing global animosity toward Silicon Valley giants who have taken advantage of an open global internet and light-touch government regulation over the past two decades.  ,1,1,0,0,1,0,0.012846417,0.94452024,0.042633433,Neg,-0.9316738,dealbook
9,2021-07-27 20:16:01,"“Facebook, Google and Amazon’s crumbs are Vox, Group Nine and Buzzfeed’s cake,” said Brian Wieser, the lead analyst at GroupM, the media investing arm of the ad company WPP.  ",1,1,0,1,0,1,0.06777276,0.029411728,0.9028155,Neu,0.038361035,dealbook
11,2021-07-24 03:11:01,Amazon’s pandemic triumph was echoed all over the world of technology companies.  ,1,1,0,0,0,1,0.1663172,0.04361007,0.7900728,Neu,0.12270713,dealbook
