,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-05 18:42:02, Tons on the insta and facebook,0,0,0,0,0,1,0.06616586,0.023798853,0.9100353,Neu,0.042367004,harmongreg
1,2021-08-04 00:09:00,looks like I sold toc close $MSFT Aug 265/275 call spreads near teh close,0,1,0,0,1,3,0.28302827,0.026706815,0.69026494,Neu,0.25632146,harmongreg
2,2021-07-31 19:26:05," this is why $AMZN was down 7.6% yesterday.  Get back home and buy them on line, lol",1,1,0,0,0,0,0.014133502,0.9168529,0.06901365,Neg,-0.9027194,harmongreg
3,2021-07-31 13:00:05,Dragonfly Capital - What to expect from the stock market this week.   $SPY $IWM $QQQ $GLD $TLT and more,0,0,0,0,0,2,0.047879066,0.019584393,0.93253654,Neu,0.028294673,harmongreg
4,2021-07-30 22:38:02,"$SPY monthly: this is the best looking timeframe for SPY, moving higher since the negative momentum divergence reset during the pandemic drop, now momentum surging higher with price as Bollinger Bands® open higher.  Strong like bull  ",0,1,0,1,1,7,0.9291005,0.014195038,0.05670443,Pos,0.9149055,harmongreg
5,2021-07-30 14:49:05,rolled short $AMZN aug 3800 calls down to 3700,1,1,0,0,0,4,0.030752629,0.4827801,0.4864673,Neu,-0.45202747,harmongreg
6,2021-07-30 14:20:00,"$AMZN ""Trade Idea 4: Sell the July 30 Expiry 3450/3750 Strangle for a $25 credit."" calls expire, need to roll puts down and out.  Might also sell lower strike calls to reinstitute a longer strangle",0,1,0,0,0,0,0.053213697,0.059036803,0.8877495,Neu,-0.0058231056,harmongreg
7,2021-07-30 14:19:01,"$AMZN ""Trade Idea 2: Buy the July 30 Expiry 3620/3650 Call Spread ($12) and sell the July 30 Expiry 3500 Put for $1.50 credit."" need to roll short puts down and out.",0,0,0,1,0,0,0.043658137,0.059210643,0.89713115,Neu,-0.015552506,harmongreg
8,2021-07-29 16:13:01,"Premium Earnings 7-29-21: Amazon and Caterpillar, on the blog and here  ",0,0,0,0,0,0,0.031119715,0.022095948,0.9467844,Neu,0.009023767,harmongreg
11,2021-07-29 14:23:04,"$FB ""Trade Idea 4: Sell the July 30 Expiry 347.50/405 Strangle for a $2.00 credit."" looks to expire, let IV fall then can buy to close or watch",0,1,1,2,0,2,0.062731266,0.016206253,0.92106247,Neu,0.046525013,harmongreg
