,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-01 16:30:05,"IBD's Top 10 Stocks: $DOCU, $AMD, $GOOGL, $CMG, $CPRT, $ALGN, $WST, $FB, $LULU, $NVDA  (3 are FAANNG stocks)  ",0,1,0,7,29,140,0.021820635,0.029418966,0.9487604,Neu,-0.007598331,johnscharts
1,2021-07-31 10:06:02,$AAPL call flow via   ,0,0,0,2,1,6,0.056582633,0.014818232,0.9285991,Neu,0.0417644,johnscharts
3,2021-07-30 21:47:04,$AMZN close below 100 MA on expanding volume,0,1,0,2,0,6,0.52452284,0.3865996,0.08887756,Pos,0.13792324,johnscharts
4,2021-07-30 21:42:00,$AMZN weekly bearish engulfing on volume. 40 MA in path,0,1,0,0,1,18,0.03751139,0.86084044,0.10164812,Neg,-0.82332903,johnscharts
5,2021-07-30 21:32:05,$FB monthly update  ,0,0,0,0,0,0,0.030742245,0.05218159,0.91707623,Neu,-0.021439346,johnscharts
6,2021-07-30 19:49:00,$SPY testing 8 EMA and $QQQ testing 20 MA. Reviewed both of these levels during morning Zoom call,0,1,0,1,0,2,0.037227277,0.02839516,0.93437755,Neu,0.008832118,johnscharts
7,2021-07-30 14:41:00,$AMZN gap down breached 50/100 MA,1,1,0,0,2,0,0.023346556,0.949144,0.027509412,Neg,-0.92579746,johnscharts
8,2021-07-30 13:57:05,$QQQ top holdings $TSLA $GOOGL holding up the best pre market,0,1,0,1,0,15,0.52125406,0.019399304,0.45934668,Pos,0.5018548,johnscharts
9,2021-07-30 12:26:02,$AMZN monthly  ,0,0,0,4,3,25,0.031955272,0.053910214,0.91413444,Neu,-0.021954942,johnscharts
10,2021-07-30 11:01:02,$AMZN pre market  ,0,0,0,7,1,17,0.03105551,0.04681999,0.9221245,Neu,-0.015764479,johnscharts
11,2021-07-29 20:19:00,$FB internal bullish divergence,0,0,0,5,0,9,0.72752804,0.08609941,0.1863725,Pos,0.64142865,johnscharts
12,2021-07-29 20:07:04,$AMZN breaching 20 MA,0,1,0,1,0,7,0.05881516,0.80459934,0.1365855,Neg,-0.74578416,johnscharts
13,2021-07-28 22:24:04,$FB AH on earnings  ,0,0,0,1,1,11,0.10595399,0.03992188,0.8541242,Neu,0.06603211,johnscharts
15,2021-07-28 18:12:02,$GOOGL,0,0,0,1,0,4,0.061893757,0.062950954,0.8751553,Neu,-0.0010571964,johnscharts
16,2021-07-28 15:59:03,       Congrats on $AMD and good luck on $AAPL,0,0,0,1,0,2,0.7981574,0.01436838,0.18747424,Pos,0.78378904,johnscharts
17,2021-07-28 15:52:05,$AAPL position with tight leash,0,0,0,3,0,11,0.28018963,0.23149079,0.4883196,Neu,0.048698843,johnscharts
18,2021-07-28 15:35:00,"$AAPL, $AMZN, $MSFT calls flowing",0,1,0,0,3,23,0.025770582,0.026220534,0.94800884,Neu,-0.00044995174,johnscharts
19,2021-07-28 15:32:03,$MSFT tempting,0,1,0,1,0,5,0.03632806,0.025608268,0.9380637,Neu,0.010719791,johnscharts
20,2021-07-28 15:30:02,$SPY internals update  ,0,1,0,0,0,2,0.028946165,0.03939076,0.9316631,Neu,-0.010444596,johnscharts
21,2021-07-28 15:04:05,$GOOGL Aug 6 multiple strikes with call flow,0,0,0,0,1,4,0.048501574,0.29374054,0.65775794,Neu,-0.24523896,johnscharts
22,2021-07-28 14:33:02,$AAPL breaching 20 MA,0,1,0,0,0,3,0.089400135,0.537752,0.37284788,Neg,-0.44835183,johnscharts
23,2021-07-27 21:49:04,$AAPL AH on earnings  ,0,0,0,5,2,14,0.20817836,0.052625727,0.7391959,Neu,0.15555263,johnscharts
24,2021-07-27 21:15:03,$GOOGL AH on earnings  ,0,0,0,0,1,9,0.1277638,0.11677189,0.7554643,Neu,0.010991901,johnscharts
25,2021-07-27 21:08:03,$MSFT AH on earnings  ,0,0,0,3,1,10,0.076306455,0.034269337,0.8894242,Neu,0.04203712,johnscharts
26,2021-07-27 20:16:00,$SPY internals update  ,0,1,0,2,1,2,0.028946165,0.03939076,0.9316631,Neu,-0.010444596,johnscharts
27,2021-07-27 19:59:05,$MSFT option flow  ,0,0,0,0,0,10,0.05577733,0.015664106,0.9285585,Neu,0.040113226,johnscharts
28,2021-07-27 19:59:03,$GOOGL option flow today is bearish,0,1,0,1,0,5,0.20368885,0.16272815,0.63358307,Neu,0.0409607,johnscharts
29,2021-07-27 19:24:01,$SPY internals update  ,0,1,0,0,0,7,0.028946165,0.03939076,0.9316631,Neu,-0.010444596,johnscharts
30,2021-07-27 19:16:04,All currently forming bearish engulfings ($MSFT is not text book) Anything can happen on earnings,0,1,1,0,1,5,0.019857148,0.5807072,0.39943567,Neg,-0.56085,johnscharts
31,2021-07-27 19:13:02,$AAPL $AMD $MSFT $GOOGL Earnings after close  ,0,0,0,4,9,50,0.12113447,0.07056569,0.8082999,Neu,0.050568774,johnscharts
32,2021-07-27 18:57:05,$SPY current largest volume strike of calls or puts is 440 call strike,0,1,0,2,0,26,0.028282125,0.06901554,0.90270233,Neu,-0.040733416,johnscharts
33,2021-07-27 18:54:02,$SPY internals at daily 8 EMA  ,0,0,0,1,0,4,0.07165986,0.042762294,0.88557786,Neu,0.028897569,johnscharts
34,2021-07-27 16:24:01,"$SPY down -.73, but not on volume",0,0,0,4,1,9,0.021107119,0.9466183,0.032274604,Neg,-0.9255112,johnscharts
36,2021-07-27 10:14:02,$GOOGL update  ,0,0,0,0,1,6,0.026060155,0.056387424,0.9175524,Neu,-0.03032727,johnscharts
37,2021-07-26 15:56:01,$AAPL internals cute pennant,0,1,0,0,1,6,0.18898615,0.022996997,0.78801686,Neu,0.16598916,johnscharts
38,2021-07-26 15:05:05,    Congrats Ed on $FB!,0,0,0,0,0,0,0.3815748,0.03393017,0.584495,Neu,0.34764463,johnscharts
39,2021-07-26 15:01:05,$FB internals cute flag,0,1,0,1,0,2,0.09981741,0.03514868,0.865034,Neu,0.06466873,johnscharts
40,2021-07-26 14:47:04,$FB tempting,0,1,0,2,0,1,0.055024195,0.027653527,0.91732234,Neu,0.027370669,johnscharts
41,2021-07-26 14:46:00,$AAPL moving on price action out of the gate,0,1,0,0,1,23,0.068834975,0.11363773,0.81752723,Neu,-0.044802755,johnscharts
42,2021-07-24 13:25:03,$GOOGL update  ,0,0,0,1,0,8,0.026060155,0.056387424,0.9175524,Neu,-0.03032727,johnscharts
43,2021-07-24 12:40:05,$MSFT monthly update  ,0,0,0,0,1,9,0.020971911,0.05636289,0.9226652,Neu,-0.03539098,johnscharts
44,2021-07-24 12:39:00,$FB Monthly. Love watching charts evolve!  ,0,1,0,0,0,9,0.065183684,0.022220163,0.9125962,Neu,0.04296352,johnscharts
45,2021-07-24 12:26:01,$AAPL $TSLA $AMZN $AMD $MSFT $FB Earnings this week  ,0,0,0,1,3,23,0.34812498,0.05542486,0.5964502,Neu,0.2927001,johnscharts
46,2021-07-23 18:02:04,$GOOGL update up 115%,0,0,0,1,0,7,0.73742104,0.067178205,0.19540085,Pos,0.67024285,johnscharts
47,2021-07-23 17:45:02,$GOOGL update from watchlist. NP Up 100%.  ,0,0,0,0,0,3,0.923591,0.025668783,0.050740156,Pos,0.8979222,johnscharts
48,2021-07-23 17:27:04,$GOOGL update up 85%,0,0,0,0,0,8,0.7931695,0.05032585,0.15650472,Pos,0.7428436,johnscharts
49,2021-07-23 16:19:01,$MSFT update  ,0,0,0,1,0,2,0.024788558,0.046024892,0.9291866,Neu,-0.021236334,johnscharts
50,2021-07-23 16:01:05,$GOOGL update up 64%. NP,0,0,0,1,0,1,0.90974665,0.039989848,0.050263576,Pos,0.8697568,johnscharts
51,2021-07-23 15:52:04,$GOOGL update from watchlist. NP Option up 47%  ,0,0,0,1,0,1,0.9025639,0.031417876,0.06601816,Pos,0.8711461,johnscharts
52,2021-07-23 15:39:03,$GOOGL update from watchlist  ,0,0,0,1,1,6,0.04805433,0.05085983,0.9010858,Neu,-0.0028055012,johnscharts
53,2021-07-23 15:38:04,$AAPL update July 23 147 up 32%,0,0,0,1,0,3,0.91162527,0.037952185,0.05042252,Pos,0.8736731,johnscharts
54,2021-07-23 15:28:04,$AAPL July 23 147 up 23%. Will exit soon,0,1,0,0,2,5,0.8411342,0.05206768,0.1067981,Pos,0.7890665,johnscharts
56,2021-07-23 15:15:00,$AAPL small positon,0,0,0,3,2,13,0.06475799,0.017173223,0.9180688,Neu,0.047584765,johnscharts
57,2021-07-23 15:05:03,$GOOGL HOD,0,0,0,1,0,6,0.05211863,0.0748709,0.8730105,Neu,-0.02275227,johnscharts
58,2021-07-23 14:56:05,$MSFT update  ,0,0,0,2,2,3,0.024788558,0.046024892,0.9291866,Neu,-0.021236334,johnscharts
59,2021-07-23 14:39:02,$GOOGL update from watchlist. NP  ,0,0,0,0,0,2,0.037982702,0.03242768,0.92958957,Neu,0.0055550225,johnscharts
60,2021-07-23 14:37:03,$GOOGL update  ,0,0,0,0,0,2,0.026060155,0.056387424,0.9175524,Neu,-0.03032727,johnscharts
61,2021-07-23 11:43:05,$MSFT internals  ,0,0,0,1,0,10,0.03047377,0.029485641,0.9400406,Neu,0.0009881295,johnscharts
62,2021-07-22 20:32:03,$GOOGL update breaching resistance  ,0,0,0,0,0,2,0.07591595,0.6893078,0.2347762,Neg,-0.6133919,johnscharts
63,2021-07-22 20:29:01,$AMZN July 23 3610 up 32%. Will exit soon,0,1,0,1,0,5,0.8705637,0.036522336,0.092914045,Pos,0.83404136,johnscharts
64,2021-07-22 15:39:00,"$AAPL July 23 146 up 117%, since tweet",0,0,0,1,1,4,0.9312465,0.024925904,0.04382755,Pos,0.90632063,johnscharts
66,2021-07-22 14:58:04,$AAPL July 23 146/147 option flow,0,0,0,0,2,9,0.033429537,0.03623693,0.9303335,Neu,-0.0028073937,johnscharts
67,2021-07-22 14:48:01,$AMZN small position,0,0,0,0,0,11,0.05196844,0.13012527,0.81790626,Neu,-0.07815683,johnscharts
68,2021-07-21 16:04:05,$SPY possible wick play,0,0,0,1,1,7,0.035234254,0.04073628,0.9240295,Neu,-0.0055020265,johnscharts
69,2021-07-21 14:45:03,$GOOGL testing short term resistance 👀,0,1,0,0,1,1,0.49992108,0.10734961,0.39272928,Pos,0.39257148,johnscharts
70,2021-07-20 21:02:01," Congrats Bernadette! Congrats on $FB, $SQ, $PYPL profits! I agree!",0,1,0,1,0,1,0.4244884,0.020169804,0.55534184,Neu,0.4043186,johnscharts
71,2021-07-20 20:55:04,"     $SPY bullish, but only concern is move down was on expanding volume",1,1,0,1,0,5,0.35497853,0.48803642,0.15698513,Neg,-0.13305789,johnscharts
72,2021-07-20 20:31:05,$FB update July 23 340 up 76%,0,0,0,2,0,2,0.91555864,0.027248645,0.057192706,Pos,0.88831,johnscharts
73,2021-07-20 20:19:01,$AAPL July 23 144 up 97%,0,0,0,0,0,2,0.85728014,0.049375117,0.093344636,Pos,0.807905,johnscharts
74,2021-07-20 19:32:04,Congrats Peter on $AAPL 102%!,0,0,0,0,2,5,0.2843643,0.018383535,0.69725215,Neu,0.26598078,johnscharts
75,2021-07-20 19:18:05,"$AAPL July 23 144 up 89%, since original tweet",0,0,0,3,2,10,0.94135064,0.023414405,0.035234913,Pos,0.9179362,johnscharts
76,2021-07-20 19:13:02,$FB update July 23 340 up 66%,0,0,0,0,0,5,0.9243382,0.032632712,0.04302904,Pos,0.8917055,johnscharts
77,2021-07-20 19:10:00,$FB HOD,0,0,0,0,1,4,0.08502997,0.03810071,0.8768693,Neu,0.04692926,johnscharts
79,2021-07-20 16:40:00,$FB July 23 340 up 36%,0,0,0,0,1,3,0.91233766,0.046665166,0.04099716,Pos,0.86567247,johnscharts
80,2021-07-20 16:16:04,$FB July 23 340 up 26%,0,0,0,0,0,2,0.9133997,0.045149665,0.04145057,Pos,0.86825,johnscharts
83,2021-07-20 14:46:00,$AAPL internals bullish divergence,0,0,0,0,1,6,0.22554469,0.026808448,0.74764687,Neu,0.19873625,johnscharts
84,2021-07-19 18:25:01,$AMZN internals bullish divergence,0,0,0,1,0,30,0.22836268,0.06151019,0.7101271,Neu,0.16685249,johnscharts
85,2021-07-19 18:17:02,$AMZN 3.3M play via   ,0,0,0,9,3,25,0.080814235,0.011601161,0.90758467,Neu,0.06921308,johnscharts
86,2021-07-19 16:32:02,$SPY internals as it is testing daily 50 MA  ,0,1,0,0,2,6,0.2323787,0.025541596,0.7420797,Neu,0.20683712,johnscharts
