,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-02 21:49:02,"The DOW fell 97.31 points or -0.28%, to 34,831.16 and the S&P 500 slipped -0.18% to 4,387.16 with most of the losses coming in the final hour of trading. The NASDAQ clung to a gain of just +0.06% to close at 14,681.07.  ",1,1,0,0,0,0,0.009227443,0.9723308,0.018441727,Neg,-0.96310335,marketclub
2,2021-07-29 22:33:04,"The DOW gained 153.60 points or +0.44%, to 35,084.53, while the S&P 500 climbed +0.42% to 4,419.15, both hitting their intraday records during the session. The NASDAQ underperformed with a +0.11% gain to end at 14,778.26.  ",1,1,0,0,0,0,0.9254379,0.04080754,0.0337545,Pos,0.8846304,marketclub
4,2021-07-27 21:49:03,"The S&P 500 declined nearly -0.5% to 4,401.46, led to the downside by consumer names, tech and energy. The DOW fell 85.79 points or -0.2%, to 35,058.52, after dropping as much as 266 points earlier, and the NASDAQ slid -1.2% to 14,660.58.  ",1,1,0,0,0,0,0.007901055,0.9743971,0.017701887,Neg,-0.96649605,marketclub
5,2021-07-26 21:56:00,"The S&P 500 rose +0.24% to a fresh record close of 4,422.30. The DOW gained 82.76 points, or 0.24%, to an all-time high of 35,144.31, and the NASDAQ closed slightly higher at 14,840.71 or +.03%, hitting a new high.  ",1,1,0,0,0,0,0.933984,0.026054,0.03996204,Pos,0.90792996,marketclub
6,2021-07-23 21:32:02,"The DOW closed above 35,000 for the first time ever, rising 238.20 points or +0.68%, to 35,061.55. The S&P 500 gained +1.01% to 4,411.79, and the NASDAQ climbed +1.06% to 14,836.99, both new closing highs.  ",1,1,0,0,0,0,0.9347828,0.027653018,0.037564218,Pos,0.90712976,marketclub
7,2021-07-22 21:20:02,"The DOW rose 25.35 points or +.07% closing at 34,823.35. The S&P 500 gained +0.20% to 4,367.48, and the NASDAQ lead indexes with a +0.36% gain, ending the day at 14,684.60.  ",1,1,0,0,0,0,0.9201498,0.030926239,0.048924033,Pos,0.8892236,marketclub
8,2021-07-21 21:28:02,"The DOW rose 286.01 points or +0.83%, to 34,798. It’s sitting less than 1% away from a record. The S&P 500 gained +0.82% to 4,358.65, and the NASDAQ climbed +0.92% to 14,631.95.  ",1,1,0,0,0,0,0.9373844,0.028727174,0.03388838,Pos,0.90865725,marketclub
9,2021-07-20 21:46:00,"The DOW rose 549.95 points or +1.62%, to 34,511.99, following its 725 point-decline Monday. The S&P 500 climbed +1.52% to 4,323.06, and the NASDAQ added +1.57% to 14,498.88.  ",1,1,0,0,0,0,0.9360158,0.026864463,0.03711981,Pos,0.9091513,marketclub
10,2021-07-19 21:45:05,"The DOW dropped 725.81 points or -2.091%, to 33,962.04 in a rout that sent all 30 stocks lower.  The S&P 500 fell -1.59% to 4,258.49, and the NASDAQ fell -1.06% to 14,274.98, its fifth-straight day of losses and worst losing streak since October.  ",1,1,0,0,0,0,0.007345861,0.9739382,0.018715924,Neg,-0.9665924,marketclub
13,2021-07-14 21:47:05,"The S&P 500 added +0.12% to reach 4,374.30 after hitting a new high earlier in the session. The DOW added 44.44 points or +0.13%, to close at 34,933.23, and the NASDAQ fell -0.22% to 14,644.95.  ",1,1,0,0,0,0,0.016351206,0.96261716,0.021031613,Neg,-0.94626594,marketclub
