,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2021-08-03 14:57:01,"Losing Google's Pixel slot won't really hurt Qualcomm. But it also doesn't help a chipmaker already priced for design-out risk,  says -  ",1,1,1,3,0,5,0.16405416,0.57207966,0.2638662,Neg,-0.4080255,wsjmarkets
2,2021-08-03 13:31:00,"Heard on the Street: Losing its role as chip maker to Google’s Pixel won’t hurt Qualcomm much, but fears of an Apple processor continue to weigh on its stock price  ",1,1,0,2,2,4,0.035156928,0.94597316,0.018869946,Neg,-0.91081625,wsjmarkets
3,2021-07-31 17:49:00,Heard on the Street: Amazon’s new CEO appears to be continuing the Jeff Bezos tradition of staying off earnings calls. Andy Jassy might not get quite as much slack.  ,1,1,1,1,1,9,0.14396141,0.043460034,0.8125786,Neu,0.10050138,wsjmarkets
4,2021-07-31 15:34:00,"Here are seven major companies, including Amazon, Robinhood and Disney, whose stocks moved on the week’s news  ",1,1,0,0,1,3,0.06974916,0.06234123,0.86790967,Neu,0.0074079297,wsjmarkets
6,2021-07-29 18:19:00,"Amazon is expected to report strong profits Thursday after its midyear Prime Day event boosted sales, and its cloud computing and advertising units continued to grow  ",1,1,0,3,0,4,0.95205295,0.02125056,0.02669654,Pos,0.9308024,wsjmarkets
7,2021-07-29 02:32:00,"Heard on the Street: Investors buying Facebook on a post-earnings dip can’t expect an immediate fortune, but may score a longer-term deal  ",0,1,1,6,1,6,0.37139222,0.063651256,0.5649565,Neu,0.30774096,wsjmarkets
8,2021-07-28 23:17:00,"Heard on the Street: Surge in Google’s quarterly operating profit comes as R&D, capex and sales expenditures track below normal  ",1,1,0,0,1,4,0.8658418,0.11061397,0.023544224,Pos,0.7552278,wsjmarkets
9,2021-07-28 22:48:03,"The stock market is still hovering near all-time highs, though the S&P gave up Wednesday's gains after the Fed's latest statement   via   ",1,1,0,6,1,8,0.4890251,0.40783212,0.103142865,Pos,0.08119297,wsjmarkets
10,2021-07-28 12:13:02,"Apple, Facebook, Mattel, Teladoc Health: What to Watch When the Stock Market Opens Today  ",0,0,0,4,2,8,0.028151147,0.025039462,0.94680935,Neu,0.0031116847,wsjmarkets
11,2021-07-27 18:50:03,"Investors are eager for signs Apple’s success will continue into 2022, as customers switch to new 5G phones   ",0,1,1,3,1,8,0.8870245,0.012501984,0.10047341,Pos,0.87452257,wsjmarkets
12,2021-07-27 12:45:00,The benchmark S&P 500 hasn’t suffered a 5% pullback since October and has advanced 35% since the end of that month  ,1,1,0,6,2,9,0.500759,0.4739646,0.025276389,Pos,0.026794404,wsjmarkets
13,2021-07-27 12:06:02,"Tesla, Apple, Alibaba, F5 Networks: What to Watch When the Stock Market Opens Today  ",0,0,0,5,1,2,0.029763702,0.024450371,0.945786,Neu,0.0053133313,wsjmarkets
14,2021-07-26 21:14:01,The Dow edges to new record as bitcoin soars on   speculation    ,0,0,0,3,1,6,0.5991731,0.2297815,0.17104532,Pos,0.36939162,wsjmarkets
15,2021-07-24 14:43:00,"Apple, Zoom, Chipotle and more: Here are seven major companies whose stocks moved on the week’s news  ",1,1,0,4,1,7,0.04191663,0.06620727,0.89187616,Neu,-0.024290636,wsjmarkets
16,2021-07-23 21:09:05,"U.S. stocks rose to records, with the Dow notching its latest milestone, a close above 35000    ",1,1,0,5,6,9,0.9049016,0.029535182,0.06556323,Pos,0.87536645,wsjmarkets
17,2021-07-23 11:58:03,"Snap, Twitter, Facebook, Intel: What to Watch When the Stock Market Opens Today  ",0,0,0,4,0,0,0.024550797,0.03497229,0.9404769,Neu,-0.010421494,wsjmarkets
18,2021-07-22 21:13:01,"The S&P 500 traded higher ahead of a flurry of earnings reports, including from Twitter, Intel and Snap, and as new jobless figures rose    ",1,1,0,4,2,7,0.8383034,0.11072773,0.05096881,Pos,0.72757566,wsjmarkets
19,2021-07-19 22:21:03,"Tallying up the damage: Dow down 726 points on the day, S&P off 1.6%    ",0,1,0,5,7,9,0.007731414,0.96754587,0.024722787,Neg,-0.9598144,wsjmarkets
21,2021-07-18 20:52:00,"Ingersoll Rand has made takeover bids for component-maker SPX Flow that have so far been rebuffed, say people familiar with the matter  ",1,1,0,1,1,8,0.056278612,0.8346196,0.1091018,Neg,-0.778341,wsjmarkets
23,2021-07-16 19:42:00,"Binance, the world’s largest cryptocurrency exchange operator, said it would stop offering digital tokens tied to stocks like Apple and Tesla after regulators in multiple countries raised concerns  ",1,0,1,2,2,14,0.01427443,0.8495784,0.13614713,Neg,-0.83530396,wsjmarkets
24,2021-07-16 14:59:04,Moderna Jumps on Joining the S&P 500  ,0,1,0,0,1,9,0.7695296,0.02837125,0.2020992,Pos,0.7411583,wsjmarkets
26,2021-07-13 17:22:00,Google is aiming to help small-business insurers more accurately measure occupancy of buildings where they are on the hook for accidents and other risks  ,0,1,0,1,0,3,0.38694432,0.011192197,0.60186344,Neu,0.37575212,wsjmarkets
27,2021-07-10 15:38:00,"Here are seven major companies whose stocks moved on the week’s news, including Facebook, JPMorgan Chase and Netflix  ",1,1,0,3,2,7,0.042890325,0.086978465,0.87013125,Neu,-0.04408814,wsjmarkets
28,2021-07-09 17:02:05,"U.S. stocks posted Friday gains, leaving the Dow and other major indexes in record territory    ",1,1,0,2,3,5,0.44627994,0.44461048,0.109109595,Pos,0.0016694665,wsjmarkets
29,2021-07-07 17:28:00,"Heard on the Street: Online ad titans will benefit from easy comparisons in the second quarter, but the ongoing rollout of Apple’s iOS could still hit results  ",0,1,1,0,0,0,0.94099665,0.028845767,0.030157564,Pos,0.91215086,wsjmarkets
30,2021-07-02 21:10:05,The Dow snags its first record close in nearly two months after a jobs report indicating continued recovery in the labor market   via   ,1,1,0,4,2,16,0.13657765,0.8091659,0.05425648,Neg,-0.6725882,wsjmarkets
31,2021-07-02 19:22:00,"Jeff Bezos may be blasting off into space, but his earthbound successor as Amazon’s CEO has a universe of problems to address—despite inheriting a business firing on all cylinders.  ",0,1,1,2,1,6,0.05168319,0.15019003,0.7981268,Neu,-0.09850684,wsjmarkets
32,2021-07-02 16:10:04,"As Jeff Bezos prepares to blast off, he's leaving the keys to a business firing on all cylinders. But  says Amazon's new boss also faces a universe of challenges - including regulators who want to see the soaring company grounded.  ",1,1,0,1,0,9,0.03501464,0.4715781,0.49340725,Neu,-0.43656346,wsjmarkets
33,2021-06-29 21:27:02,"U.S. stocks rose modestly, giving the S&P 500 its 33rd record close of 2021   via   ",1,1,0,0,1,5,0.92377555,0.047213163,0.029011225,Pos,0.8765624,wsjmarkets
34,2021-06-29 17:07:00,"For some vendors, a deal with Amazon comes with a catch: the right for the tech giant to buy a piece of their company at potentially steep discounts.  ",0,1,0,1,0,8,0.15154453,0.021430757,0.82702476,Neu,0.13011377,wsjmarkets
35,2021-06-29 12:30:00,Heard on the Street: Facebook's victory in FTC and states rulings show the governments’ big tech crackdowns aren’t a slam dunk but remain a threat  ,0,1,0,1,1,4,0.09883555,0.37004912,0.53111535,Neu,-0.27121356,wsjmarkets
36,2021-06-28 21:19:00,"Nasdaq and the S&P hit new records as investors await June jobs report, OPEC and eurozone inflation    ",1,1,0,2,1,10,0.26676568,0.09714374,0.6360905,Neu,0.16962194,wsjmarkets
37,2021-06-28 11:55:03,"U.S. stock futures wavered, suggesting major indexes will hover close to record highs after the S&P 500 posted its biggest weekly gain since February.  ",1,1,1,4,5,8,0.054877404,0.84789604,0.09722659,Neg,-0.79301864,wsjmarkets
38,2021-06-26 15:24:00,"Amazon, Nike and American Airlines are among major companies whose stocks moved on the week’s news  ",1,1,0,5,3,12,0.39025083,0.25163752,0.3581116,Pos,0.13861331,wsjmarkets
39,2021-06-25 22:13:05,"U.S. stocks edged up, giving the Dow its best week since March    ",1,1,0,3,5,20,0.903133,0.065067194,0.031799864,Pos,0.8380658,wsjmarkets
40,2021-06-24 20:13:00,Microsoft's cloud focus has propelled it to a $2 trillion market value. But  says staying there will require all of the software giant's businesses to keep humming -- including its ubiquitous Windows operating system:  ,1,1,1,0,0,4,0.6139001,0.09962664,0.28647327,Pos,0.51427346,wsjmarkets
41,2021-06-24 20:00:00,What does Google's delay of its plan to phase out third-party cookies mean for smaller companies that provide ad-tech services?   ,0,1,0,0,0,3,0.030277204,0.25929528,0.71042746,Neu,-0.22901808,wsjmarkets
42,2021-06-24 19:30:00,Heard on the Street: Microsoft still needs Windows to shine  ,0,1,0,0,0,4,0.056767624,0.10574255,0.83748984,Neu,-0.048974928,wsjmarkets
43,2021-06-24 12:45:00,"Visa is taking over Swedish startup Tink, gaining a foothold in the fast-growing business of open banking  ",0,1,0,0,1,11,0.5614969,0.009145909,0.42935714,Pos,0.552351,wsjmarkets
44,2021-06-22 21:41:04,Etsy joined other retailers like Amazon and Target in posting gains today. See what else moved today across all corners of the markets  ,1,1,0,1,1,5,0.26779157,0.014034328,0.7181741,Neu,0.25375724,wsjmarkets
45,2021-06-22 14:00:00,Heard on the Street: Prime Day showcases all the strengths that have now put Amazon under intense scrutiny  ,1,1,0,0,2,3,0.7231999,0.04679604,0.23000407,Pos,0.6764039,wsjmarkets
46,2021-06-22 13:41:05,"Prime Day benefits a lot of Amazon's business lines, but this is a bad time for the company to spin its flywheel,  writes:  ",0,1,0,1,0,3,0.016516117,0.89921665,0.08426724,Neg,-0.88270056,wsjmarkets
48,2021-06-20 15:12:00,"Facebook, Alphabet outpace their so-called FAANG stock peers as big tech stocks set separate courses after a synchronized rise last year  ",1,1,0,3,2,7,0.9271772,0.035548758,0.037274074,Pos,0.89162844,wsjmarkets
49,2021-06-18 14:42:04,"U.S. stocks fell, putting the Dow on track for its worst weekly performance since the end of January   via   ",1,1,0,1,4,18,0.009200696,0.96730554,0.023493709,Neg,-0.95810485,wsjmarkets
50,2021-06-16 16:15:00,Investors looking to cushion their portfolios against inflation helped real-estate stocks lead the S&P 500 in recent weeks  ,1,1,0,2,3,10,0.9089582,0.029364523,0.06167725,Pos,0.8795937,wsjmarkets
51,2021-06-16 12:03:00,S&P 500 futures wavered between gains and losses as investors await cues on when the Federal Reserve may begin tapering bond purchases   ,1,1,1,5,1,4,0.02940193,0.89261883,0.07797919,Neg,-0.8632169,wsjmarkets
52,2021-06-15 11:58:02,"The S&P 500 index is likely to hover near its 29th record close of the year, bolstered by gains in technology stocks  ",1,1,0,4,2,7,0.93890285,0.025742196,0.035354894,Pos,0.9131607,wsjmarkets
53,2021-06-14 21:29:04,The Dow declines as the S&P 500 and Nasdaq hit new records   via   ,1,1,0,3,6,9,0.037893392,0.90733844,0.054768227,Neg,-0.869445,wsjmarkets
54,2021-06-14 12:07:00,"U.S. stock futures edged up, pointing to a fresh record for the S&P 500 after it ended last week at an all-time high  ",1,1,0,3,0,4,0.8985823,0.06389602,0.037521675,Pos,0.8346863,wsjmarkets
55,2021-06-12 15:44:00,"Heard on the Street: Amid some high-profile executives departures, Facebook’s advertising business is facing fundamental challenges from Apple’s privacy drive  ",1,1,0,1,4,12,0.013128404,0.9540994,0.032772172,Neg,-0.940971,wsjmarkets
56,2021-06-11 23:54:00,Heard on the Street: Cloud-computing prowess and the Xbox business give Microsoft an edge as its rivals target game streaming.  ,0,0,0,0,1,6,0.890764,0.011834825,0.09740124,Pos,0.8789292,wsjmarkets
57,2021-06-11 14:10:01,"Videogame streaming has drawn all the cloud giants, but it's still Microsoft's game to lose,  writes.  ",1,1,0,1,2,4,0.036554523,0.51197547,0.45147005,Neg,-0.47542095,wsjmarkets
58,2021-06-11 12:07:03,"U.S. stock futures edged higher, pointing to the S&P 500 notching a fresh record following three straight week of gains.  ",1,1,0,3,1,11,0.91518074,0.03961421,0.04520499,Pos,0.87556654,wsjmarkets
59,2021-06-09 23:31:00,"GameStop names former Amazon executives as CEO, CFO as shareholders elect activist investor Ryan Cohen as chairman  ",0,1,0,2,3,14,0.020570824,0.043815028,0.93561417,Neu,-0.023244204,wsjmarkets
62,2021-06-08 12:45:00,The S&P 500 is on course for muted trading at the opening bell as it hovers near its all-time high closing level  ,0,1,0,0,3,7,0.15755592,0.45085093,0.3915932,Neg,-0.29329503,wsjmarkets
63,2021-06-07 21:57:01,The Dow Jones Industrial Average slipped after closing near record levels last week    ,1,1,0,1,2,4,0.007980848,0.96975315,0.022266028,Neg,-0.9617723,wsjmarkets
64,2021-06-04 21:30:04,"The S&P 500 adds 0.8%, closes in on a record   via   ",0,1,0,4,4,10,0.7883858,0.121657476,0.08995664,Pos,0.6667283,wsjmarkets
65,2021-06-04 16:00:01,Heard on the Street: Worries about App Store following trial hang over Apple’s stock ahead of developers conference  ,1,1,0,0,1,4,0.02264271,0.84683377,0.13052353,Neg,-0.82419103,wsjmarkets
