id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1421519570993655809,allstarcharts,2021-07-31 18:14:10 BST,+0100,97334517,• Since 2003 the Fine Wine 50 and Fine Wine 1000 have performed in line with the S&amp;P 500. • Equities tend to outperform fine wine in the short term… • …but one can’t drink the performance of the S&amp;P 500.  https://t.co/lZpLx1oOiq @Livex  https://t.co/TBNyW1X5HE,"[{'screen_name': 'livex', 'name': 'liv-ex', 'id': '20600936'}]",['https://www.liv-ex.com/2021/07/fine-wine-matches-rallying-sp500/?utm_content=174386850&utm_medium=social&utm_source=twitter&hss_channel=tw-20600936'],2,3,17,[],False,
1421462842440622092,allstarcharts,2021-07-31 14:28:45 BST,+0100,97334517,"“Since 1988, there have been 3 other times when the S&amp;P 500 was up by double digits through late July while emerging markets were in negative territory for the year. Each time, emerging markets fell further in the month(s) ahead” h/t @sentimentrader  https://t.co/aBv08Fr8fn  https://t.co/J0oTouMrDl","[{'screen_name': 'sentimentrader', 'name': 'sentimentrader', 'id': '7557352'}]",['https://www.sentimentrader.com//blog/emerging-markets-have-only-done-this-3-other-times/'],1,15,45,[],False,
1421195740873957377,allstarcharts,2021-07-30 20:47:23 BST,+0100,97334517,Looks like the lowest monthly close for the S&amp;P500 relative to the CRB Commodities Index since January 2020  https://t.co/gkdvjrjysS,[],[],1,16,39,[],False,
1421193994982264835,allstarcharts,2021-07-30 20:40:27 BST,+0100,97334517,The next Fibonacci extension target for the S&amp;P500 based on the 2000 highs down to the 2009 lows is 4420. Thursday the S&amp;P500 went out at 4419. Close enough.  https://t.co/wQ5gAXHvYN,[],[],9,24,121,[],False,
1421108555604713472,allstarcharts,2021-07-30 15:00:57 BST,+0100,97334517,Amazon still at the same price it was last summer. Hard to call that an uptrend.,[],[],6,6,88,[],False,
1420852824590716928,allstarcharts,2021-07-29 22:04:46 BST,+0100,97334517,Is Robinhood going to be a Palantir? or a Coinbase? or maybe a Facebook? Sure doesn’t look like a Google to me.   https://t.co/bmGMr5KJ0L $HOOD  https://t.co/nr4bpSg9jT,[],['https://allstarcharts.com/technical-analysis-for-ipos/'],10,10,72,[],False,
1420396407744249857,allstarcharts,2021-07-28 15:51:07 BST,+0100,97334517,"@Kingpin_15 @paulmckr stocks peaked in Q4 2014 - then SPX and DJIA peaked in May 2015, but ""stocks"" peaked 6 mo earlier",[],[],1,0,0,[],False,
1420391502149267457,allstarcharts,2021-07-28 15:31:38 BST,+0100,97334517,"It's interesting people are wondering if weakening breadth will lead to a correction. Meanwhile the breadth IS evidence of the correction we've been in since February. The Average drawdown in S&amp;P500 is 8.2%, for Mid-caps it's 13%, 18% for small-caps, and 17% for NYSE Composite",[],[],12,11,137,[],False,
1420013666985029633,allstarcharts,2021-07-27 14:30:15 BST,+0100,97334517,The market cap-weighted S&amp;P500 made new highs. The equally-weighted S&amp;P500 hasn’t been able to move higher for 3 months.,[],[],4,11,144,[],False,
1420011340345876487,allstarcharts,2021-07-27 14:21:00 BST,+0100,97334517,"“Dow, S&amp;P 500 Set Records” via @WSJ - the thing is not much else is setting any records  https://t.co/gafcFu9t4t thanks for the shoutout","[{'screen_name': 'wsj', 'name': 'the wall street journal', 'id': '3108351'}]",['https://www.google.com/amp/s/www.wsj.com/amp/articles/global-stock-markets-dow-update-07-26-2021-11627285160'],2,0,6,[],False,
