id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1421123107230785542,bbcbreaking,2021-07-30 15:58:46 BST,+0100,5402612,Amazon fined $886.6m (£636m) for allegedly breaking European Union data protection laws   https://t.co/l0p9TLiXwx,[],['https://bbc.in/3lroW55'],200,347,1390,[],False,
1417473340055379968,bbcbreaking,2021-07-20 14:15:54 BST,+0100,5402612,"Amazon billionaire Jeff Bezos blasts off towards space on first crewed flight of his rocket ship, New Shepard  https://t.co/GHGRIxkq26",[],['https://bbc.in/2UxJRIl'],367,339,1428,[],False,
1412800765404581891,bbcbreaking,2021-07-07 16:48:45 BST,+0100,5402612,"Former US president Donald Trump announces plans to sue tech giants Google, Twitter and Facebook, claiming he is the victim of censorship   https://t.co/mv0dTk8ltz",[],['https://bbc.in/3Avbzpk'],1082,637,2968,[],False,
1407601619013931008,bbcbreaking,2021-06-23 08:29:12 BST,+0100,5402612,Hong Kong's outspoken pro-democracy paper Apple Daily announces closure after assets freeze in major blow to media freedom  https://t.co/T1N6lUaG9K,[],['https://bbc.in/3j4W69p'],334,1637,2313,[],False,
1389933997086674944,bbcbreaking,2021-05-05 14:24:23 BST,+0100,5402612,Donald Trump's ban from Facebook and Instagram upheld by Facebook's Oversight Board  https://t.co/g2OQmN9yrp,[],['https://bbc.in/3nOLQlS'],325,354,2322,[],False,
1364068988192489480,bbcbreaking,2021-02-23 04:26:04 GMT,+0100,5402612,Australia says Facebook will reverse a decision to block access to news content  https://t.co/nWhcwCu3Ez,[],['https://bbc.in/2ZGuegO'],131,269,976,[],False,
1338457842983034887,bbcbreaking,2020-12-14 12:16:31 GMT,+0100,5402612,"Google applications including YouTube, Gmail and Docs suffer rare outage, with users unable to access services  https://t.co/TjWbZdKBAO",[],['https://bbc.in/3mcUZlH'],1072,6392,14881,[],False,
1338253342510886912,bbcbreaking,2020-12-13 22:43:55 GMT,+0100,5402612,"Obituary: John le Carré, the pseudonym of author David Cornwell, judged by many to be the master of the spy novel  https://t.co/kgJ5trZeCT",[],['https://bbc.in/37gDVa8'],51,406,1294,[],False,
1304135358406426624,bbcbreaking,2020-09-10 20:11:13 BST,+0100,5402612,"Russian group which hacked 2016 Democratic campaign are again targeting US election, says Microsoft  https://t.co/rSYuzlpwA7",[],['https://bbc.in/33g9ttM'],323,1723,3212,[],False,
1238575497732333569,bbcbreaking,2020-03-13 21:19:44 GMT,+0100,5402612,Bill Gates stepping down from Microsoft board to spend more time on philanthropic activities  https://t.co/B4KMh3dGVv,[],['https://bbc.in/2W7qDI9'],373,3216,9651,[],False,
