id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1422527140067745814,carterbworth,2021-08-03 12:57:54 BST,+0100,1217143228803289090,"A seasonally-challenged period ahead...  The 3-month period Aug-Sep-Oct is lackluster. Typically, it is the worst 3-month period of the calendar year for the $SPX.  https://t.co/xkjnqAY31f",[],[],16,48,205,[],False,
1422190653056901124,carterbworth,2021-08-02 14:40:49 BST,+0100,1217143228803289090,"Health Care continues to develop and come to life, relative to the $SPX, having lagged the market for oh so long.  To express a bullish view on Health Care, we would use $XLV long... absolute... and paired against a short in $SPY.  https://t.co/7fKdabsxmc",[],[],6,12,96,[],False,
1421236715809906688,carterbworth,2021-07-30 23:30:13 BST,+0100,1217143228803289090,"It happened again.  History suggested this week would be lackluster and indeed it was.   The stats were/are:  Whenever the current Top 5 stocks in the $SPX have reported earnings the same week, the market has been lackluster on the week. And, it happened again. See updated tables  https://t.co/2fNijFnJfi",[],[],19,18,124,[],False,
1419649126845886468,carterbworth,2021-07-26 14:21:42 BST,+0100,1217143228803289090,"It’s going to be exciting.  The 5 largest stocks w/ a combined mkt cap of $9.4 trillion (24% of the $SPX) report EPS this week.  This has only happened 5 times in their joint history. In the week in question, the mkt has been lackluster, each time.  $AAPL $MSFT $AMZN $GOOGL $FB  https://t.co/lP7kfo1nNW",[],[],16,87,312,[],False,
1417113245282938882,carterbworth,2021-07-19 14:25:01 BST,+0100,1217143228803289090,The three most relevant unfilled gaps in the $SPX are those immediately below.   The lowermost gap of Apr 5th comes into play at the 4020.63 level (which is -7.08% from last Friday's close).   The odds that they will get filled are high. When? They are a “here and now” matter.  https://t.co/hXG0RThftw,[],[],8,27,97,[],False,
1414634257037811732,carterbworth,2021-07-12 18:14:24 BST,+0100,1217143228803289090,"An important week for big banks (by association an important week for the overall market)  8 of the 10 largest Financials in $SPX report EPS.  Our hunch is big banks / big financials are better sells than buys at present, just as they were exactly three months ago.  https://t.co/SKgQf2fdpv",[],[],12,28,138,[],False,
1412742488478175235,carterbworth,2021-07-07 12:57:11 BST,+0100,1217143228803289090,"Certain ‘Rested Champions’ are just breaking out, while others (ones that already broke out) are getting a bit stretched.  We make the case to fund purchase of $AAPL &amp; $AMZN, with profit taking in $GOOGL, $MSFT, &amp; $FB.  https://t.co/lLW7Vj1d0l",[],[],10,36,184,[],False,
1386660618158149632,carterbworth,2021-04-26 13:37:08 BST,+0100,1217143228803289090,"Exactly a year ago... 9:58am on April 28, 2020... Fifth Avenue and 59th Street, just North of the Plaza Hotel and the Apple store. Not a soul to be seen. As all will know, it's gridlock traffic at this intersection on a normal day.  https://t.co/4Bub2wmNE5",[],[],8,5,71,[],False,
1386657701950889988,carterbworth,2021-04-26 13:25:33 BST,+0100,1217143228803289090,"2) $AAPL, $MSFT, $AMZN, $GOOGL, and $FB somehow “disappoint” in some sort of bizarre, unanticipated, group miss, or not-good-enough beat, and the market slumps in response.",[],[],4,6,34,[],False,
1337376112314290176,carterbworth,2020-12-11 12:38:07 GMT,+0100,1217143228803289090,"The outperformance of small cap stocks vs large cap stocks, which began on Mar 18th, just before the $SPX Mar 23rd pandemic low, is judged to be stretched &amp; extreme. We would fade the move in small cap stocks, with $SPY / $IWM being a good pairs trade at this time.  https://t.co/78Nv5NzQKL",[],[],7,11,105,[],False,
