id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1415701184971780103,danzanger,2021-07-15 16:53:59 BST,+0100,49663664,$FB - Done today  https://t.co/iryfeBgBay,[],[],0,3,33,[],False,
1415700701808836611,danzanger,2021-07-15 16:52:04 BST,+0100,49663664,$AMZN #1  https://t.co/ohcLnZQ6QN,[],[],0,2,34,[],False,
1410586867846811652,danzanger,2021-07-01 14:11:31 BST,+0100,49663664,$FB - Slow but working  https://t.co/9mNOuA1ktq,[],[],1,2,19,[],False,
1409475784251691012,danzanger,2021-06-28 12:36:28 BST,+0100,49663664,$FB Slower moving but working higher  https://t.co/DoPUdIup7m,[],[],0,0,18,[],False,
1405612018997116928,danzanger,2021-06-17 20:43:14 BST,+0100,49663664,You can see that my Advanced Trading Group gave the low of this move in the $SPX $SPY $ES_F before the Fed news yesterday. The market is holding it for now.  https://t.co/ICUbjzJNCq,[],['http://www.chartpatternfutures.com'],1,1,20,[],False,
1405192350985560066,danzanger,2021-06-16 16:55:38 BST,+0100,49663664,My Advanced Trading Group is getting ready for the FOMC news this afternoon and here is a chart of the key reaction levels. $SPX $SPY $ES_F  https://t.co/ICUbjzJNCq  https://t.co/aqvDIBMBu8,[],['http://www.chartpatternfutures.com'],0,7,42,[],False,
1400804912791965696,danzanger,2021-06-04 14:21:31 BST,+0100,49663664,The $SPX $SPY $ES_F are holding the $417 $SPY level noted and time stamped from yesterday pre-market which is positive for the market so far.  https://t.co/ICUbjzJNCq,[],['http://www.chartpatternfutures.com'],0,2,25,[],False,
1400433494988369924,danzanger,2021-06-03 13:45:38 BST,+0100,49663664,The $417 $SPY level noted in my Advanced Trading Group post below is holding for now and the market remains positive if this level is holding.  https://t.co/ICUbjzJNCq,[],['http://www.chartpatternfutures.com'],0,3,29,[],False,
1400417612929064967,danzanger,2021-06-03 12:42:32 BST,+0100,49663664,$SPX $SPY $ES_F - Market Update from my advanced  group  https://t.co/OvfjlJGtdq,[],[],2,4,37,[],False,
1399761280563662852,danzanger,2021-06-01 17:14:30 BST,+0100,49663664,$SPX $SPY $ES_F - An update from my futures team  https://t.co/88EIMqUZBj  https://t.co/vkOpLYP4qd,[],['http://chartpatternfutures.com'],1,5,51,[],False,
1399699051118051332,danzanger,2021-06-01 13:07:13 BST,+0100,49663664,$FB - Grinding higher  https://t.co/eMqFckXpk7,[],[],0,3,54,[],False,
1379400249840701442,danzanger,2021-04-06 12:47:02 BST,+0100,49663664,$GOOGL - A very strong move from my buy area last week.  https://t.co/JdURaEkfRy,[],[],7,12,151,[],False,
1368924203307696132,danzanger,2021-03-08 13:58:58 GMT,+0100,49663664,$SPX $SPY $ES_F  https://t.co/F8Y7vLklGD,[],[],7,13,68,[],False,
1359818255771262977,danzanger,2021-02-11 10:55:11 GMT,+0100,49663664,$SPY $SPX $ES_F - Still trending in the channel  https://t.co/8A35Jca8UT,[],[],0,11,43,[],False,
1357313386128822272,danzanger,2021-02-04 13:01:43 GMT,+0100,49663664,$AMZN - Avoiding for now  https://t.co/nMoPxsUc1t,[],[],0,11,64,[],False,
1356236007658713090,danzanger,2021-02-01 13:40:36 GMT,+0100,49663664,$SPX $SPY $ES_F - Holding the 50-day for now.  https://t.co/r2svh8zVie,[],[],1,15,37,[],False,
1343531398251106305,danzanger,2020-12-28 12:17:01 GMT,+0100,49663664,$AAPL - Moving slower but still good gains.  https://t.co/0oO3KFEFMr,[],[],0,8,55,[],False,
1335937718057046016,danzanger,2020-12-07 13:22:27 GMT,+0100,49663664,$SPX $SPY $ES_F  https://t.co/6Cf2rO62sn,[],[],1,5,29,[],False,
1333398991338434560,danzanger,2020-11-30 13:14:27 GMT,+0100,49663664,Moving up from the Pennant pattern $SPX $SPY $ES_F  https://t.co/XVLxgLfbB8,[],[],0,6,27,[],False,
1330842836535828481,danzanger,2020-11-23 11:57:12 GMT,+0100,49663664,A nice Pennant on the $SPX $SPY $ES_F  https://t.co/ksA3OcRQXF,[],[],2,16,77,[],False,
1329407252235685889,danzanger,2020-11-19 12:52:42 GMT,+0100,49663664,$SPX $SPY $ES_F  https://t.co/T1rjXeYDPg,[],[],0,7,50,[],False,
1326853725386907648,danzanger,2020-11-12 11:45:54 GMT,+0100,49663664,$SPX $SPY $ES_F  https://t.co/PTJ0CMT2hn,[],[],1,16,64,[],False,
1324304463574740992,danzanger,2020-11-05 10:56:03 GMT,+0100,49663664,$SPX $SPY $ES_F  https://t.co/SsjligwFQF,[],[],2,15,56,[],False,
1320666764989157378,danzanger,2020-10-26 10:01:08 GMT,+0100,49663664,$AMZN - Sold out with $113 gain  https://t.co/EvpdWMZteM,[],[],1,3,31,[],False,
1320666280681213952,danzanger,2020-10-26 09:59:12 GMT,+0100,49663664,$SPX $SPY $ES_F  https://t.co/DvTaJCYkub,[],[],1,18,46,[],False,
1318122155675176960,danzanger,2020-10-19 10:29:46 BST,+0100,49663664,$SPX $SPY $ES_F  https://t.co/zsaZcY3wK5,[],[],3,25,87,[],False,
1315961033811472384,danzanger,2020-10-13 11:22:14 BST,+0100,49663664,$AMZN -  Super $156 move yesterday  https://t.co/Gqtss1cWYR,[],[],0,6,34,[],False,
1315960868476194816,danzanger,2020-10-13 11:21:35 BST,+0100,49663664,$AAPL Solid gains into the Iphone 12 release  https://t.co/VkZc0wgl3P,[],[],0,6,27,[],False,
1313093419473006593,danzanger,2020-10-05 13:27:21 BST,+0100,49663664,$SPX $SPY $ES_F  https://t.co/DcVJXeTv0L,[],[],0,10,22,[],False,
1310880672253464576,danzanger,2020-09-29 10:54:41 BST,+0100,49663664,$AMZN - A super bounce trade.  https://t.co/C20eZltriH,[],[],0,10,38,[],False,
1310880053383888898,danzanger,2020-09-29 10:52:14 BST,+0100,49663664,$SPX $SPY $ES_F  https://t.co/TATjwQQuCi,[],[],1,12,40,[],False,
1307984521044918272,danzanger,2020-09-21 11:06:25 BST,+0100,49663664,$SPX $SPY $ES_F Looks headed to the 200-day now.  https://t.co/K2snNrcdFO,[],[],3,16,57,[],False,
1306581185741631488,danzanger,2020-09-17 14:10:04 BST,+0100,49663664,$AAPL - Shorted  https://t.co/dziXgJTiZl,[],[],1,6,20,[],False,
1305798782416826368,danzanger,2020-09-15 10:21:04 BST,+0100,49663664,$AAPL - Bouncing from the 50-day  https://t.co/nXs3GvK98r,[],[],0,5,16,[],False,
