id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1392827973527490562,muddywatersre,2021-05-13 14:04:01 BST,+0100,168679374,MW is short $LMND bc it has an egregious security vulnerability &amp; utterly failed to secure customer PII. Customer PII has actually been indexed by Google and other search engines. Many customer accounts can be accessed without any authentication at all!  https://t.co/byiN7aOqQa,[],['http://www.muddywatersresearch.com/research/lmnd/open-letter/'],30,39,212,[],False,
1380153681249701899,muddywatersre,2021-04-08 14:40:54 BST,+0100,168679374,After reading this piece on Bill Hwang by @ErikSchatzker I have to believe the Christianity on sleeve was a psychopathic cover. He issued Christian fatwahs on stocks (e.g. GOOG). Went long $GSX! How is THAT Christ-like? Is it ok if CS does it for you?  https://t.co/h4dhrvJPwn,"[{'screen_name': 'erikschatzker', 'name': 'erik schatzker', 'id': '106878438'}]",['https://www.bloomberg.com/news/features/2021-04-08/how-bill-hwang-of-archegos-capital-lost-20-billion-in-two-days'],48,37,253,[],False,
1375149804313960450,muddywatersre,2021-03-25 18:17:17 GMT,+0100,168679374,"@chris28794465 We haven't done work on A-share companies, but our general view is that fraud is less egregious there. HK is a cesspit though. Huge # of manipulations that drive market caps up to US$1B, stocks added to MSCI, bought by index funds &amp; dumped by the scammers.",[],[],2,0,2,[],False,
1371201092483047424,muddywatersre,2021-03-14 20:46:30 GMT,+0100,168679374,"@AvocadoMatthew @IsaacWendt @anurag12singh @profplum99 @realKunalAShah @RobinWigg @INArteCarloDoss @MichalakisCon @FT Many indicies, eg S&amp;P 500, r cap-weighted. If a stock increases faster than other index components, addition $ goes to buying it even if passive flows are inch. At the same time, passive has replaced active in float, so fewer sellers. Demand up, supply down",[],[],4,0,6,[],False,
1344304163597946880,muddywatersre,2020-12-30 15:27:43 GMT,+0100,168679374,"He's saying that accounts long AMZN, TSLA, AAPL have sold calls in ratios exceeding their long positions in those names while the Robinhood traders are the buyers. Not sure what to make of it other than time to go back and just keep looking for Shitcos (for better or worse).",[],[],8,8,83,[],False,
1343249005568905216,muddywatersre,2020-12-27 17:34:53 GMT,+0100,168679374,@TMFOtter Our Apple tree is similar - only produces real fruit now 1 out every 3 years it seems.,[],[],0,0,0,[],False,
1342102274051428352,muddywatersre,2020-12-24 13:38:11 GMT,+0100,168679374,@Globalmess65 Investors know. They tell themselves it doesn’t matter. cc: @MSCI_Inc,"[{'screen_name': 'msci_inc', 'name': 'msci', 'id': '59155308'}]",[],0,0,1,[],False,
1341133425416097792,muddywatersre,2020-12-21 21:28:20 GMT,+0100,168679374,"@Jason_Johnson24 @MrN46951693 @QCMFunds @CitronResearch @ResearchGrizzly @AndrewRangeley MW did MPLN. We were working on it as a bond short before the SPAC announcement. Nothing moral or immoral there, although I do think that PE has become corrosive to society, so this is a bit of a pushback to them. But MPLN was no more / less moral than talking up AMZN, no?",[],[],1,0,1,[],False,
1339932425468563462,muddywatersre,2020-12-18 13:55:59 GMT,+0100,168679374,"Check out my interview w @CitronResearch on @zer0estv today at 12 EST. We talk lessons learned, importance of “narratives”, short vs long theses, SPACs, $DASH $AMZN $GSX $NNOX $INGN &amp; more. This interview is so good, it’s required watching at MW.","[{'screen_name': 'citronresearch', 'name': 'citron research', 'id': '236953420'}, {'screen_name': 'zer0estv', 'name': 'zer0es.tv', 'id': '1304474266713255937'}]",[],6,12,105,[],False,
1320891862916288513,muddywatersre,2020-10-27 00:55:35 GMT,+0100,168679374,Just discovered that the reason I haven’t been able to find “It’s The Great Pumpkin Charlie Brown” is bc it’s on friggin’ Apple TV. Wish the DOJ would sue Apple on anti-trust grounds to put it back on a platform we subscribe to.,[],[],15,8,131,[],False,
1308163694837207040,muddywatersre,2020-09-21 22:58:24 BST,+0100,168679374,MW will release a new Short tomorrow pre-market. It’s a “company” that’s a complete stock promotion and makes $NKLA look like Microsoft in comparison. Shockingly the sell-side is positive on it. Would love to hear @WilfredFrost try to explain that away tomorrow.,"[{'screen_name': 'wilfredfrost', 'name': 'wilfred frost', 'id': '363561760'}]",[],280,241,1661,[],False,
1302744496812093440,muddywatersre,2020-09-07 00:04:26 BST,+0100,168679374,@herbgreenberg We’re at 111 with conditions described as “Smoke” according to Apple’s weather app.,[],[],1,1,3,[],False,
1298607029829824512,muddywatersre,2020-08-26 14:03:37 BST,+0100,168679374,"Just posted - a wide-ranging, fun Podcast interview I did with the Marketing Geeks, where we cover lots of ground, such as how I became a short seller   Apple Podcasts / iTunes:  https://t.co/QAuOUWkVzs  Spotify:  https://t.co/r7tIUlCYSM",[],"['https://podcasts.apple.com/us/podcast/marketing-geeks/id1401810669?i=1000488843393', 'https://open.spotify.com/episode/1fiGxzmo6tQ2skk07cnQjb?si=co-5pChmSICwcyltrpuEDQ']",3,11,53,[],False,
1288704016256397312,muddywatersre,2020-07-30 06:12:35 BST,+0100,168679374,Zuckerberg vs. Musk: Respect for In-House Lawyers and Regulators Edition $FB $TSLA  https://t.co/mpOgpjKrfF,[],[],6,25,173,[],False,
1275439339615354880,muddywatersre,2020-06-23 15:43:29 BST,+0100,168679374,Re-upping my 2019 comments on @_MarkusBraun denial video. Recommend “Spy the Lie” for moments such as these.,"[{'screen_name': '_markusbraun', 'name': 'markus braun', 'id': '827452635057881088'}]",[],2,10,39,[],False,
1261165888222330880,muddywatersre,2020-05-15 06:25:53 BST,+0100,168679374,"Fan mail #Wirecard style. From Google Translate, it means “You are damn pisser...Wirecard will win and crush you wixxer...assholes”. He sounds nice. $WDI.GY  https://t.co/rhqBCeWjOu",[],[],28,7,102,['wirecard'],False,
1259197934144380928,muddywatersre,2020-05-09 20:05:56 BST,+0100,168679374,"@EpsilonTheory @MsCI Ben, I would think that our willingful blindness to CCP-fostered systematic transgressions in our markets would qualify as part of the “It” that needs to be burned down. There is nowhere CCP’s co-option of American elite is on starker display than in the investment industry.",[],[],5,4,29,[],False,
1259196726759456768,muddywatersre,2020-05-09 20:01:09 BST,+0100,168679374,"@EpsilonTheory @MsCI The CCP is a corrosive force globally for clean governance and human rights. Providing liquid markets (and capital) to PRC companies furthers this and provides the PRC with more leverage over us, which recently seems like it might be a slight problem.  https://t.co/hKmpp1nJzu",[],['https://www.ft.com/content/ff594952-f98f-11e9-a354-36acbbb0d9b6'],2,1,36,[],False,
1259195539628781569,muddywatersre,2020-05-09 19:56:26 BST,+0100,168679374,"@EpsilonTheory In HK, PRC manipulators routinely steal money from foreign shareholders by manipulating market caps to levels where @MSCI (which cowardly caved to the CCP by upping China weighting) adds them to the index. The manipulators smack Vanguard/Blackrock bids &amp; once again 0 recourse.","[{'screen_name': 'msci', 'name': 'cierra norwood', 'id': '36559988'}]",[],1,9,43,[],False,
1255579657518252032,muddywatersre,2020-04-29 20:28:12 BST,+0100,168679374,"In this Der Spiegel interview (Google Translate), Chris Hohn states it exactly how it is in Germany. But this is why MW is NOT short $WDI.GY . Going short WDI is going long German rule of law in the markets. Even now, we see that as a coin flip at best.  https://t.co/ZRPgY3M0Vu  https://t.co/rCDbJ5dFW1",[],['https://www.spiegel.de/wirtschaft/unternehmen/christopher-hohn-gegen-wirecard-aufsichtsrat-und-vorstand-sollten-komplett-erneuert-werden-a-51cd3285-6e42-4b2a-b86a-887f3cd203f7'],6,12,67,[],False,
1238984041052778496,muddywatersre,2020-03-15 00:23:09 GMT,+0100,168679374,"@FuzzyPandaShort @LongShortTrader The S&amp;P is still above Jan 2019 levels, so with the /E falling away and the lack of liquidity in credit markets, I’m betting there’s a lot more downside.",[],[],2,0,27,[],False,
1198308539803979776,muddywatersre,2019-11-23 18:33:14 GMT,+0100,168679374,We have to get serious about controlling capital flows to companies that are organs of the CCP. @MSCI_Inc needs to be reined in. cc: @marcorubio @Jkylebass @joshrogin @WolfpackReports  https://t.co/R5WjBakEGt  https://t.co/oXFKKr3YQk,"[{'screen_name': 'msci_inc', 'name': 'msci', 'id': '59155308'}, {'screen_name': 'marcorubio', 'name': 'marco rubio', 'id': '15745368'}, {'screen_name': 'jkylebass', 'name': '🇺🇸kyle bass🇺🇸', 'id': '3005733012'}, {'screen_name': 'joshrogin', 'name': 'josh rogin', 'id': '15766082'}, {'screen_name': 'wolfpackreports', 'name': 'wolfpack research', 'id': '816683586552287232'}]",['https://on.ft.com/2D7SWvd'],6,15,44,[],False,
