id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1315613219034193920,paulkrugman,2020-10-12 12:20:08 BST,+0100,17006157,It made some sense to say that what was good for America was good for General Motors and vice versa. But what's good for America and what's good for Apple have almost nothing to do with each other. 4/,[],[],22,226,1379,[],False,
1315612903647719425,paulkrugman,2020-10-12 12:18:53 BST,+0100,17006157,"Case in point: in the 1950s the biggest market cap was either AT&amp;T or GM, which were also the top 2 employers. In 2019 it was Apple, which was only the #40 employer. 3/",[],[],9,160,892,[],False,
1312412115664240640,paulkrugman,2020-10-03 16:20:06 BST,+0100,17006157,Found on Amazon  https://t.co/8IwJU6dmWT,[],[],48,69,671,[],False,
1304444456968564736,paulkrugman,2020-09-11 16:39:28 BST,+0100,17006157,"We know that Trump is obsessed with the stock market. But morality aside, does this make sense? A quick, crude picture: Trump approval versus the Dow. His best (least bad) numbers actually were when the Dow was crashing 1/  https://t.co/BkmD2fGrgw",[],[],78,106,432,[],False,
1296074964689444866,paulkrugman,2020-08-19 14:22:06 BST,+0100,17006157,"So even if you think 2020-21 is going to be lousy, if you think Amazon will be making money in 2025— and your alternative is govt bonds that yield 1% less than inflation — buying Amazon isn't that strange 5/",[],[],12,154,959,[],False,
1283374311257014272,paulkrugman,2020-07-15 13:14:14 BST,+0100,17006157,"Not saved by the Dow: ""Across the six states, a majority of voters approves of how Trump is handling only one issue: the stock market.""  https://t.co/QkOhUJ9SqE",[],['https://www.cnbc.com/2020/07/15/2020-election-news-donald-trump-vs-joe-biden-swing-state-polls.html'],60,74,303,[],False,
1279885912059641857,paulkrugman,2020-07-05 22:12:35 BST,+0100,17006157,"And high-frequency data, like restaurant reservations and this Apple mobility data, suggest that the economic bounce has stalled or gone into reverse — because it was based on false pretenses 2/  https://t.co/mn9rxOKyux",[],[],17,218,708,[],False,
1256906242305470467,paulkrugman,2020-05-03 12:19:35 BST,+0100,17006157,"Nobody could have predicted that someone who wrote ""Dow 36,000"" in the 90s and denied there was a housing bubble in the 2000s would get Covid-19 wrong  https://t.co/7UFoOYbM7Y  https://t.co/OIhuHDMG3B",[],['https://www.washingtonpost.com/politics/34-days-of-pandemic-inside-trumps-desperate-attempts-to-reopen-america/2020/05/02/e99911f4-8b54-11ea-9dfd-990f9dcc71fc_story.html'],47,690,2689,[],False,
1253693591983214592,paulkrugman,2020-04-24 15:33:39 BST,+0100,17006157,"People who can't go out to restaurants are in fact buying more groceries and booze, ordering more from Amazon, etc. However, they're buying less gasoline even though gas stations are open, fewer cars. Net effect still unclear 6/",[],[],5,37,183,[],False,
1240624193579945984,paulkrugman,2020-03-19 13:00:32 GMT,+0100,17006157,Reports from the states say a tsunami of claims has already started. And searches on Google Trends tell the same story 2/  https://t.co/UyeDptsVG4,[],[],14,96,305,[],False,
1237916945086898179,paulkrugman,2020-03-12 01:42:53 GMT,+0100,17006157,"So Trump has refused to address the real issues, imposed a massive disruption of international business, and demonstrated his absolute cluelessness. Dow futures down 770 right now, but why aren't they down even more?",[],[],231,944,4486,[],False,
1233425808259239944,paulkrugman,2020-02-28 16:16:43 GMT,+0100,17006157,"Dow 25,000!",[],[],5682,262,2142,[],False,
1226902987513221121,paulkrugman,2020-02-10 16:17:21 GMT,+0100,17006157,More Amazon UK  https://t.co/QcWDaZpiBG,[],[],20,40,188,[],False,
1226858082216660993,paulkrugman,2020-02-10 13:18:55 GMT,+0100,17006157,Amazon U.K.  https://t.co/lU1gY9Nnth,[],[],18,15,146,[],False,
1214546031133839366,paulkrugman,2020-01-07 13:55:13 GMT,+0100,17006157,"One other lesson of this story is that Amazon only looks like an ethereal enterprise, living in cyberspace and untouched by human hands. In fact its business depends on a huge distribution workforce, with a lot of bricks-and-mortar capital 4/",[],[],8,41,200,[],False,
1214545558309920768,paulkrugman,2020-01-07 13:53:20 GMT,+0100,17006157,"In the case of Roundup, one person who had some stuff to sell figured out that there was money to be made in prepping other people's stuff for Amazon; friends and neighbors got into the business; and now there's a novel sort of industrial cluster 3/",[],[],3,24,125,[],False,
