id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1422248447999156232,robintheblack,2021-08-02 18:30:28 BST,+0100,23368614,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $QQQ $IWM go inside on the 60 minute #FullHouseForHarambe  https://t.co/EyjY4yaLo0,[],[],1,2,9,['fullhouseforharambe'],False,
1422218560936583170,robintheblack,2021-08-02 16:31:43 BST,+0100,23368614,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute #TrianglesForHarambe  https://t.co/2Zc1V9OzJN,[],[],0,2,11,['trianglesforharambe'],False,
1421131373310582786,robintheblack,2021-07-30 16:31:37 BST,+0100,23368614,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ $IWM go inside on the 60 minute #TrianglesForHarambe  https://t.co/1EejUAADzz,[],[],1,1,14,['trianglesforharambe'],False,
1421092179565584389,robintheblack,2021-07-30 13:55:52 BST,+0100,23368614,#Mindthegap $AMZN $DXCM $PINS $TEAM $SAVA $FUTU $ERYP $KLAC,[],[],0,2,12,['mindthegap'],False,
1420856643890319360,robintheblack,2021-07-29 22:19:56 BST,+0100,23368614,$AMZN I'm going to space! Shareholders be damned!,[],[],3,2,39,[],False,
1420731059247980550,robintheblack,2021-07-29 14:00:55 BST,+0100,23368614,#Mindthegap $LC $ANVS $CTXS $F $SAVA $DIDI $AVXL $FUTU $TIGR $PYPL $EXAS $URI  $FB $QCOM,[],[],1,3,20,['mindthegap'],False,
1420406816807264256,robintheblack,2021-07-28 16:32:29 BST,+0100,23368614,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA go inside on the 60 minute #TrianglesForHarambe  https://t.co/6rvlqJ4KIw,[],[],1,3,22,['trianglesforharambe'],False,
1419727172995108867,robintheblack,2021-07-26 19:31:49 BST,+0100,23368614,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute #TrianglesForHarambe  https://t.co/7aIhSQR9gj,[],[],0,2,14,['trianglesforharambe'],False,
1415786850078363658,robintheblack,2021-07-15 22:34:23 BST,+0100,23368614,"$MRNA into the S&amp;P 500, $ALXN out. Look at the charts today, Yeah nobody knew nothing",[],[],7,8,58,[],False,
1414638440839356420,robintheblack,2021-07-12 18:31:01 BST,+0100,23368614,The inside 60 minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute #TrianglesForHarambe  https://t.co/TvQwVVet2V,[],[],0,1,4,['trianglesforharambe'],False,
1412826420812959744,robintheblack,2021-07-07 18:30:42 BST,+0100,23368614,The Inside 60 minute Gorilla rings the triangle as $SPY $QQQ go inside on the 60 minute #TrianglesForHarambe  https://t.co/CeHRSvDzzT,[],[],2,2,19,['trianglesforharambe'],False,
1412408465302167557,robintheblack,2021-07-06 14:49:54 BST,+0100,23368614,$AAPL inside up on the quarter! #TheStrat,[],[],2,1,40,['thestrat'],False,
1410017413542854656,robintheblack,2021-06-30 00:28:42 BST,+0100,23368614,"2 MUST FOLLOWS! @oztwits admin of the Facebook group. The great Archivist of #TheStrat has almost everything I've ever said! @AlexsOptions The Future! 18 year old Stratter that can not only teach you, but help teach your kids!","[{'screen_name': 'oztwits', 'name': 'john clark', 'id': '395012082'}, {'screen_name': 'alexsoptions', 'name': 'alex', 'id': '1123768600836366337'}]",[],7,5,57,['thestrat'],False,
1410014756900065286,robintheblack,2021-06-30 00:18:09 BST,+0100,23368614,See @CyberDog2 pinned tweet! Facebook group!  https://t.co/nqX5rms1Kr and This from my youtube!  https://t.co/nqX5rms1Kr,"[{'screen_name': 'cyberdog2', 'name': 'strat soldier', 'id': '22091355'}]","['https://www.facebook.com/groups/894647520988209', 'https://www.facebook.com/groups/894647520988209']",3,2,10,[],False,
1409535120105787394,robintheblack,2021-06-28 16:32:15 BST,+0100,23368614,The Inside 60 minute Gorilla rings the triangle as $SPY goes inside on the 60 minute #SPPOZForHarambe  https://t.co/WkQ8dtX0cP,[],[],2,2,5,['sppozforharambe'],False,
1408447976419344388,robintheblack,2021-06-25 16:32:19 BST,+0100,23368614,The Inside 60 Minute Gorilla rings the triangle as $SPY $QQQ $IWM go inside on the 60 minute #TrianglesForHarambe  https://t.co/fFXKuFUF5c,[],[],1,1,9,['trianglesforharambe'],False,
1407390968781869056,robintheblack,2021-06-22 18:32:09 BST,+0100,23368614,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $IWM go inside on the 60 minute #TrianglesForHarambe  https://t.co/zCwriO2nnB,[],[],1,1,7,['trianglesforharambe'],False,
1402649624926621706,robintheblack,2021-06-09 16:31:45 BST,+0100,23368614,The inside 60 minute Gorilla rings the triangle as $SPY $QQQ $IWM go inside on the 60 minute #TrianglesForHarambe  https://t.co/4mTZMK07U3,[],[],3,1,18,['trianglesforharambe'],False,
1402081757961281543,robintheblack,2021-06-08 02:55:15 BST,+0100,23368614,"One of the talents I'm strangely proud of, When identifying that the market is going to do nothing. Then $SPY goes inside day on a Monday during a doji nothing month so far. As I like to say, The good thing is We know whats happening, the bad the bad thing is it's happening",[],[],4,5,59,[],False,
1399795652570370055,robintheblack,2021-06-01 19:31:05 BST,+0100,23368614,The Inside 60 Minute Gorilla rings the triangle as $SPY $QQQ Go Inside on the 60 Minute #TrianglesForHarambe  https://t.co/C3HMQa5sEN,[],[],3,1,15,['trianglesforharambe'],False,
1398300495400390659,robintheblack,2021-05-28 16:29:51 BST,+0100,23368614,"And now, A moment of silence as $SPY $QQQ $DIA $IWM go inside on the 60 minute  https://t.co/XlINvRbOWG",[],[],6,2,47,[],False,
1396881495248224259,robintheblack,2021-05-24 18:31:15 BST,+0100,23368614,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $IWM go inside on the 60 minute #TrianglesForHarambe  https://t.co/4S23Wx5Sgu,[],[],0,1,13,['trianglesforharambe'],False,
1393339705115168768,robintheblack,2021-05-14 23:57:27 BST,+0100,23368614,"TC2000, #TheStrat Facebook group has all the codes! And @WordenBrothers Do you hear the roar that your 60 minute charts need to update at the bottom of the hour??! NOT the top, there's a difference! Retweet and hit at them!","[{'screen_name': 'wordenbrothers', 'name': 'wordenbrothersinc', 'id': '33991410'}]",[],3,2,10,['thestrat'],False,
1392532536400695296,robintheblack,2021-05-12 18:30:03 BST,+0100,23368614,The Inside 60 minute Gorilla rings the triangle as $SPY $DIA $IWM go inside on the 60 minute #TrianglesForHarambe  https://t.co/DprgZ4v733,[],[],3,0,6,['trianglesforharambe'],False,
1390879949771481088,robintheblack,2021-05-08 05:03:15 BST,+0100,23368614,"Don"" t ya love when ya go on @MadMoneyOnCNBC and say how the market should go down but $AAPL should go up because of fibs? #LOSEQUEEN","[{'screen_name': 'madmoneyoncnbc', 'name': 'mad money on cnbc', 'id': '16451932'}]",[],1,1,9,['losequeen'],False,
1390358559704104963,robintheblack,2021-05-06 18:31:26 BST,+0100,23368614,The Inside 60 Minute Gorilla rings the triangle as $SPY $DIA $IWM go Inside on the 60 minute #TrianglesForHarambe  https://t.co/oVGWge1bdL,[],[],1,0,6,['trianglesforharambe'],False,
