id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1423636292869496832,ryandetrick,2021-08-06 14:25:16 BST,+0100,21232827,"As you probably heard by now, the calendar is a potential worry for stocks.  But did you know that the S&amp;P 500 historically peaks on August 6 (today) when a new party is in power in the White House?   Add this to the checklist of things to not ignore.  https://t.co/RflV45Sfmq",[],[],5,43,134,[],False,
1423623040605302785,ryandetrick,2021-08-06 13:32:37 BST,+0100,21232827,42 new highs in 2021 for the S&amp;P 500 Index so far. If you extrapolate that out all year it comes to 72 new highs.  The all-time record was 77 in 1995.  https://t.co/1Rpq1HSJSB,[],[],3,12,55,[],False,
1423258039482822658,ryandetrick,2021-08-05 13:22:14 BST,+0100,21232827,How confused are you?   In the past 24 hours we saw Citigroup downgrade equities due to rates.  This morning we saw Goldman increase their S&amp;P 500 forecast due to ....... rates.  https://t.co/nvrng5ZVyh,[],[],12,30,101,[],False,
1421531472457048067,ryandetrick,2021-07-31 19:01:28 BST,+0100,21232827,Jerome Powell only has 6 more months in charge of the @federalreserve.  The Dow is up 36.9% for an annualized return of 9.4% with him in charge.  Here are all 16 Fed Chairs and how stocks did under their leadership.  https://t.co/JK1xB2dDG4,"[{'screen_name': 'federalreserve', 'name': 'federal reserve', 'id': '26538229'}]",[],15,34,114,[],False,
1421201208304443394,ryandetrick,2021-07-30 21:09:07 BST,+0100,21232827,"The S&amp;P 500 is up 17.02% YTD at the end of July.  Since WWII, this has happened only 12 other times and the rest of the year was higher 11 times.  The only time it didn't work was '87, but it was up 32% YTD right now (stretched rubber band).",[],[],3,31,161,[],False,
1421199301632475142,ryandetrick,2021-07-30 21:01:32 BST,+0100,21232827,"Here is a list of the years that saw the S&amp;P 500 down in January, but higher the next six months.  2021  That's it.",[],[],8,20,159,[],False,
1421185091603161091,ryandetrick,2021-07-30 20:05:04 BST,+0100,21232827,"The S&amp;P 500 will be up 6 months in a row.  Turns out, these rare streaks are quite bullish.  In fact, a year after a 6 month win streak the S&amp;P 500 was higher 18 of 21 times with a very solid 11.9% average return.  https://t.co/YHa0bkypYY",[],[],6,58,178,[],False,
1418668753542422530,ryandetrick,2021-07-23 21:26:03 BST,+0100,21232827,"The first close in history above 35,000 for the Dow.  https://t.co/9Szsita2wM",[],[],7,43,155,[],False,
1418621842315694080,ryandetrick,2021-07-23 18:19:38 BST,+0100,21232827,"The Dow is on pace to close above 35k for the first time ever.  It took 69 trading days to go from 34k to 35k, which is the longest since 29k to 30k took 218 days.  Here are all the major 1k milestones.  https://t.co/OhmBLToL7O",[],[],3,15,50,[],False,
1418545971072544769,ryandetrick,2021-07-23 13:18:09 BST,+0100,21232827,"Domino's and Google IPO'd during summer 2004.  As big as Google is, people still like pizza. A lot. The performance of these two giants is something that surprises a lot of people.  After DPZ jumped 15% yesterday, the lead is only bigger.  (Not a recommendation of either stock)  https://t.co/MwOF24aKMy",[],[],9,27,139,[],False,
