id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1416102206663798784,stocktonkatie,2021-07-16 19:27:30 BST,+0100,558291075,"Before getting too upset about ""death crosses"" in cryptocurrencies, note they are poor timing devices, sometimes even found at major lows, as shown here for the Dow #fairleadstrategies  https://t.co/sbSneOLkot",[],[],5,12,69,['fairleadstrategies'],False,
1409460350785884161,stocktonkatie,2021-06-28 11:35:08 BST,+0100,558291075,"Big picture thoughts with @seemacnbc this morning - takeaway is that megacap leadership ($AAPL $MSFT $AMZN) doesn't preclude healthy breadth (i.e., market participation) #fairleadstrategies","[{'screen_name': 'seemacnbc', 'name': 'seema mody', 'id': '61292961'}]",[],2,11,50,['fairleadstrategies'],False,
1404393079952613381,stocktonkatie,2021-06-14 11:59:37 BST,+0100,558291075,Early start this morning to discuss $VIX and $SPX with @TheDomino who really gets technical analysis! #fairleadstrategies,"[{'screen_name': 'thedomino', 'name': 'dominic chu', 'id': '37718217'}]",[],7,5,57,['fairleadstrategies'],False,
1392476508044804097,stocktonkatie,2021-05-12 14:47:25 BST,+0100,558291075,"I am not big on analogs, but this $SPX one does give pause...  #fairleadstrategies  https://t.co/SQSw7fN0OZ",[],[],24,77,343,['fairleadstrategies'],False,
1386662377584799750,stocktonkatie,2021-04-26 13:44:08 BST,+0100,558291075,"Megacap earnings $GOOGL, $MSFT $AAPL $FB may disappoint, even if they're beats, given overbought readings following their strong month-long run-up (e.g., $GOOGL +15%) into this week #fairleadstrategies",[],[],11,14,54,['fairleadstrategies'],False,
1379797328383647747,stocktonkatie,2021-04-07 15:04:53 BST,+0100,558291075,Breadth has been über strong lately for a bullish intermediate-term takeaway but with 90% (!) of the S&amp;P 500 &gt; 50-day MAs would emphasize stock selection over index investing #fairleadstrategies,[],[],5,8,64,['fairleadstrategies'],False,
1370493953733181440,stocktonkatie,2021-03-12 21:56:35 GMT,+0100,558291075,A surge in NYSE new highs is not necessarily a good thing...3 out of the last 4 peaks in the 50-day MA gave way to corrective periods for $SPX #fairleadstrategies  https://t.co/PGziiKZV3J,[],[],26,51,205,['fairleadstrategies'],False,
1369059718342336514,stocktonkatie,2021-03-08 22:57:27 GMT,+0100,558291075,"Thanks to @ben_levisohn for giving press to last week's weekly MACD ""sell"" signal, something the $SPX usually sees only 2-3 times per year #fairleadstrategies  The Reflation Trade Is Stirring Growing Pains in Growth Stocks. Here’s Why.  https://t.co/Tt1cxBeW0B via @BarronsOnline","[{'screen_name': 'ben_levisohn', 'name': 'ben levisohn', 'id': '14547546'}, {'screen_name': 'barronsonline', 'name': ""barron's"", 'id': '20449296'}]",['https://www.barrons.com/articles/the-reflation-trade-is-stirring-growing-pains-in-growth-stocks-heres-why-51614988775'],3,1,18,['fairleadstrategies'],False,
1362108168734703617,stocktonkatie,2021-02-17 18:34:28 GMT,+0100,558291075,Gotta love the stochastics...$AAPL is a good case in point as it takes out its 10-wk MA following an overbought downturn #fairleadstrategies  https://t.co/mhckYTF7jJ,[],[],10,14,91,['fairleadstrategies'],False,
1359478018415222788,stocktonkatie,2021-02-10 12:23:12 GMT,+0100,558291075,$SPX below 3871... #fairleadstrategies,[],[],8,5,51,['fairleadstrategies'],False,
