id,username,created_at,timezone,user_id,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,retweet,source
1367335982853287937,truthgundlach,2021-03-04 04:47:56 GMT,+0100,861619895485726722,The price of gold is down 11% over the past twelve months.  The S&amp;P 500 is up 27% over the past twelve months.  Bitcoin is up 467% over the past twelve months. Great dispersions often precede great reversions. We shall see.,[],[],270,786,5245,[],False,
1251298595610873856,truthgundlach,2020-04-18 00:56:47 BST,+0100,861619895485726722,"U.S. GDP looks to be down 15%ish, unannualized, from its peak. SPX is presently down a similar amount from its peak. Ergo (and I over simplify to make a valid point) stocks now are back to the Feb 19th highs from a valuation perspective. “In Fed We Trust” is all the buyers have.",[],[],143,388,2124,[],False,
1242631996842500096,truthgundlach,2020-03-25 01:58:49 GMT,+0100,861619895485726722,I can see the S&amp;P 500 making it to around 2700 on this snap back.,[],[],271,287,1831,[],False,
1237900455184719872,truthgundlach,2020-03-12 00:37:22 GMT,+0100,861619895485726722,"Has the VIX, sometimes called the S&amp;P fear index, ever sustained this long above 40? I don’t think so. Yet the bull/bear investor surveys show a lot of complacency.",[],[],75,111,676,[],False,
1080615161675698176,truthgundlach,2019-01-03 00:01:46 GMT,+0100,861619895485726722,Where did the Bitcoin real-time window go on CNBC? Better question: why was it there in the 1st place? AAPL window next after guidance bomb?,[],[],92,175,1336,[],False,
1073730060463394816,truthgundlach,2018-12-15 00:02:50 GMT,+0100,861619895485726722,"Well we’re pretty close to year-end and stocks are down (FB down hard), yields are up and Bitcoin below 5,000. Check, check, check and check",[],[],84,91,650,[],False,
1058384349085687808,truthgundlach,2018-11-02 15:44:27 GMT,+0100,861619895485726722,"AAPL down 7% on earnings report.  “Et tu, Brute? Then fall, Caesar!”",[],[],22,58,239,[],False,
1055249547352453125,truthgundlach,2018-10-25 01:07:52 BST,+0100,861619895485726722,Nothing like wiping out the entire strong YTD gain on SPX to make the “interest rates are rising for the right reasons” narrative to vanish.,[],[],69,310,1047,[],False,
1054886097879101440,truthgundlach,2018-10-24 01:03:39 BST,+0100,861619895485726722,SPX down 6.5% from high on closing basis with Treasury yields down &lt; 4 bp on closing basis. Not looking good for “risk parity” strategies.,[],[],16,98,287,[],False,
1030636940175921154,truthgundlach,2018-08-18 03:06:09 BST,+0100,861619895485726722,Big long positioning in $. Massive short positioning in US Treasuries. SPX back at highs on diminishing momentum.  Boom narrative post peak.,[],[],42,175,592,[],False,
1022259004704055298,truthgundlach,2018-07-26 00:15:14 BST,+0100,861619895485726722,Only surprise in FB bad guidance was how obvious it was to happen yet so many chose not to see it. 90+% of 1Q earnings were B4 the  trouble.,[],[],61,128,576,[],False,
996442211897131008,truthgundlach,2018-05-15 18:28:30 BST,+0100,861619895485726722,The S&amp;P 500’s dividend yield is now lower than the yield on a three month US Treasury Bill.,[],[],46,452,935,[],False,
988537451345076225,truthgundlach,2018-04-23 22:57:49 BST,+0100,861619895485726722,Guy on stage after me at Sohn 2day told me he’s short FB since Jan. Then on TV he said he disagrees with the short call. Both can’t be true.,[],[],76,94,576,[],False,
